,topic_a,topic_b,score
556,Series and parallel circuits,Electrical polarity,0.011774609072345838
557,Electrical resistance and conductance,Frame of reference,0.011890791904279795
558,Sonic boom,Friction,0.01191387019388178
559,Shock wave,Friction,0.01191387019388178
560,Ohm's law,Electrical polarity,0.011944926026588544
561,Absorption spectroscopy,Huygens–Fresnel principle,0.011952828438094264
562,Ammeter,Light,0.01197815307037659
563,Electromagnetic radiation,Electrical resistance and conductance,0.011989794872648502
564,Power (physics),Electrical conductor,0.012009228492406515
565,Electroscope,Speed,0.012017719175981031
566,Creep (deformation),Light,0.012136170527864207
567,Electrical resistance and conductance,Electrical polarity,0.012142565605856645
568,Voltmeter,Speed,0.012205069991012734
569,Diffraction,Standing wave,0.012269446246712314
570,Electric potential,Speed,0.012379660653406606
571,Interference (wave propagation),Kilogram,0.012417573651006106
572,Electroscope,Frame of reference,0.012564757836751194
573,Refractive index,Wave,0.012578213445606466
574,Electric current,Speed,0.012599221716754308
575,Plasticity (physics),Ray (optics),0.012634649612441089
576,Shock wave,Joule,0.012639382978307516
577,Sonic boom,Joule,0.012639382978307516
578,Energy level,Mirror image,0.012691669556025924
579,Reflection (physics),Frame of reference,0.012812980817898768
580,Electromagnetic radiation,Coulomb,0.01281473253250557
581,Electroscope,Electrical polarity,0.012830801983805604
582,Field line,Coulomb,0.012843618810731894
583,Subtractive color,Coulomb,0.01286109946156903
584,Refractive index,Velocity,0.01291798455235105
585,Energy level,Amplitude,0.012981435806186636
586,Electric charge,Metre,0.013027985062290795
587,Voltmeter,Electrical polarity,0.013030828392642049
588,Electron,Mirror image,0.013057398893683991
589,Electric field,Voltage,0.013087494180712762
590,Electric current,Frame of reference,0.013172729990142382
591,Doppler effect,Optical microscope,0.013199624158694244
592,Electron,Potential energy,0.013219333056068339
593,Pigment,Compression (physics),0.013223159652151017
594,Electron,Amplitude,0.013355515189382772
595,Newton's laws of motion,Gravitational field,0.01342805773785419
596,Electric current,Electrical polarity,0.013451647241086521
597,Newton's laws of motion,Free fall,0.013535407697166092
598,Energy level,Series and parallel circuits,0.013550499831979356
599,Scattering,Fracture,0.013587064104538894
600,Contact force,Light,0.013640831383823257
601,Field line,Speed,0.01372017449698171
602,Musical tone,Planet,0.013755065686752948
603,Electric potential,Wave,0.013914009358343898
604,Laser,Plasticity (physics),0.013941694600517907
605,Doppler effect,Compression (physics),0.013944205189934803
606,Energy level,Huygens–Fresnel principle,0.014002670197057678
607,Total internal reflection,Velocity,0.014024480732463682
608,Pitch (music),Refraction,0.014124180030191133
609,Power (physics),Light,0.014177543932238171
610,Refractive index,Planet,0.014211259349142275
611,Emission spectrum,Electric field,0.014215061161312373
612,Diffraction,Direction (geometry),0.01425680489636893
613,Insulator (electricity),Gravity,0.014271581775866123
614,Electromagnetic spectrum,Interference (wave propagation),0.014285117649294767
615,Electromagnetic spectrum,Pigment,0.014285117649294767
616,Ammeter,Wave,0.014402698898979414
617,Electron,Huygens–Fresnel principle,0.014406177968356589
618,Refractive index,Wavelength,0.014447113464561435
619,Torque,Potential energy,0.014601248537270486
620,Field line,Potential energy,0.01465903432331393
621,Pigment,Coulomb,0.014698399384650318
622,Force,Potential energy,0.014753518993626404
623,Normal force,Potential energy,0.014753518993626404
624,Sound,Refraction,0.014770368775854826
625,Diffraction,Magnet,0.014824389488382848
626,Sonic boom,Refraction,0.014877793766741781
627,Shock wave,Refraction,0.014877793766741781
628,Scattering,Electric current,0.014906646781564043
629,Field line,Mass,0.014977575429187352
630,Electrostatics,Light,0.01498502509547819
631,Doppler effect,Geometrical optics,0.015117524375185222
632,Newton's laws of motion,Temperature,0.015151229355738127
633,Color,Geometrical optics,0.015178168477050715
634,Coulomb's law,Speed,0.015240760995320056
635,Scalar (mathematics),Light,0.015371120940229095
636,Series and parallel circuits,Physics,0.015451152379703305
637,Electric charge,Physical quantity,0.015553634884313576
638,Total internal reflection,Wavelength,0.015684587917128547
639,Deformation (engineering),Potential energy,0.015724421501675905
640,Electric field,Ray (optics),0.01577403235731847
641,Newton's laws of motion,Potential energy,0.015910325992336116
642,Doppler effect,Planet,0.01597594561631883
643,Insulator (electricity),Physical quantity,0.015992176499289943
644,Newton's law of universal gravitation,Speed,0.016012845092038236
645,Specular reflection,Frame of reference,0.01602542146168769
646,Diffraction,Plane mirror,0.016028148575665514
647,Doppler effect,Standing wave,0.01603036042256935
648,Electric potential energy,Frame of reference,0.016228071032387603
649,Coulomb's law,Electrical polarity,0.016271905138563567
650,Electromagnetic spectrum,Gravity,0.016355591761302666
651,Scattering,Electrical resistance and conductance,0.01651372210468949
652,Electromagnetic radiation,Tension (physics),0.016725840638018512
653,Scattering,Coulomb,0.016734459156469317
654,Scattering,Sound,0.01678444090029437
655,Sound intensity,Planet,0.01681174695047583
656,Intensity (physics),Planet,0.01681174695047583
657,Electric potential,Frame of reference,0.01691653465194344
658,Electric potential energy,Light,0.017075958829730963
659,Snell's law,Mass,0.017295278467754773
660,Refractive index,Kilogram,0.01741216371080599
661,Laser,Specular reflection,0.017435169233498228
662,Energy level,Frequency,0.017451477137109053
663,Fatigue (material),Light,0.017519506109473962
664,Electric current,Physics,0.017651834553742432
665,Refracting telescope,Wavelength,0.017730548342870852
666,Ohmmeter,Frame of reference,0.017748835397377295
667,Resonance (particle physics),Telescope,0.0178456455670322
668,Reflection (physics),Distance,0.017876876185472044
669,Plasticity (physics),Electrical polarity,0.01788052180270586
670,Power (physics),Electric current,0.017887976137876852
671,Electromagnetic radiation,Temperature,0.01789184244110284
672,Electron,Frequency,0.017954367410633342
673,Electrostatics,Wave,0.01801820390637545
674,Dispersion (optics),Euclidean vector,0.018057453214336574
675,Electroscope,Mass,0.018150970061162272
676,Refraction,Wave,0.018203958585822626
677,Creep (deformation),Potential energy,0.018251560671588108
678,Dispersion (optics),Frame of reference,0.01833998797546284
679,Ammeter,Reflection (physics),0.018362765901410043
680,Laser,Deformation (engineering),0.018588926134023874
681,Fracture,Light,0.018677386655884358
682,Refraction,Velocity,0.0186956960795919
683,Electric charge,Potential energy,0.018894857658503995
684,Total internal reflection,Kilogram,0.018903610968342473
685,Total internal reflection,Planet,0.019000362160978706
686,Electroscope,Motion,0.01910771142469317
687,Electromagnetic radiation,Free fall,0.01922814890815212
688,Diffraction,Temperature,0.019241993052131475
689,Resonance (particle physics),Magnification,0.019256985965729428
690,Electromagnetic spectrum,Joule,0.01928325481588529
691,Subtractive color,Electric charge,0.019414650350659396
692,Free body diagram,Light,0.019417872844582726
693,Elasticity (physics),Light,0.019417872844582726
694,Collision,Wave,0.019452462820245684
695,Musical tone,Refraction,0.019810538224164183
696,Power (physics),Electrical resistance and conductance,0.01981646652562739
697,Inelastic collision,Wave,0.01982198336148665
698,Electric field,Potential energy,0.020156172194556655
699,Electrostatics,Length,0.02019753146043728
700,Electromagnetic spectrum,Compass,0.020230130171413892
701,Electron,Gravity,0.020297742637946068
702,Refractive index,Field (physics),0.020408385243020005
703,Color,Gravity,0.02048936588555868
704,Refraction,Planet,0.020567402339203754
705,Electromagnetic spectrum,Crest (physics),0.02059821495980978
706,Color,Compass,0.0206556271733307
707,Electromagnetic radiation,Sound,0.020663287087266717
708,Electric potential,Velocity,0.02069278574155897
709,Electromagnetic spectrum,Kinetic energy,0.0207664008208043
710,Wave,Length,0.02080210891437454
711,Refraction,Wavelength,0.02090874481744624
712,Laser,Amplitude,0.020933041752709467
713,Doppler effect,Plane mirror,0.020941205773101445
714,Color,Work (physics),0.020983255132713027
715,Dispersion (optics),Length,0.021250570473849484
716,Electromagnetic spectrum,Plasticity (physics),0.02132259174196856
717,Electromagnetic spectrum,Hertz,0.02132259174196856
718,Refracting telescope,Kilogram,0.02136947364508008
719,Magnetism,Position (vector),0.021401362799198544
720,Ammeter,Magnet,0.021418970388604137
721,Electric potential energy,Reflection (physics),0.02172468490691596
722,Photoelectric effect,Frequency,0.0218572019282184
723,Electromagnetic radiation,Deformation (engineering),0.021946652294776634
724,Electromagnetic radiation,Electrostatics,0.021979381794376904
725,Color,Frame of reference,0.02198076961119784
726,Subtractive color,Deformation (engineering),0.02202606080896537
727,Subtractive color,Electrostatics,0.02205890873213651
728,Resonance (particle physics),Optical microscope,0.022076564382377505
729,Energy,Speed,0.022088462737372833
730,Doppler effect,Frame of reference,0.022141800890400753
731,Curved mirror,Planet,0.02216708918780849
732,Pigment,Electric charge,0.022188171829325018
733,Scalar multiplication,Light,0.022189408644474506
734,Electroscope,Metre,0.022236256235184458
735,Curved mirror,Motion,0.022290170717308464
736,Specular reflection,Distance,0.022358924856142767
737,Scattering,Crystallinity,0.022373813555512382
738,Scattering,Deformation (engineering),0.022375559235399103
739,Color,Amplitude,0.022490044858282897
740,Snell's law,Wave,0.022512143382761574
741,Electric potential,Sound,0.022513689578730123
742,Lever,Speed,0.022684863880387502
743,Dispersion (optics),Force,0.02271078428494805
744,Voltage,Frame of reference,0.022719302352423545
745,Mirror image,Motion,0.02278247079748347
746,Energy,Distance,0.022804520017207053
747,Ammeter,Displacement (vector),0.02286360381708044
748,Electrostatics,Reflection (physics),0.02297236529190301
749,Doppler effect,Refraction,0.02300912903702492
750,Scattering,Tension (physics),0.023036748100974575
751,Diffraction,Virtual image,0.023137879139899172
752,Ammeter,Length,0.023176728569554956
753,Resonance (particle physics),Compression (physics),0.02332188704281493
754,Electric potential energy,Amplitude,0.023342365577868344
755,Optical microscope,Velocity,0.023665721654113365
756,Electric potential energy,Velocity,0.023711359825307324
757,Series and parallel circuits,Gravity,0.02378596962644354
758,Electron,Friction,0.0237913942967803
759,Collision,Angle of incidence,0.023860391640395235
760,Telescope,Frame of reference,0.023933786847741906
761,Color,Friction,0.024015999777384747
762,Coulomb's law,Light,0.024032783174035413
763,Capacitance,Voltage,0.024187533033814646
764,Capacitor,Voltage,0.024187533033814646
765,Intensity (physics),Refraction,0.024212880051756227
766,Sound intensity,Refraction,0.024212880051756227
767,Inelastic collision,Angle of incidence,0.02431364555043504
768,Insulator (electricity),Mass,0.024470430691896396
769,Crest (physics),Length,0.02448802048665295
770,Color,Angle of incidence,0.024529413570399103
771,Laser,Sound,0.02459024449784611
772,Resultant force,Distance,0.024640895755715948
773,Scattering,Temperature,0.024642699658463406
774,Photoelectric effect,Voltage,0.024650231757847342
775,Scattering,Power (physics),0.024684942425053032
776,Curved mirror,Frame of reference,0.024698185846248024
777,Magnetism,Light,0.02489038066706547
778,Ammeter,Ray (optics),0.024960355451715054
779,Electromagnetic radiation,Frame of reference,0.02496156635282585
780,Total internal reflection,Frame of reference,0.025011867273093468
781,Doppler effect,Temperature,0.025140179733612333
782,Pigment,Deformation (engineering),0.025172640924531847
783,Refraction,Kilogram,0.025199946594306893
784,Pigment,Electrostatics,0.025210181408156004
785,Electron,Joule,0.025240206516548465
786,Mirror image,Frame of reference,0.025243669280470612
787,Direction (geometry),Light,0.025282385134368274
788,Resonance (particle physics),Geometrical optics,0.025284280533935517
789,Snell's law,Planet,0.02543492440329441
790,Energy,Electrical conductor,0.02549138359759585
791,Photoelectric effect,Coulomb,0.02573532359596835
792,Strength of materials,Light,0.02573812033036608
793,Insulator (electricity),Motion,0.025760272124473477
794,Laser,Electrical resistance and conductance,0.025806533024947155
795,Curved mirror,Metre,0.025939786119835415
796,Laser,Coulomb,0.026151486027091227
797,Fatigue (material),Potential energy,0.026347547437568467
798,Photoelectric effect,Color,0.02642034395973039
799,Work (physics),Speed,0.02647752973101733
800,Scattering,Free fall,0.026483214352663226
801,Mirror image,Metre,0.02651269150259237
802,Electric potential energy,Wavelength,0.026518123195379814
803,Electroscope,Physical quantity,0.026547053057127654
804,Plane mirror,Motion,0.026579549263730712
805,Series and parallel circuits,Physical quantity,0.02665362749881657
806,Scattering,Electric charge,0.02667387096456107
807,Color,Plasticity (physics),0.026711744228249762
808,Electrostatics,Magnet,0.026795767837223525
809,Resonance (particle physics),Standing wave,0.02681101216874172
810,Capacitor,Coulomb,0.02692813612153504
811,Capacitance,Coulomb,0.02692813612153504
812,Newton's laws of motion,Free body diagram,0.027070815394332183
813,Reflection (physics),Physical quantity,0.027071503168792265
814,Electric current,Gravity,0.02717376608736716
815,Electrical resistance and conductance,Length,0.02719939746101947
816,Work (physics),Distance,0.02733587049204473
817,Capacitor,Gravity,0.02739739759892634
818,Capacitance,Gravity,0.02739739759892634
819,Distance,Length,0.027625747702766226
820,Displacement (vector),Length,0.027625747702766226
821,Power (physics),Tension (physics),0.02764409772116949
822,Fracture,Potential energy,0.02808888149304668
823,Diffraction,Force,0.028392872624389377
824,Photoelectric effect,Electrical resistance and conductance,0.02858678620549942
825,Electrostatics,Displacement (vector),0.02860304714416625
826,Scattering,Electrostatics,0.028702360036735756
827,Color,Length,0.028767301186913605
828,Electromotive force,Frame of reference,0.028841857520738104
829,Electric field,Coulomb,0.029140782922784093
830,Elasticity (physics),Potential energy,0.029202497074540965
831,Free body diagram,Potential energy,0.029202497074540965
832,Diffraction,Euclidean vector,0.02921375154164809
833,Telescope,Velocity,0.029276487969571725
834,Huygens–Fresnel principle,Length,0.02938562458398355
835,Plane mirror,Frame of reference,0.029450947493882374
836,Electric potential energy,Ray (optics),0.029530184083623953
837,Refraction,Field (physics),0.029536261359693998
838,Power (physics),Temperature,0.029571239590156086
839,Electromagnetic spectrum,Friction,0.029591836321838493
840,Electromagnetic radiation,Gravitational field,0.02962459891021515
841,Plasticity (physics),Light,0.02988381864941497
842,Dielectric,Frame of reference,0.02990601661682858
843,Scattering,Plasticity (physics),0.029927046774242787
844,Euclidean vector,Distance,0.02996431957781827
845,Insulator (electricity),Metre,0.029978054352842003
846,Laser,Strength of materials,0.03019437101675513
847,Doppler effect,Virtual image,0.030230259342455677
848,Diffraction,Hertz,0.03030850364360301
849,Energy level,Electrical conductor,0.03033910355976383
850,Electric current,Physical quantity,0.03044985974536251
851,Mechanical energy,Frame of reference,0.030511964418791133
852,Electric potential energy,Friction,0.030557314553791685
853,Field line,Gravity,0.030573140837452807
854,Torque,Speed,0.030691286426406627
855,Electromagnetic spectrum,Direction (geometry),0.03092292649797542
856,Plane mirror,Metre,0.030931473419691092
857,Subtractive color,Geometrical optics,0.030978210359826727
858,Force,Speed,0.031011353315095636
859,Normal force,Speed,0.031011353315095636
860,Reflection (physics),Motion,0.031063720039655195
861,Electrostatics,Ray (optics),0.03122614568693656
862,Pitch (music),Telescope,0.031229879742306354
863,Electric charge,Kilogram,0.031312517134842295
864,Photoelectric effect,Electrical conductor,0.03137981603512836
865,Electric potential energy,Frequency,0.03138010042110083
866,Electromagnetic radiation,Distance,0.031384207478645704
867,Color,Direction (geometry),0.03157332332705636
868,Electroscope,Light,0.03164316451247996
869,Resultant force,Speed,0.0317730356772208
870,Power (physics),Free fall,0.03177985722319587
871,Electric potential,Friction,0.03185368547425557
872,Electric potential,Electric current,0.032057623297593055
873,Refractive index,Reflection (physics),0.03207326495952873
874,Electroscope,Potential energy,0.032249875511290646
875,Emission spectrum,Sound,0.032575932095688646
876,Sound,Telescope,0.03265866334424093
877,Laser,Crystallinity,0.03277902129403809
878,Electromagnetic spectrum,Elasticity (physics),0.032815152815786945
879,Color,Magnet,0.032830304254366026
880,Electric potential energy,Coulomb,0.03286809236639601
881,Sonic boom,Telescope,0.03289619002115575
882,Shock wave,Telescope,0.03289619002115575
883,Ammeter,Speed,0.03308537036508162
884,Collision,Voltage,0.03308837682669041
885,Contact force,Distance,0.03312778074093652
886,Equations of motion,Frame of reference,0.033132315930617676
887,Laser,Curved mirror,0.03331333338681793
888,Newton's laws of motion,Speed,0.03344291900256722
889,Collision,Potential energy,0.033444635184451885
890,Electric potential energy,Compass,0.03350614037632538
891,Field line,Distance,0.0335735623598329
892,Pitch (music),Magnification,0.0336997254400265
893,Inelastic collision,Voltage,0.033716926282189606
894,Normal force,Distance,0.03378996044587455
895,Force,Distance,0.03378996044587455
896,Electric potential energy,Physics,0.03379943713670104
897,Specular reflection,Physical quantity,0.03385880725547321
898,Electric field,Mass,0.0339824998486312
899,Electron,Energy,0.03400414760021533
900,Inelastic collision,Potential energy,0.03407995215223978
901,Emission spectrum,Electrical resistance and conductance,0.034187210603760385
902,Interference (wave propagation),Force,0.03418733642528517
903,Collision,Speed,0.0342088473150193
904,Doppler effect,Compass,0.034556749523410306
905,Ammeter,Frame of reference,0.034591394630632134
906,Electromagnetic spectrum,Mechanical energy,0.034610668034673824
907,Emission spectrum,Coulomb,0.03464418717327085
908,Electromagnetic spectrum,Magnet,0.03464771923472587
909,Inelastic collision,Speed,0.03485868131762791
910,Electric potential,Compass,0.034927612998351294
911,Interference (wave propagation),Light,0.03501204938432925
912,Resonance (particle physics),Plane mirror,0.0350244728134913
913,Sound,Magnification,0.035241505795753594
914,Ammeter,Electrical polarity,0.035323827217037515
915,Pigment,Geometrical optics,0.035403668982659106
916,Photoelectric effect,Tension (physics),0.03542738737081916
917,Electromagnetic spectrum,Frequency,0.03544215747782113
918,Shock wave,Magnification,0.035497817503091604
919,Sonic boom,Magnification,0.035497817503091604
920,Strength of materials,Potential energy,0.03577093005176572
921,Color,Hardness,0.035791184630465545
922,Field line,Friction,0.035835396158537515
923,Laser,Tension (physics),0.036000278852116936
924,Reflection (physics),Metre,0.03614984668060001
925,Laser,Power (physics),0.036164968094746744
926,Scattering,Specular reflection,0.03634507622387191
927,Scattering,Strength of materials,0.03634507622387191
928,Dispersion (optics),Reflection (physics),0.036350930746483205
929,Electromagnetic radiation,Interference (wave propagation),0.036392717145263286
930,Electromagnetic radiation,Pigment,0.036392717145263286
931,Newton's laws of motion,Distance,0.03643939362495532
932,Electrostatics,Gravity,0.03645960025061312
933,Snell's law,Field (physics),0.03652637131563239
934,Dielectric,Velocity,0.03658188907882746
935,Compression (physics),Length,0.03673203072997944
936,Rarefaction,Length,0.03673203072997944
937,Collision,Coulomb,0.036837502774016595
938,Refracting telescope,Frame of reference,0.0375178009096402
939,Inelastic collision,Coulomb,0.037537270926193855
940,Collision,Mass,0.0375647006873758
941,Snell's law,Velocity,0.03778088582750863
942,Strength of materials,Series and parallel circuits,0.03795113111760342
943,Energy,Electric current,0.03796990471149615
944,Photoelectric effect,Scattering,0.038109400312409385
945,Photoelectric effect,Sound,0.038131642433678475
946,Inelastic collision,Mass,0.03827828274934006
947,Pitch (music),Optical microscope,0.03863398766916064
948,Compass,Light,0.03864559103570691
949,Specular reflection,Motion,0.03885194342193554
950,Euclidean vector,Speed,0.03900285090946702
951,Dispersion (optics),Distance,0.03905441589189877
952,Optical microscope,Compass,0.03994566887151752
953,Electric potential energy,Length,0.039947763021422694
954,Diffraction,Frame of reference,0.03995912661853175
955,Newton's law of universal gravitation,Coulomb,0.03998783292431604
956,Musical tone,Crest (physics),0.040020079726096384
957,Collision,Frame of reference,0.04017236582977612
958,Sonic boom,Force,0.0403657707190114
959,Shock wave,Force,0.0403657707190114
960,Sound,Optical microscope,0.040401513145227774
961,Laser,Electrical conductor,0.040663275918177214
962,Insulator (electricity),Distance,0.04066905214784284
963,Sonic boom,Optical microscope,0.04069535362052722
964,Shock wave,Optical microscope,0.04069535362052722
965,Absorption spectroscopy,Sound,0.04071991511961081
966,Photoelectric effect,Free fall,0.04072758401419277
967,Series and parallel circuits,Mass,0.04078405115316066
968,Scattering,Gravitational field,0.04080239896198615
969,Pitch (music),Compression (physics),0.04081330232492614
970,Coulomb's law,Potential energy,0.04089899569119219
971,Inelastic collision,Frame of reference,0.04093548330757431
972,Electric potential,Distance,0.04110221789662616
973,Color,Elasticity (physics),0.041108978656705514
974,Laser,Free fall,0.04138618425731398
975,Electrostatics,Speed,0.04139078055698541
976,Power (physics),Elasticity (physics),0.04143030116843231
977,Electron,Mass,0.04150866832261146
978,Electric potential energy,Gravity,0.04154698633209402
979,Electric potential,Length,0.041642516604149714
980,Electromagnetic radiation,Gravity,0.041667449952144546
981,Subtractive color,Gravity,0.041818213277971736
982,Resonance (particle physics),Temperature,0.04204731815095396
983,Energy,Electrical resistance and conductance,0.042063413988092005
984,Subtractive color,Compass,0.04215754783965385
985,Snell's law,Wavelength,0.04225308848525594
986,Absorption spectroscopy,Electrical conductor,0.04228980695490431
987,Ohm's law,Frame of reference,0.042301391030415886
988,Mechanical energy,Distance,0.04257078175972082
989,Refracting telescope,Velocity,0.04259829897740406
990,Energy,Coulomb,0.042625670875586136
991,Electromagnetic spectrum,Electric field,0.04264518348393712
992,Sound,Compression (physics),0.0426805326051522
993,Absorption spectroscopy,Electrical resistance and conductance,0.04273401325470049
994,Subtractive color,Work (physics),0.042826227190581614
995,Series and parallel circuits,Motion,0.042933786874122463
996,Sonic boom,Compression (physics),0.042990948404225134
997,Shock wave,Compression (physics),0.042990948404225134
998,Refractive index,Length,0.04299706832794586
999,Insulator (electricity),Voltage,0.04301488987469754
1000,Diffraction,Work (physics),0.043033455441665695
1001,Le Sage's theory of gravitation,Frame of reference,0.04307571447358748
1002,Contact force,Speed,0.043120548419085365
1003,Coulomb's law,Frame of reference,0.043126591971266025
1004,Electric field,Frame of reference,0.04317951235417354
1005,Electric charge,Distance,0.04327486162366391
1006,Electrostatics,Frame of reference,0.04327486162366391
1007,Absorption spectroscopy,Coulomb,0.043305233966588565
1008,Emission spectrum,Crystallinity,0.0434240160536528
1009,Insulator (electricity),Potential energy,0.04347802573978745
1010,Electromagnetic spectrum,Potential energy,0.043496491368569014
1011,Musical tone,Telescope,0.04380294820998813
1012,Field line,Kilogram,0.04410055690710476
1013,Photoelectric effect,Electrostatics,0.04414032844484412
1014,Electrostatics,Electrical polarity,0.04419115653353399
1015,Refraction,Frame of reference,0.0442428575902918
1016,Pitch (music),Geometrical optics,0.04424749093438716
1017,Power (physics),Speed,0.04481717077148111
1018,Laser,Electrostatics,0.04485411571577808
1019,Subtractive color,Frame of reference,0.044862125882719456
1020,Plasticity (physics),Potential energy,0.04494221038887468
1021,Magnet,Position (vector),0.04509572875545407
1022,Energy level,Electric current,0.045190676558846794
1023,Specular reflection,Metre,0.045213251862731695
1024,Electromagnetic spectrum,Electric charge,0.04549193633029761
1025,Collision,Velocity,0.045797144184421046
1026,Subtractive color,Amplitude,0.045901542183777615
1027,Scattering,Angle of incidence,0.04596898804189125
1028,Scattering,Elasticity (physics),0.04605728164316081
1029,Voltmeter,Frame of reference,0.046146972033180966
1030,Electric field,Distance,0.04616364824477023
1031,Power (physics),Distance,0.04627004061462301
1032,Sound,Geometrical optics,0.04627183716932186
1033,Ammeter,Physics,0.04635345713910991
1034,Refraction,Reflection (physics),0.04641838760013392
1035,Electric potential energy,Physical quantity,0.04655592833865196
1036,Electric current,Mass,0.046592856357603546
1037,Shock wave,Geometrical optics,0.046608372550507655
1038,Sonic boom,Geometrical optics,0.046608372550507655
1039,Inelastic collision,Velocity,0.046667110402205295
1040,Color,Distance,0.0467702021739767
1041,Pitch (music),Standing wave,0.046919271295298014
1042,Dispersion (optics),Geometrical optics,0.0470912406595676
1043,Doppler effect,Distance,0.04711284101774209
1044,Electric potential energy,Speed,0.047166238309122914
1045,Musical tone,Magnification,0.04726714737042678
1046,Standing wave,Mass,0.047438478082984514
1047,Strength of materials,Distance,0.04752652593185941
1048,Wave,Frame of reference,0.04768396873620338
1049,Emission spectrum,Tension (physics),0.0476913777500317
1050,Energy level,Sound,0.04770314782188927
1051,Pigment,Gravity,0.0477922437462534
1052,Insulator (electricity),Coulomb,0.04788875360622158
1053,Emission spectrum,Power (physics),0.0479095498623614
1054,Pigment,Compass,0.0481800546738901
1055,Telescope,Motion,0.04851090647416145
1056,Sound,Frame of reference,0.04862526512569256
1057,Pigment,Work (physics),0.048944259646378975
1058,Power (physics),Gravitational field,0.04896287875438338
1059,Subtractive color,Friction,0.049015972792122976
1060,Electric current,Motion,0.049048775395107505
1061,Sound,Standing wave,0.049065852902227085
1062,Electron,Sound,0.049077784986849254
1063,Electromagnetic radiation,Joule,0.049125954394165915
1064,Scattering,Frequency,0.04922521871919601
1065,Pitch (music),Frame of reference,0.049253205980647016
1066,Magnetism,Physics,0.04926697616536083
1067,Curved mirror,Displacement (vector),0.04930415491079707
1068,Telescope,Compass,0.049416151818476736
1069,Sonic boom,Standing wave,0.049422709178523906
1070,Shock wave,Standing wave,0.049422709178523906
1071,Electromagnetic spectrum,Frame of reference,0.049506229725932646
1072,Creep (deformation),Distance,0.04986381597879413
1073,Series and parallel circuits,Metre,0.049963423921403335
1074,Energy level,Electrical resistance and conductance,0.0500626522752692
1075,Subtractive color,Angle of incidence,0.05006383574776766
1076,Resonance (particle physics),Virtual image,0.050560550713113
1077,Telescope,Physical quantity,0.050567748106259816
1078,Energy level,Coulomb,0.0507318340743491
1079,Photoelectric effect,Crystallinity,0.05082982885427085
1080,Doppler effect,Telescope,0.05087533090526414
1081,Snell's law,Kilogram,0.05092489207599518
1082,Work (physics),Coulomb,0.05109556429218161
1083,Electric potential energy,Direction (geometry),0.051216077568893965
1084,Pigment,Frame of reference,0.05127100100882222
1085,Speed,Length,0.05128350193864468
1086,Electromagnetic radiation,Compass,0.051538210829959026
1087,Interference (wave propagation),Work (physics),0.05181579328690359
1088,Curved mirror,Physical quantity,0.052182784466992746
1089,Pigment,Amplitude,0.05245890535288869
1090,Electromagnetic radiation,Crest (physics),0.052475942385164454
1091,Scalar (mathematics),Distance,0.052628713713940574
1092,Coulomb's law,Velocity,0.05275367241496601
1093,Electric field,Velocity,0.05281840613067063
1094,Doppler effect,Direction (geometry),0.05282199454313642
1095,Total internal reflection,Physical quantity,0.052845536395019925
1096,Electromagnetic radiation,Kinetic energy,0.052904412112699965
1097,Electrostatics,Physics,0.0530032420091052
1098,Electric potential energy,Wave,0.05301207356200216
1099,Resonance (particle physics),Light,0.05301821886259197
1100,Photoelectric effect,Elasticity (physics),0.05309514324498121
1101,Electric potential energy,Magnet,0.05325506573649508
1102,Mirror image,Physical quantity,0.053335291969185517
1103,Electric potential,Direction (geometry),0.05338888085969552
1104,Electroscope,Kilogram,0.053444423757769255
1105,Intensity (physics),Telescope,0.053536936701096605
1106,Sound intensity,Telescope,0.053536936701096605
1107,Emission spectrum,Electrical conductor,0.053868684193637016
1108,Diffraction,Length,0.05387727998339746
1109,Laser,Elasticity (physics),0.05395373761280608
1110,Musical tone,Optical microscope,0.05418793075674479
1111,Absorption spectroscopy,Crystallinity,0.05428002006706601
1112,Electromagnetic radiation,Plasticity (physics),0.05432136221207095
1113,Electromagnetic radiation,Hertz,0.05432136221207095
1114,Electric potential energy,Distance,0.05435388202487965
1115,Field line,Frame of reference,0.05439497010850433
1116,Scattering,Gravity,0.05441254724666951
1117,Subtractive color,Plasticity (physics),0.05451791057872072
1118,Snell's law,Frame of reference,0.05471345965989196
1119,Coulomb's law,Gravitational constant,0.05481940937071305
1120,Emission spectrum,Free fall,0.054826357183394764
1121,Doppler effect,Magnet,0.054924916652266446
1122,Field line,Motion,0.055184662782401396
1123,Electric potential,Magnet,0.055514371555619106
1124,Diffraction,Distance,0.05575161386655688
1125,Electron,Compass,0.05594733615492774
1126,Pigment,Friction,0.05601825461956911
1127,Photoelectric effect,Power (physics),0.056080354635557376
1128,Frequency,Frame of reference,0.056257079234014365
1129,Resonance (particle physics),Frame of reference,0.0562893782635966
1130,Dielectric,Friction,0.056312765391987527
1131,Resultant force,Coulomb,0.0564740447439902
1132,Lever,Coulomb,0.05664942997611439
1133,Electromagnetic radiation,Reflection (physics),0.056755255427054514
1134,Electric current,Metre,0.05707963206405475
1135,Pigment,Angle of incidence,0.057215812283163026
1136,Musical tone,Compression (physics),0.05724463183236393
1137,Snell's law,Reflection (physics),0.057403854899156524
1138,Total internal reflection,Length,0.057486803246654304
1139,Standing wave,Frame of reference,0.05773686050187853
1140,Intensity (physics),Magnification,0.05777095789718829
1141,Sound intensity,Magnification,0.05777095789718829
1142,Wave,Physics,0.05840353591096264
