,Unnamed: 0,type,concept,rank,score,match_concept_list,match_freq_list,first_concept_list,first_freq_list,theta_match_concepts,theta_match_freq,theta_first_concepts,theta_first_freq,rank_match_concepts,rank_match_freq,rank_first_concepts,rank_first_freq
41,78,1,Geometrical optics,28.0,0.364394734984031,Light|Hardness|Ray (optics)|Wave|Crest (physics)|Geometrical optics|Telescope|Optical microscope|Work (physics)|Distance|Reflection (physics)|Physics|Direction (geometry)|Mirror image|Sound|Angle of incidence|Specular reflection|Speed|Refraction|Snell's law|Wavelength|Plane mirror|Curved mirror|Real image|Virtual image|Length|Position (vector)|Magnification|Power (physics)|Plasticity (physics)|Laser,127|1|105|10|1|27|1|1|3|11|71|2|2|1|1|27|16|19|54|8|1|12|26|5|7|5|3|4|1|1|2,Light|Reflection (physics)|Refraction|Work (physics)|Telescope|Optical microscope|Curved mirror|Direction (geometry)|Ray (optics)|Geometrical optics|Position (vector)|Distance|Length|Real image|Virtual image|Magnification|Crystallinity|Stiffness|Planet|Plane mirror|Metre,52|6|7|3|18|4|2|13|87|9|14|33|12|4|3|10|3|1|2|1|1,Light|Hardness|Ray (optics)|Wave|Crest (physics)|Geometrical optics|Telescope|Optical microscope|Work (physics)|Distance|Reflection (physics)|Physics|Direction (geometry)|Mirror image|Sound|Angle of incidence|Specular reflection|Speed|Refraction|Snell's law|Wavelength|Plane mirror|Curved mirror|Real image|Virtual image|Length|Position (vector)|Magnification|Power (physics)|Plasticity (physics)|Laser,127|1|105|10|1|27|1|1|3|11|71|2|2|1|1|27|16|19|54|8|1|12|26|5|7|5|3|4|1|1|2,Light|Reflection (physics)|Refraction|Work (physics)|Telescope|Optical microscope|Curved mirror|Direction (geometry)|Ray (optics)|Geometrical optics|Position (vector)|Distance|Length|Real image|Virtual image|Magnification|Crystallinity|Stiffness|Planet|Plane mirror|Metre,52|6|7|3|18|4|2|13|87|9|14|33|12|4|3|10|3|1|2|1|1,Wave|Crest (physics)|Distance|Physics|Speed|Wavelength|Length|Position (vector),10|1|11|2|19|1|5|3,Position (vector)|Distance|Length|Planet|Metre,14|33|12|2|1
42,97,2,Light,29.0,0.4180450435741981,Light|Wavelength|Color|Frequency|Speed|Refraction,27|6|5|9|3|4,Physics|Light|Ray (optics)|Direction (geometry)|Reflection (physics),1|20|10|1|2,Light|Wavelength|Color|Frequency|Speed|Refraction,27|6|5|9|3|4,Physics|Light|Ray (optics)|Direction (geometry)|Reflection (physics),1|20|10|1|2,Wavelength|Frequency|Speed,6|9|3,Physics,1
43,105,2,Ray (optics),29.0,0.4503698646794566,Ray (optics)|Light|Plane mirror|Specular reflection|Length|Position (vector)|Distance|Reflection (physics)|Angle of incidence|Direction (geometry)|Virtual image,26|6|5|3|1|1|1|3|2|1|1,,,Ray (optics)|Light|Plane mirror|Specular reflection|Length|Position (vector)|Distance|Reflection (physics)|Angle of incidence|Direction (geometry)|Virtual image,26|6|5|3|1|1|1|3|2|1|1,,,Length|Position (vector)|Distance,1|1|1,,
44,142,1,Reflection (physics),30.0,0.6436494649081701,Reflection (physics)|Light|Ray (optics)|Mirror image|Wave|Sound|Angle of incidence|Specular reflection,37|12|27|1|7|1|8|10,Reflection (physics)|Light|Ray (optics)|Mirror image|Wave|Sound|Angle of incidence|Specular reflection,37|12|27|1|7|1|8|10,Reflection (physics)|Light|Ray (optics)|Mirror image|Wave|Sound|Angle of incidence|Specular reflection,37|12|27|1|7|1|8|10,Reflection (physics)|Light|Ray (optics)|Mirror image|Wave|Sound|Angle of incidence|Specular reflection,37|12|27|1|7|1|8|10,Light|Ray (optics)|Wave,12|27|7,Light|Ray (optics)|Wave,12|27|7
45,139,3,Mirror image,30.0,0.6278555135380448,Reflection (physics)|Plane mirror|Curved mirror|Light|Physics|Ray (optics)|Work (physics)|Real image|Virtual image|Distance|Specular reflection|Length|Position (vector)|Angle of incidence|Direction (geometry)|Geometrical optics|Magnification,16|12|26|25|1|41|2|5|7|8|6|4|3|2|1|2|4,Reflection (physics)|Plane mirror|Curved mirror|Light|Physics|Ray (optics)|Work (physics)|Real image|Virtual image|Distance|Specular reflection|Length|Position (vector)|Angle of incidence|Direction (geometry)|Geometrical optics|Magnification,16|12|26|25|1|41|2|5|7|8|6|4|3|2|1|2|4,Reflection (physics)|Plane mirror|Curved mirror|Light|Physics|Ray (optics)|Work (physics)|Real image|Virtual image|Distance|Specular reflection|Length|Position (vector)|Angle of incidence|Direction (geometry)|Geometrical optics|Magnification,16|12|26|25|1|41|2|5|7|8|6|4|3|2|1|2|4,Reflection (physics)|Plane mirror|Curved mirror|Light|Physics|Ray (optics)|Work (physics)|Real image|Virtual image|Distance|Specular reflection|Length|Position (vector)|Angle of incidence|Direction (geometry)|Geometrical optics|Magnification,16|12|26|25|1|41|2|5|7|8|6|4|3|2|1|2|4,Light|Physics|Ray (optics)|Distance|Length|Position (vector)|Geometrical optics,25|1|41|8|4|3|2,Light|Physics|Ray (optics)|Distance|Length|Position (vector)|Geometrical optics,25|1|41|8|4|3|2
46,17,0,Angle of incidence,31.0,0.0,,,,,,,,,,,,
47,101,1,Specular reflection,31.0,0.42641285980482,Specular reflection|Angle of incidence|Reflection (physics)|Ray (optics)|Wave|Light,4|6|10|4|2|2,Specular reflection|Angle of incidence|Reflection (physics)|Ray (optics)|Wave|Light,4|6|10|4|2|2,Specular reflection|Angle of incidence|Reflection (physics)|Ray (optics)|Wave|Light,4|6|10|4|2|2,Specular reflection|Angle of incidence|Reflection (physics)|Ray (optics)|Wave|Light,4|6|10|4|2|2,Reflection (physics)|Ray (optics)|Wave|Light,10|4|2|2,Reflection (physics)|Ray (optics)|Wave|Light,10|4|2|2
48,133,1,Refraction,32.0,0.5838516033800529,Light|Reflection (physics)|Wave|Speed|Ray (optics)|Refraction|Geometrical optics|Angle of incidence|Snell's law|Wavelength,44|2|1|18|18|46|6|7|5|1,Light|Reflection (physics)|Wave|Speed|Ray (optics)|Refraction|Geometrical optics|Angle of incidence|Snell's law|Wavelength,44|2|1|18|18|46|6|7|5|1,Light|Reflection (physics)|Wave|Speed|Ray (optics)|Refraction|Geometrical optics|Angle of incidence|Snell's law|Wavelength,44|2|1|18|18|46|6|7|5|1,Light|Reflection (physics)|Wave|Speed|Ray (optics)|Refraction|Geometrical optics|Angle of incidence|Snell's law|Wavelength,44|2|1|18|18|46|6|7|5|1,Light|Reflection (physics)|Wave|Speed|Ray (optics)|Geometrical optics|Angle of incidence|Wavelength,44|2|1|18|18|6|7|1,Light|Reflection (physics)|Wave|Speed|Ray (optics)|Geometrical optics|Angle of incidence|Wavelength,44|2|1|18|18|6|7|1
49,117,1,Refractive index,33.0,0.4943516743776213,Light|Speed|Refraction,19|15|11,Light|Speed|Refraction,19|15|11,Light|Speed|Refraction,19|15|11,Light|Speed|Refraction,19|15|11,Light|Speed|Refraction,19|15|11,Light|Speed|Refraction,19|15|11
50,96,1,Snell's law,34.0,0.4177131937059965,Refraction|Angle of incidence|Light|Snell's law|Wavelength|Ray (optics),21|7|7|4|1|12,Refraction|Angle of incidence|Light|Snell's law|Wavelength|Ray (optics),21|7|7|4|1|12,Refraction|Angle of incidence|Light|Snell's law|Wavelength|Ray (optics),21|7|7|4|1|12,Refraction|Angle of incidence|Light|Snell's law|Wavelength|Ray (optics),21|7|7|4|1|12,Refraction|Angle of incidence|Light|Wavelength|Ray (optics),21|7|7|1|12,Refraction|Angle of incidence|Light|Wavelength|Ray (optics),21|7|7|1|12
51,4,0,Virtual image,35.0,0.0,,,,,,,,,,,,
52,5,0,Real image,35.0,0.0,,,,,,,,,,,,
53,126,1,Plane mirror,36.0,0.5510807527481596,Distance|Virtual image|Light,1|3|5,Distance|Virtual image|Light,1|3|5,Distance|Virtual image|Light,1|3|5,Distance|Virtual image|Light,1|3|5,Distance|Virtual image|Light,1|3|5,Distance|Virtual image|Light,1|3|5
54,145,1,Curved mirror,37.0,0.6687962217671587,Curved mirror|Plane mirror|Length|Geometrical optics|Specular reflection|Light|Ray (optics)|Reflection (physics),18|1|1|1|2|2|5|3,Curved mirror|Plane mirror|Length|Geometrical optics|Specular reflection|Light|Ray (optics)|Reflection (physics),18|1|1|1|2|2|5|3,Curved mirror|Plane mirror|Length|Geometrical optics|Specular reflection|Light|Ray (optics)|Reflection (physics),18|1|1|1|2|2|5|3,Curved mirror|Plane mirror|Length|Geometrical optics|Specular reflection|Light|Ray (optics)|Reflection (physics),18|1|1|1|2|2|5|3,Plane mirror|Length|Geometrical optics|Specular reflection|Light|Ray (optics)|Reflection (physics),1|1|1|2|2|5|3,Plane mirror|Length|Geometrical optics|Specular reflection|Light|Ray (optics)|Reflection (physics),1|1|1|2|2|5|3
55,107,1,Magnification,38.0,0.4507019797697617,Geometrical optics|Magnification|Plane mirror,1|4|1,Geometrical optics|Magnification|Plane mirror,1|4|1,Geometrical optics|Magnification|Plane mirror,1|4|1,Geometrical optics|Magnification|Plane mirror,1|4|1,Geometrical optics|Plane mirror,1|1,Geometrical optics|Plane mirror,1|1
56,123,1,Total internal reflection,39.0,0.5241653786385257,Angle of incidence|Refraction|Ray (optics)|Reflection (physics)|Light|Geometrical optics|Snell's law,8|7|3|9|3|2|3,Angle of incidence|Refraction|Ray (optics)|Reflection (physics)|Light|Geometrical optics|Snell's law,8|7|3|9|3|2|3,Angle of incidence|Refraction|Ray (optics)|Reflection (physics)|Light|Geometrical optics|Snell's law,8|7|3|9|3|2|3,Angle of incidence|Refraction|Ray (optics)|Reflection (physics)|Light|Geometrical optics|Snell's law,8|7|3|9|3|2|3,Angle of incidence|Refraction|Ray (optics)|Reflection (physics)|Light|Geometrical optics|Snell's law,8|7|3|9|3|2|3,Angle of incidence|Refraction|Ray (optics)|Reflection (physics)|Light|Geometrical optics|Snell's law,8|7|3|9|3|2|3
57,148,1,Magnetism,40.0,0.6839828812973584,Magnet|Force|Field (physics)|Physics|Electron|Direction (geometry)|Plasticity (physics)|Electric field|Position (vector)|Electric charge|Strength of materials|Compass|Electrical polarity|Work (physics)|Electric current|Collision|Light,87|4|56|1|5|20|2|2|1|6|1|10|1|1|1|1|1,Magnet|Force|Field (physics)|Physics|Electron|Direction (geometry)|Plasticity (physics)|Electric field|Position (vector)|Electric charge|Strength of materials|Compass|Electrical polarity|Work (physics)|Electric current|Collision|Light,87|4|56|1|5|20|2|2|1|6|1|10|1|1|1|1|1,Magnet|Force|Field (physics)|Physics|Electron|Direction (geometry)|Plasticity (physics)|Electric field|Position (vector)|Electric charge|Strength of materials|Compass|Electrical polarity|Work (physics)|Electric current|Collision|Light,87|4|56|1|5|20|2|2|1|6|1|10|1|1|1|1|1,Magnet|Force|Field (physics)|Physics|Electron|Direction (geometry)|Plasticity (physics)|Electric field|Position (vector)|Electric charge|Strength of materials|Compass|Electrical polarity|Work (physics)|Electric current|Collision|Light,87|4|56|1|5|20|2|2|1|6|1|10|1|1|1|1|1,Field (physics)|Physics|Position (vector)|Light,56|1|1|1,Field (physics)|Physics|Position (vector)|Light,56|1|1|1
58,140,1,Magnetic field,41.0,0.6287597786823658,Magnet|Field (physics)|Force|Electron|Direction (geometry)|Plasticity (physics)|Electric field,19|13|1|3|5|2|1,Magnet|Field (physics)|Force|Electron|Direction (geometry)|Plasticity (physics)|Electric field,19|13|1|3|5|2|1,Magnet|Field (physics)|Force|Electron|Direction (geometry)|Plasticity (physics)|Electric field,19|13|1|3|5|2|1,Magnet|Field (physics)|Force|Electron|Direction (geometry)|Plasticity (physics)|Electric field,19|13|1|3|5|2|1,Field (physics),13,Field (physics),13
59,143,2,Magnet,42.0,0.6569739953578504,Magnet|Direction (geometry)|Field (physics)|Electric field|Position (vector)|Electric charge|Electron|Strength of materials|Compass|Electrical polarity,38|4|27|1|1|3|1|1|2|1,Magnet|Direction (geometry)|Field (physics)|Electric field|Position (vector)|Electric charge|Electron|Strength of materials|Compass|Electrical polarity,38|4|27|1|1|3|1|1|2|1,Magnet|Direction (geometry)|Field (physics)|Electric field|Position (vector)|Electric charge|Electron|Strength of materials|Compass|Electrical polarity,38|4|27|1|1|3|1|1|2|1,Magnet|Direction (geometry)|Field (physics)|Electric field|Position (vector)|Electric charge|Electron|Strength of materials|Compass|Electrical polarity,38|4|27|1|1|3|1|1|2|1,Field (physics)|Position (vector),27|1,Field (physics)|Position (vector),27|1
60,13,0,Electrical polarity,43.0,0.0,,,,,,,,,,,,
61,122,2,Compass,44.0,0.5101071421741621,Compass|Direction (geometry)|Magnet|Field (physics)|Work (physics)|Electric current|Electric charge|Electron|Collision|Light,8|11|23|14|1|1|3|1|1|1,Compass|Direction (geometry)|Magnet|Field (physics)|Work (physics)|Electric current|Electric charge|Electron|Collision|Light,8|11|23|14|1|1|3|1|1|1,Compass|Direction (geometry)|Magnet|Field (physics)|Work (physics)|Electric current|Electric charge|Electron|Collision|Light,8|11|23|14|1|1|3|1|1|1,Compass|Direction (geometry)|Magnet|Field (physics)|Work (physics)|Electric current|Electric charge|Electron|Collision|Light,8|11|23|14|1|1|3|1|1|1,Magnet|Field (physics)|Light,23|14|1,Magnet|Field (physics)|Light,23|14|1
62,87,1,Electrostatics,45.0,0.3801757759854614,Force|Electric charge|Electrostatics|Distance|Coulomb|Newton's law of universal gravitation|Mass|Gravitational constant|Field (physics)|Direction (geometry)|Position (vector)|Electrical conductor|Electric field|Magnet|Euclidean vector|Length|Work (physics)|Reflection (physics)|Electron|Strength of materials|Electric potential energy|Energy|Potential energy|Electric potential|Voltage|Joule|Power (physics)|Collision|Metre|Electric current|Wave|Sound|Light|Speed|Capacitor|Electrical polarity|Capacitance|Dielectric|Electromotive force|Insulator (electricity),44|192|10|16|14|2|2|1|31|20|36|2|44|1|3|1|5|1|10|4|3|4|4|3|24|1|3|1|1|6|1|3|1|2|29|1|11|12|1|1,Force|Electric charge|Electrostatics|Distance|Coulomb|Newton's law of universal gravitation|Mass|Gravitational constant|Field (physics)|Direction (geometry)|Position (vector)|Electrical conductor|Electric field|Magnet|Euclidean vector|Length|Work (physics)|Reflection (physics)|Electron|Strength of materials|Electric potential energy|Energy|Potential energy|Electric potential|Voltage|Joule|Power (physics)|Collision|Metre|Electric current|Wave|Sound|Light|Speed|Capacitor|Electrical polarity|Capacitance|Dielectric|Electromotive force|Insulator (electricity),44|192|10|16|14|2|2|1|31|20|36|2|44|1|3|1|5|1|10|4|3|4|4|3|24|1|3|1|1|6|1|3|1|2|29|1|11|12|1|1,Force|Electric charge|Electrostatics|Distance|Coulomb|Newton's law of universal gravitation|Mass|Gravitational constant|Field (physics)|Direction (geometry)|Position (vector)|Electrical conductor|Electric field|Magnet|Euclidean vector|Length|Work (physics)|Reflection (physics)|Electron|Strength of materials|Electric potential energy|Energy|Potential energy|Electric potential|Voltage|Joule|Power (physics)|Collision|Metre|Electric current|Wave|Sound|Light|Speed|Capacitor|Electrical polarity|Capacitance|Dielectric|Electromotive force|Insulator (electricity),44|192|10|16|14|2|2|1|31|20|36|2|44|1|3|1|5|1|10|4|3|4|4|3|24|1|3|1|1|6|1|3|1|2|29|1|11|12|1|1,Force|Electric charge|Electrostatics|Distance|Coulomb|Newton's law of universal gravitation|Mass|Gravitational constant|Field (physics)|Direction (geometry)|Position (vector)|Electrical conductor|Electric field|Magnet|Euclidean vector|Length|Work (physics)|Reflection (physics)|Electron|Strength of materials|Electric potential energy|Energy|Potential energy|Electric potential|Voltage|Joule|Power (physics)|Collision|Metre|Electric current|Wave|Sound|Light|Speed|Capacitor|Electrical polarity|Capacitance|Dielectric|Electromotive force|Insulator (electricity),44|192|10|16|14|2|2|1|31|20|36|2|44|1|3|1|5|1|10|4|3|4|4|3|24|1|3|1|1|6|1|3|1|2|29|1|11|12|1|1,Distance|Mass|Field (physics)|Position (vector)|Magnet|Length|Reflection (physics)|Potential energy|Metre|Wave|Light|Speed|Electrical polarity,16|2|31|36|1|1|1|4|1|1|1|2|1,Distance|Mass|Field (physics)|Position (vector)|Magnet|Length|Reflection (physics)|Potential energy|Metre|Wave|Light|Speed|Electrical polarity,16|2|31|36|1|1|1|4|1|1|1|2|1
63,132,2,Electric charge,46.0,0.5792078602562774,Electric charge|Position (vector)|Coulomb|Electrostatics|Work (physics)|Energy|Plasticity (physics),56|18|4|1|1|1|1,Electric charge|Position (vector)|Coulomb|Electrostatics|Work (physics)|Energy|Plasticity (physics),56|18|4|1|1|1|1,Electric charge|Position (vector)|Coulomb|Electrostatics|Work (physics)|Energy|Plasticity (physics),56|18|4|1|1|1|1,Electric charge|Position (vector)|Coulomb|Electrostatics|Work (physics)|Energy|Plasticity (physics),56|18|4|1|1|1|1,Position (vector)|Electrostatics,18|1,Position (vector)|Electrostatics,18|1
64,1,0,Coulomb,47.0,0.0,,,,,,,,,,,,
65,56,2,Electrical conductor,48.0,0.2889248250028433,Temperature|Ohm|Electrical |Electrical resistance and conductance|Electrical conductor|Light|Voltage|Electric current,8|4|6|6|8|2|4|5,Temperature|Ohm|Electrical |Electrical resistance and conductance|Electrical conductor|Light|Voltage|Electric current,8|4|6|6|8|2|4|5,Temperature|Ohm|Electrical |Electrical resistance and conductance|Electrical conductor|Light|Voltage|Electric current,8|4|6|6|8|2|4|5,Temperature|Ohm|Electrical |Electrical resistance and conductance|Electrical conductor|Light|Voltage|Electric current,8|4|6|6|8|2|4|5,Temperature|Light,8|2,Temperature|Light,8|2
66,112,1,Electroscope,49.0,0.4651671853933705,Electroscope|Electric charge|Position (vector)|Electrical conductor|Force,9|24|5|1|1,Electroscope|Electric charge|Position (vector)|Electrical conductor|Force,9|24|5|1|1,Electroscope|Electric charge|Position (vector)|Electrical conductor|Force,9|24|5|1|1,Electroscope|Electric charge|Position (vector)|Electrical conductor|Force,9|24|5|1|1,Electric charge|Position (vector)|Electrical conductor,24|5|1,Electric charge|Position (vector)|Electrical conductor,24|5|1
67,102,1,Voltage,50.0,0.4333391773788704,Electric charge|Force|Work (physics)|Electric current|Position (vector)|Potential energy|Gravity|Voltage|Electric potential|Electric potential energy|Joule|Coulomb|Distance|Electrical |Electrical resistance and conductance|Ohm|Electromotive force,14|6|8|1|2|13|2|36|2|1|1|1|3|10|10|1|3,Electric charge|Force|Work (physics)|Electric current|Position (vector)|Potential energy|Gravity|Voltage|Electric potential|Electric potential energy|Joule|Coulomb|Distance|Electrical |Electrical resistance and conductance|Ohm|Electromotive force,14|6|8|1|2|13|2|36|2|1|1|1|3|10|10|1|3,Electric charge|Force|Work (physics)|Electric current|Position (vector)|Potential energy|Gravity|Voltage|Electric potential|Electric potential energy|Joule|Coulomb|Distance|Electrical |Electrical resistance and conductance|Ohm|Electromotive force,14|6|8|1|2|13|2|36|2|1|1|1|3|10|10|1|3,Electric charge|Force|Work (physics)|Electric current|Position (vector)|Potential energy|Gravity|Voltage|Electric potential|Electric potential energy|Joule|Coulomb|Distance|Electrical |Electrical resistance and conductance|Ohm|Electromotive force,14|6|8|1|2|13|2|36|2|1|1|1|3|10|10|1|3,Electric charge|Position (vector)|Potential energy|Gravity|Coulomb|Distance,14|2|13|2|1|3,Electric charge|Position (vector)|Potential energy|Gravity|Coulomb|Distance,14|2|13|2|1|3
68,98,1,Ohm's law,51.0,0.41900586488889424,Electric current|Voltage|Electrical |Electrical resistance and conductance|Ohm|Electrical conductor|Temperature|Light,10|9|9|9|11|13|10|2,Voltage|Potential energy|Work (physics)|Electric charge|Electrical |Electrical resistance and conductance|Ohm,11|2|3|2|10|10|1,Electric current|Voltage|Electrical |Electrical resistance and conductance|Ohm|Electrical conductor|Temperature|Light,10|9|9|9|11|13|10|2,Voltage|Potential energy|Work (physics)|Electric charge|Electrical |Electrical resistance and conductance|Ohm,11|2|3|2|10|10|1,Voltage|Electrical conductor|Temperature|Light,9|13|10|2,Voltage|Potential energy|Electric charge,11|2|2
69,77,1,Electromotive force,52.0,0.3640025003379252,Voltage|Force|Electromotive force|Potential energy|Electric charge,4|1|3|3|1,Voltage|Force|Electromotive force|Potential energy|Electric charge,4|1|3|3|1,Voltage|Force|Electromotive force|Potential energy|Electric charge,4|1|3|3|1,Voltage|Force|Electromotive force|Potential energy|Electric charge,4|1|3|3|1,Voltage|Potential energy|Electric charge,4|3|1,Voltage|Potential energy|Electric charge,4|3|1
70,100,1,Electric current,53.0,0.4222678057048652,Electric charge|Electric current|Coulomb|Direction (geometry)|Position (vector)|Series and parallel circuits|Electron|Voltage|Electrical |Electrical resistance and conductance,26|14|1|6|3|1|3|1|1|1,Electric charge|Electric current|Coulomb|Direction (geometry)|Position (vector)|Series and parallel circuits|Electron|Voltage|Electrical |Electrical resistance and conductance,26|14|1|6|3|1|3|1|1|1,Electric charge|Electric current|Coulomb|Direction (geometry)|Position (vector)|Series and parallel circuits|Electron|Voltage|Electrical |Electrical resistance and conductance,26|14|1|6|3|1|3|1|1|1,Electric charge|Electric current|Coulomb|Direction (geometry)|Position (vector)|Series and parallel circuits|Electron|Voltage|Electrical |Electrical resistance and conductance,26|14|1|6|3|1|3|1|1|1,Electric charge|Coulomb|Position (vector)|Voltage,26|1|3|1,Electric charge|Coulomb|Position (vector)|Voltage,26|1|3|1
71,36,1,Series and parallel circuits,54.0,0.19312390171597488,Electric current|Electric charge|Electrical |Electrical resistance and conductance,2|4|1|1,Electric current|Electric charge|Electrical |Electrical resistance and conductance,2|4|1|1,Electric current|Electric charge|Electrical |Electrical resistance and conductance,2|4|1|1,Electric current|Electric charge|Electrical |Electrical resistance and conductance,2|4|1|1,Electric current|Electric charge,2|4,Electric current|Electric charge,2|4
72,99,1,Electrical resistance and conductance,55.0,0.4201969337039448,Series and parallel circuits|Electric current|Electrical |Electrical resistance and conductance|Electron|Direction (geometry)|Electric charge|Position (vector)|Voltage|Ohm|Electromotive force|Energy,10|15|16|16|1|2|1|1|13|4|7|2,Electric charge|Electrical conductor|Optical microscope|Electron|Collision|Energy|Electrical |Electrical resistance and conductance|Ohm|Light|Electric current|Temperature|Potential energy|Power (physics)|Series and parallel circuits|Ammeter,5|6|1|4|2|10|16|16|2|4|11|1|3|1|2|2,Series and parallel circuits|Electric current|Electrical |Electrical resistance and conductance|Electron|Direction (geometry)|Electric charge|Position (vector)|Voltage|Ohm|Electromotive force|Energy,10|15|16|16|1|2|1|1|13|4|7|2,Electric charge|Electrical conductor|Optical microscope|Electron|Collision|Energy|Electrical |Electrical resistance and conductance|Ohm|Light|Electric current|Temperature|Potential energy|Power (physics)|Series and parallel circuits|Ammeter,5|6|1|4|2|10|16|16|2|4|11|1|3|1|2|2,Series and parallel circuits|Electric current|Electric charge|Position (vector)|Voltage|Electromotive force,10|15|1|1|13|7,Electric charge|Electrical conductor|Light|Electric current|Temperature|Potential energy|Series and parallel circuits,5|6|4|11|1|3|2
73,15,0,Ohm,56.0,0.0,,,,,,,,,,,,
74,91,1,Voltmeter,57.0,0.4002894038098661,Voltmeter|Voltage|Metre,7|4|1,Voltmeter|Voltage|Metre,7|4|1,Voltmeter|Voltage|Metre,7|4|1,Voltmeter|Voltage|Metre,7|4|1,Voltage|Metre,4|1,Voltage|Metre,4|1
75,93,1,Ammeter,58.0,0.4068635498093735,Ammeter|Electric current,2|2,Ammeter|Electric current,2|2,Ammeter|Electric current,2|2,Ammeter|Electric current,2|2,Electric current,2,Electric current,2
76,106,1,Ohmmeter,59.0,0.4506353173842517,Ohmmeter|Electrical |Electrical resistance and conductance|Ammeter|Work (physics)|Voltage|Electric current|Ohm|Power (physics),7|4|4|1|1|4|3|1|1,Ohmmeter|Electrical |Electrical resistance and conductance|Ammeter|Work (physics)|Voltage|Electric current|Ohm|Power (physics),7|4|4|1|1|4|3|1|1,Ohmmeter|Electrical |Electrical resistance and conductance|Ammeter|Work (physics)|Voltage|Electric current|Ohm|Power (physics),7|4|4|1|1|4|3|1|1,Ohmmeter|Electrical |Electrical resistance and conductance|Ammeter|Work (physics)|Voltage|Electric current|Ohm|Power (physics),7|4|4|1|1|4|3|1|1,Electrical resistance and conductance|Ammeter|Voltage|Electric current|Ohm,4|1|4|3|1,Electrical resistance and conductance|Ammeter|Voltage|Electric current|Ohm,4|1|4|3|1
77,103,1,Euclidean vector,60.0,0.4384160956894816,Euclidean vector|Physics|Scalar (mathematics)|Direction (geometry)|Velocity|Speed|Force|Compass|Length|Displacement (vector)|Distance|Work (physics)|Position (vector)|Motion,137|7|9|54|4|1|6|3|10|18|1|2|7|1,Euclidean vector|Physics|Scalar (mathematics)|Direction (geometry)|Velocity|Speed|Force|Compass|Length|Displacement (vector)|Distance|Work (physics)|Position (vector)|Motion,137|7|9|54|4|1|6|3|10|18|1|2|7|1,Euclidean vector|Physics|Scalar (mathematics)|Direction (geometry)|Velocity|Speed|Force|Compass|Length|Displacement (vector)|Distance|Work (physics)|Position (vector)|Motion,137|7|9|54|4|1|6|3|10|18|1|2|7|1,Euclidean vector|Physics|Scalar (mathematics)|Direction (geometry)|Velocity|Speed|Force|Compass|Length|Displacement (vector)|Distance|Work (physics)|Position (vector)|Motion,137|7|9|54|4|1|6|3|10|18|1|2|7|1,Physics|Velocity|Speed|Compass|Length|Displacement (vector)|Distance|Position (vector)|Motion,7|4|1|3|10|18|1|7|1,Physics|Velocity|Speed|Compass|Length|Displacement (vector)|Distance|Position (vector)|Motion,7|4|1|3|10|18|1|7|1
78,18,3,Phase velocity,60.0,0.01872122815538225,Euclidean vector|Physics|Scalar (mathematics)|Direction (geometry)|Velocity|Speed|Force|Compass|Length|Displacement (vector)|Distance|Work (physics)|Position (vector)|Motion,137|7|9|54|4|1|6|3|10|18|1|2|7|1,Euclidean vector|Physics|Scalar (mathematics)|Direction (geometry)|Velocity|Speed|Force|Compass|Length|Displacement (vector)|Distance|Work (physics)|Position (vector)|Motion,137|7|9|54|4|1|6|3|10|18|1|2|7|1,,,,,,,,
79,66,2,Scalar (mathematics),61.0,0.3247156044195587,Scalar (mathematics)|Euclidean vector|Direction (geometry)|Physics|Velocity|Speed|Work (physics),8|10|6|1|2|1|1,Scalar (mathematics)|Euclidean vector|Direction (geometry)|Physics|Velocity|Speed|Work (physics),8|10|6|1|2|1|1,Scalar (mathematics)|Euclidean vector|Direction (geometry)|Physics|Velocity|Speed|Work (physics),8|10|6|1|2|1|1,Scalar (mathematics)|Euclidean vector|Direction (geometry)|Physics|Velocity|Speed|Work (physics),8|10|6|1|2|1|1,Euclidean vector|Physics|Velocity|Speed,10|1|2|1,Euclidean vector|Physics|Velocity|Speed,10|1|2|1
80,34,1,Direction (geometry),62.0,0.18880926641298398,Euclidean vector|Direction (geometry)|Compass,10|10|2,Euclidean vector|Direction (geometry)|Compass,10|10|2,Euclidean vector|Direction (geometry)|Compass,10|10|2,Euclidean vector|Direction (geometry)|Compass,10|10|2,Euclidean vector|Compass,10|2,Euclidean vector|Compass,10|2
81,38,1,Scalar multiplication,63.0,0.19828559631353795,Euclidean vector|Scalar (mathematics)|Work (physics),2|1|1,Euclidean vector|Scalar (mathematics)|Work (physics),2|1|1,Euclidean vector|Scalar (mathematics)|Work (physics),2|1|1,Euclidean vector|Scalar (mathematics)|Work (physics),2|1|1,Euclidean vector|Scalar (mathematics),2|1,Euclidean vector|Scalar (mathematics),2|1
82,138,3,Contact force,64.0,0.6118378175984952,Force|Direction (geometry)|Gravity|Electron|Magnet|Euclidean vector|Newton's law of universal gravitation,27|2|1|1|2|2|1,Force|Direction (geometry)|Gravity|Electron|Magnet|Euclidean vector|Newton's law of universal gravitation,27|2|1|1|2|2|1,Force|Direction (geometry)|Gravity|Electron|Magnet|Euclidean vector|Newton's law of universal gravitation,27|2|1|1|2|2|1,Force|Direction (geometry)|Gravity|Electron|Magnet|Euclidean vector|Newton's law of universal gravitation,27|2|1|1|2|2|1,Direction (geometry)|Gravity|Magnet|Euclidean vector,2|1|2|2,Direction (geometry)|Gravity|Magnet|Euclidean vector,2|1|2|2
