,type,concept,rank,score,match_index,first_index,rank_pos,match_concept_list,match_freq_list,first_concept_list,first_freq_list
94,2,Electric potential energy,84.0,0.4096634622576561,17.4,17.4,17.4,Electric potential energy|Electric charge|Energy|Position (vector)|Potential energy|Distance|Electric potential|Electric field|Field (physics)|Work (physics)|Voltage|Joule|Coulomb|Power (physics)|Collision|Metre|Electric current|Electron|Force|Direction (geometry)|Wave|Sound|Light|Speed,3|36|3|12|4|3|3|10|2|4|4|1|1|1|1|1|4|1|1|1|1|3|1|2,Electric potential energy|Electric charge|Energy|Position (vector)|Potential energy|Distance|Electric potential|Electric field|Field (physics)|Work (physics)|Voltage|Joule|Coulomb|Power (physics)|Collision|Metre|Electric current|Electron|Force|Direction (geometry)|Wave|Sound|Light|Speed,3|36|3|12|4|3|3|10|2|4|4|1|1|1|1|1|4|1|1|1|1|3|1|2
95,2,Lever,69.0,0.4119322346895042,12.6,12.6,12.6,Force|Motion|Distance|Torque|Euclidean vector|Tangential and normal components|Direction (geometry)|Position (vector)|Mass|Kilogram|Lever|Metre|Work (physics)|Friction|Length,17|2|8|12|1|1|4|2|4|3|31|2|2|2|1,Force|Motion|Distance|Torque|Euclidean vector|Tangential and normal components|Direction (geometry)|Position (vector)|Mass|Kilogram|Lever|Metre|Work (physics)|Friction|Length,17|2|8|12|1|1|4|2|4|3|31|2|2|2|1
96,1,Snell's law,34.0,0.4177131937059965,7.4.2,7.4.2,7.4.2,Refraction|Angle of incidence|Light|Snell's law|Wavelength|Ray (optics),21|7|7|4|1|12,Refraction|Angle of incidence|Light|Snell's law|Wavelength|Ray (optics),21|7|7|4|1|12
97,2,Light,29.0,0.4180450435741981,25.2,7.2,7.2,Light|Wavelength|Color|Frequency|Speed|Refraction,27|6|5|9|3|4,Physics|Light|Ray (optics)|Direction (geometry)|Reflection (physics),1|20|10|1|2
98,1,Ohm's law,51.0,0.41900586488889424,19.2,10.2.4,10.2.4,Electric current|Voltage|Electrical |Electrical resistance and conductance|Ohm|Electrical conductor|Temperature|Light,10|9|9|9|11|13|10|2,Voltage|Potential energy|Work (physics)|Electric charge|Electrical |Electrical resistance and conductance|Ohm,11|2|3|2|10|10|1
99,1,Electrical resistance and conductance,55.0,0.4201969337039448,19.3,10.4,10.4,Series and parallel circuits|Electric current|Electrical |Electrical resistance and conductance|Electron|Direction (geometry)|Electric charge|Position (vector)|Voltage|Ohm|Electromotive force|Energy,10|15|16|16|1|2|1|1|13|4|7|2,Electric charge|Electrical conductor|Optical microscope|Electron|Collision|Energy|Electrical |Electrical resistance and conductance|Ohm|Light|Electric current|Temperature|Potential energy|Power (physics)|Series and parallel circuits|Ammeter,5|6|1|4|2|10|16|16|2|4|11|1|3|1|2|2
100,1,Electric current,53.0,0.4222678057048652,10.3,10.3,10.3,Electric charge|Electric current|Coulomb|Direction (geometry)|Position (vector)|Series and parallel circuits|Electron|Voltage|Electrical |Electrical resistance and conductance,26|14|1|6|3|1|3|1|1|1,Electric charge|Electric current|Coulomb|Direction (geometry)|Position (vector)|Series and parallel circuits|Electron|Voltage|Electrical |Electrical resistance and conductance,26|14|1|6|3|1|3|1|1|1
101,1,Specular reflection,31.0,0.42641285980481997,7.3.2,7.3.2,7.3.2,Specular reflection|Angle of incidence|Reflection (physics)|Ray (optics)|Wave|Light,4|6|10|4|2|2,Specular reflection|Angle of incidence|Reflection (physics)|Ray (optics)|Wave|Light,4|6|10|4|2|2
102,1,Voltage,50.0,0.4333391773788704,10.2,10.2,10.2,Electric charge|Force|Work (physics)|Electric current|Position (vector)|Potential energy|Gravity|Voltage|Electric potential|Electric potential energy|Joule|Coulomb|Distance|Electrical |Electrical resistance and conductance|Ohm|Electromotive force,14|6|8|1|2|13|2|36|2|1|1|1|3|10|10|1|3,Electric charge|Force|Work (physics)|Electric current|Position (vector)|Potential energy|Gravity|Voltage|Electric potential|Electric potential energy|Joule|Coulomb|Distance|Electrical |Electrical resistance and conductance|Ohm|Electromotive force,14|6|8|1|2|13|2|36|2|1|1|1|3|10|10|1|3
103,1,Euclidean vector,60.0,0.4384160956894816,11,11,11,Euclidean vector|Physics|Scalar (mathematics)|Direction (geometry)|Velocity|Speed|Force|Compass|Length|Displacement (vector)|Distance|Work (physics)|Position (vector)|Motion,137|7|9|54|4|1|6|3|10|18|1|2|7|1,Euclidean vector|Physics|Scalar (mathematics)|Direction (geometry)|Velocity|Speed|Force|Compass|Length|Displacement (vector)|Distance|Work (physics)|Position (vector)|Motion,137|7|9|54|4|1|6|3|10|18|1|2|7|1
104,1,Gravitational field,15.0,0.4460215084076111,4.2.1,4.2.1,4.2.1,Field (physics)|Mass|Force|Gravitational field,1|2|2|1,Field (physics)|Mass|Force|Gravitational field,1|2|2|1
105,2,Ray (optics),29.0,0.4503698646794566,7.2.2|7.5.3,30.6.3,7.2,Ray (optics)|Light|Plane mirror|Specular reflection|Length|Position (vector)|Distance|Reflection (physics)|Angle of incidence|Direction (geometry)|Virtual image,26|6|5|3|1|1|1|3|2|1|1,,
106,1,Ohmmeter,59.0,0.4506353173842517,10.5.3,10.5.3,10.5.3,Ohmmeter|Electrical |Electrical resistance and conductance|Ammeter|Work (physics)|Voltage|Electric current|Ohm|Power (physics),7|4|4|1|1|4|3|1|1,Ohmmeter|Electrical |Electrical resistance and conductance|Ammeter|Work (physics)|Voltage|Electric current|Ohm|Power (physics),7|4|4|1|1|4|3|1|1
107,1,Magnification,38.0,0.4507019797697617,7.5.8,7.5.8,7.5.8,Geometrical optics|Magnification|Plane mirror,1|4|1,Geometrical optics|Magnification|Plane mirror,1|4|1
108,3,Non-inertial reference frame,7.0,0.4539519981033954,21.5.2,21.5.2,3.2.1,Frame of reference|Direction (geometry)|Position (vector)|Motion|Inertial frame of reference|Velocity|Newton's laws of motion|Non-inertial reference frame|Force,4|1|1|1|2|1|1|2|1,Frame of reference|Direction (geometry)|Position (vector)|Motion|Inertial frame of reference|Velocity|Newton's laws of motion|Non-inertial reference frame|Force,4|1|1|1|2|1|1|2|1
109,1,Transverse wave,23.0,0.4583480218039476,6.2,6.2,6,Wave|Direction (geometry)|Displacement (vector)|Position (vector)|Motion|Crest (physics)|Amplitude|Wavelength|Length|Distance|Metre|Frequency|Speed,33|2|5|5|3|14|7|12|1|16|2|4|3,Wave|Direction (geometry)|Displacement (vector)|Position (vector)|Motion|Crest (physics)|Amplitude|Wavelength|Length|Distance|Metre|Frequency|Speed,33|2|5|5|3|14|7|12|1|16|2|4|3
110,2,Electron,112.0,0.4602092699686455,27.3,27.3,27.3,Wave|Electron|Optical microscope|Magnification|Power (physics)|Light|Work (physics)|Magnet|Geometrical optics|Wavelength|Diffraction|Distance|Position (vector)|Field (physics)|Scattering|Crystallinity,1|40|26|3|1|13|2|3|1|3|3|1|1|1|1|1,Wave|Electron|Optical microscope|Magnification|Power (physics)|Light|Work (physics)|Magnet|Geometrical optics|Wavelength|Diffraction|Distance|Position (vector)|Field (physics)|Scattering|Crystallinity,1|40|26|3|1|13|2|3|1|3|3|1|1|1|1|1
111,1,Electromagnetic spectrum,115.0,0.4640869262073512,30.4,30.4,30.4,Field (physics)|Light|Physics|Electromagnetic radiation|Reflection (physics)|Electromagnetic spectrum|Color|Wavelength|Wave|Ray (optics),1|7|2|3|1|2|1|11|3|1,Field (physics)|Light|Physics|Electromagnetic radiation|Reflection (physics)|Electromagnetic spectrum|Color|Wavelength|Wave|Ray (optics),1|7|2|3|1|2|1|11|3|1
112,1,Electroscope,49.0,0.4651671853933705,9.6.1,9.6.1,9.6.1,Electroscope|Electric charge|Position (vector)|Electrical conductor|Force,9|24|5|1|1,Electroscope|Electric charge|Position (vector)|Electrical conductor|Force,9|24|5|1|1
113,1,Frame of reference,7.0,0.4692712243065632,21.5,21.5,3.2.1,Frame of reference|Direction (geometry)|Position (vector)|Motion|Inertial frame of reference|Velocity|Newton's laws of motion|Non-inertial reference frame|Force|Speed|Light|Work (physics),12|2|1|1|2|6|1|2|1|2|2|1,Frame of reference|Direction (geometry)|Position (vector)|Motion|Inertial frame of reference|Velocity|Newton's laws of motion|Non-inertial reference frame|Force|Speed|Light|Work (physics),12|2|1|1|2|6|1|2|1|2|2|1
114,1,Emission spectrum,119.0,0.482354022872985,31.4.1,31.4.1,31.4.1,Electron|Energy|Energy level|Temperature|Color|Light|Wavelength|Voltage|Electrical conductor|Electric current|Electromagnetic radiation|Emission spectrum|Frequency,10|11|12|2|5|5|5|2|1|3|2|3|2,Electron|Energy|Energy level|Temperature|Color|Light|Wavelength|Voltage|Electrical conductor|Electric current|Electromagnetic radiation|Emission spectrum|Frequency,10|11|12|2|5|5|5|2|1|3|2|3|2
115,1,Free body diagram,65.0,0.4880078707054221,12.2.5,12.2.5,12.2.5,Force|Free body diagram,1|1,Force|Free body diagram,1|1
116,1,Potential energy,17.0,0.4903736257517808,4.3,4.3,4.3,Potential energy|Energy|Position (vector)|Electric potential energy|Joule|Mass|Kilogram|Force|Gravity,22|3|3|1|1|2|2|1|1,Potential energy|Energy|Position (vector)|Electric potential energy|Joule|Mass|Kilogram|Force|Gravity,22|3|3|1|1|2|2|1|1
117,1,Refractive index,33.0,0.4943516743776213,7.4.1,7.4.1,7.4.1,Light|Speed|Refraction,19|15|11,Light|Speed|Refraction,19|15|11
118,3,Normal force,64.0,0.4985317974900873,12.2,12.2,12.2,Force|Direction (geometry)|Gravity|Electron|Magnet|Euclidean vector|Newton's law of universal gravitation|Physics|Mass|Work (physics)|Electrostatics|Electric charge|Coulomb|Power (physics)|Friction|Displacement (vector)|Motion|Length|Free body diagram|Frame of reference|Position (vector),109|15|7|1|8|8|1|3|4|2|3|4|2|1|7|1|3|4|4|1|3,Force|Direction (geometry)|Gravity|Electron|Magnet|Euclidean vector|Newton's law of universal gravitation|Physics|Mass|Work (physics)|Electrostatics|Electric charge|Coulomb|Power (physics)|Friction|Displacement (vector)|Motion|Length|Free body diagram|Frame of reference|Position (vector),109|15|7|1|8|8|1|3|4|2|3|4|2|1|7|1|3|4|4|1|3
119,1,Refracting telescope,73.0,0.4992624096376293,13.5.1,13.5.1,13.5.1,Refraction|Telescope|Length|Light|Ray (optics),3|4|1|1|1,Refraction|Telescope|Length|Light|Ray (optics),3|4|1|1|1
120,1,Newton's laws of motion,67.0,0.5059375516490395,12.3,12.3,12.3,Motion|Force|Speed|Direction (geometry)|Velocity|Field (physics)|Newton's laws of motion|Friction|Distance|Electrical |Electrical resistance and conductance|Kilogram|Hardness|Mass|Gravity|Work (physics)|Position (vector)|Free fall|Sound|Tension (physics)|Physics|Magnet|Electrostatics|Euclidean vector|Free body diagram,13|158|1|22|9|1|1|40|2|1|1|5|1|6|15|3|4|1|1|5|1|1|1|2|2,Motion|Force|Speed|Direction (geometry)|Velocity|Field (physics)|Newton's laws of motion|Friction|Distance|Electrical |Electrical resistance and conductance|Kilogram|Hardness|Mass|Gravity|Work (physics)|Position (vector)|Free fall|Sound|Tension (physics)|Physics|Magnet|Electrostatics|Euclidean vector|Free body diagram,13|158|1|22|9|1|1|40|2|1|1|5|1|6|15|3|4|1|1|5|1|1|1|2|2
121,2,Velocity,9.0,0.5079622556965256,3.4|3.6.2,3.4|3.6.2,3.4,Velocity|Position (vector)|Displacement (vector)|Euclidean vector|Scalar (mathematics)|Motion|Speed|Distance|Direction (geometry)|Metre,32|13|5|3|4|9|7|2|3|1,Velocity|Position (vector)|Displacement (vector)|Euclidean vector|Scalar (mathematics)|Motion|Speed|Distance|Direction (geometry)|Metre,32|13|5|3|4|9|7|2|3|1
122,2,Compass,44.0,0.5101071421741621,8.4,8.4,8.4,Compass|Direction (geometry)|Magnet|Field (physics)|Work (physics)|Electric current|Electric charge|Electron|Collision|Light,8|11|23|14|1|1|3|1|1|1,Compass|Direction (geometry)|Magnet|Field (physics)|Work (physics)|Electric current|Electric charge|Electron|Collision|Light,8|11|23|14|1|1|3|1|1|1
123,1,Total internal reflection,39.0,0.5241653786385257,7.6.1,7.6.1,7.6.1,Angle of incidence|Refraction|Ray (optics)|Reflection (physics)|Light|Geometrical optics|Snell's law,8|7|3|9|3|2|3,Angle of incidence|Refraction|Ray (optics)|Reflection (physics)|Light|Geometrical optics|Snell's law,8|7|3|9|3|2|3
124,1,Doppler effect,103.0,0.5327233763145124,24,24,24,Pitch (music)|Doppler effect|Frequency|Wavelength|Wave|Sound|Amplitude|Direction (geometry)|Speed|Velocity|Distance|Reflection (physics)|Hertz|Metre|Light|Color|Telescope|Position (vector),4|16|25|19|25|19|1|4|5|4|3|3|1|4|23|4|2|1,Pitch (music)|Doppler effect|Frequency|Wavelength|Wave|Sound|Amplitude|Direction (geometry)|Speed|Velocity|Distance|Reflection (physics)|Hertz|Metre|Light|Color|Telescope|Position (vector),4|16|25|19|25|19|1|4|5|4|3|3|1|4|23|4|2|1
125,3,Inertial frame of reference,7.0,0.5417957285231702,21.5.2,21.5.2,3.2.1,Frame of reference|Direction (geometry)|Position (vector)|Motion|Inertial frame of reference|Velocity|Newton's laws of motion|Non-inertial reference frame|Force,4|1|1|1|2|1|1|2|1,Frame of reference|Direction (geometry)|Position (vector)|Motion|Inertial frame of reference|Velocity|Newton's laws of motion|Non-inertial reference frame|Force,4|1|1|1|2|1|1|2|1
126,1,Plane mirror,36.0,0.5510807527481596,7.5.2,7.5.2,7.5.2,Distance|Virtual image|Light,1|3|5,Distance|Virtual image|Light,1|3|5
127,1,Telescope,72.0,0.5617031665898614,13.5,13.5,13.5,Telescope|Light|Planet|Reflection (physics)|Refraction|Length|Ray (optics)|Plane mirror|Direction (geometry)|Geometrical optics|Metre,14|6|2|4|4|2|3|1|1|1|1,Telescope|Light|Planet|Reflection (physics)|Refraction|Length|Ray (optics)|Plane mirror|Direction (geometry)|Geometrical optics|Metre,14|6|2|4|4|2|3|1|1|1|1
128,1,Electric potential,85.0,0.5645593779773403,17.4.1,17.4.1,17.4.1,Electric potential|Electric potential energy|Electric charge|Potential energy|Position (vector)|Electric field|Energy|Field (physics)|Work (physics)|Voltage|Joule|Coulomb,2|2|14|3|4|4|1|1|4|4|1|1,Electric potential|Electric potential energy|Electric charge|Potential energy|Position (vector)|Electric field|Energy|Field (physics)|Work (physics)|Voltage|Joule|Coulomb,2|2|14|3|4|4|1|1|4|4|1|1
129,2,Coulomb's law,81.0,0.5691900280058331,17.2,17.2,17.2,Electric charge|Force|Electrostatics|Distance|Coulomb|Newton's law of universal gravitation|Mass|Gravitational constant|Field (physics)|Direction (geometry)|Position (vector)|Electrical conductor,27|14|9|7|9|2|2|1|1|4|1|2,Electric charge|Force|Electrostatics|Distance|Coulomb|Newton's law of universal gravitation|Mass|Gravitational constant|Field (physics)|Direction (geometry)|Position (vector)|Electrical conductor,27|14|9|7|9|2|2|1|1|4|1|2
130,1,Electromagnetic radiation,114.0,0.5725288025362366,30,30,30,Electromagnetic radiation|Wave|Magnet|Direction (geometry)|Frequency|Light|Ray (optics)|Energy|Energy level|Photoelectric effect|Electric charge|Electric field|Field (physics)|Sound|Speed|Physics|Reflection (physics)|Electromagnetic spectrum|Color|Wavelength|Joule|Hertz|Metre|Pigment|Work (physics)|Plasticity (physics)|Interference (wave propagation),13|18|4|1|4|31|6|12|1|1|1|4|5|1|3|3|3|2|1|13|1|2|1|1|1|2|1,Electromagnetic radiation|Wave|Magnet|Direction (geometry)|Frequency|Light|Ray (optics)|Energy|Energy level|Photoelectric effect|Electric charge|Electric field|Field (physics)|Sound|Speed|Physics|Reflection (physics)|Electromagnetic spectrum|Color|Wavelength|Joule|Hertz|Metre|Pigment|Work (physics)|Plasticity (physics)|Interference (wave propagation),13|18|4|1|4|31|6|12|1|1|1|4|5|1|3|3|3|2|1|13|1|2|1|1|1|2|1
131,2,Collision,90.0,0.5752009708090621,21.4,21.4,21.4,Elasticity (physics)|Energy|Collision|Deformation (engineering)|Force|Physics|Work (physics)|Laser|Electric current|Field (physics)|Metre|Optical microscope|Electron,6|39|8|1|2|5|4|1|2|2|1|1|1,Elasticity (physics)|Energy|Collision|Deformation (engineering)|Force|Physics|Work (physics)|Laser|Electric current|Field (physics)|Metre|Optical microscope|Electron,6|39|8|1|2|5|4|1|2|2|1|1|1
132,2,Electric charge,46.0,0.5792078602562774,9.2|9.3|9.4,9.2|9.3|9.4,9.2,Electric charge|Position (vector)|Coulomb|Electrostatics|Work (physics)|Energy|Plasticity (physics),56|18|4|1|1|1|1,Electric charge|Position (vector)|Coulomb|Electrostatics|Work (physics)|Energy|Plasticity (physics),56|18|4|1|1|1|1
133,1,Refraction,32.0,0.5838516033800529,7.4,7.4,7.4,Light|Reflection (physics)|Wave|Speed|Ray (optics)|Refraction|Geometrical optics|Angle of incidence|Snell's law|Wavelength,44|2|1|18|18|46|6|7|5|1,Light|Reflection (physics)|Wave|Speed|Ray (optics)|Refraction|Geometrical optics|Angle of incidence|Snell's law|Wavelength,44|2|1|18|18|46|6|7|5|1
134,2,Mass,13.0,0.5975535957911468,12.4,4.1.1,4.1.1,Gravitational field|Force|Mass|Field (physics)|Strength of materials|Gravity|Euclidean vector|Direction (geometry)|Newton's laws of motion|Distance|Gravitational constant|Kilogram|Metre|Length,3|21|20|5|4|4|1|2|1|3|1|7|1|1,Mass|Kilogram|Planet|Scalar (mathematics)|Force|Euclidean vector,4|3|2|1|1|1
135,2,Field line,83.0,0.5978777991625465,17.3.1,17.3.1,17.3.1,Electric charge|Position (vector)|Electric field|Magnet|Field (physics)|Direction (geometry),8|3|3|1|5|2,Electric charge|Position (vector)|Electric field|Magnet|Field (physics)|Direction (geometry),8|3|3|1|5|2
136,1,Standing wave,27.0,0.6000951686373576,6.4.3,6.4.3,6.4.3,Reflection (physics)|Wave|Direction (geometry)|Frequency|Wavelength|Standing wave|Amplitude|Position (vector)|Crest (physics)|Motion,5|24|1|1|2|10|3|1|1|3,Reflection (physics)|Wave|Direction (geometry)|Frequency|Wavelength|Standing wave|Amplitude|Position (vector)|Crest (physics)|Motion,5|24|1|1|2|10|3|1|1|3
137,1,Pitch (music),77.0,0.6086995115634384,15.2.1,15.2.1,15.2.1,Frequency|Sound|Wave|Pitch (music)|Hertz,7|7|1|6|3,Frequency|Sound|Wave|Pitch (music)|Hertz,7|7|1|6|3
138,3,Contact force,64.0,0.6118378175984952,12.2.1,12.2.1,12.2,Force|Direction (geometry)|Gravity|Electron|Magnet|Euclidean vector|Newton's law of universal gravitation,27|2|1|1|2|2|1,Force|Direction (geometry)|Gravity|Electron|Magnet|Euclidean vector|Newton's law of universal gravitation,27|2|1|1|2|2|1
139,3,Mirror image,30.0,0.6278555135380448,7.5,7.5,7.3,Reflection (physics)|Plane mirror|Curved mirror|Light|Physics|Ray (optics)|Work (physics)|Real image|Virtual image|Distance|Specular reflection|Length|Position (vector)|Angle of incidence|Direction (geometry)|Geometrical optics|Magnification,16|12|26|25|1|41|2|5|7|8|6|4|3|2|1|2|4,Reflection (physics)|Plane mirror|Curved mirror|Light|Physics|Ray (optics)|Work (physics)|Real image|Virtual image|Distance|Specular reflection|Length|Position (vector)|Angle of incidence|Direction (geometry)|Geometrical optics|Magnification,16|12|26|25|1|41|2|5|7|8|6|4|3|2|1|2|4
140,1,Magnetic field,41.0,0.6287597786823658,8.2,8.2,8.2,Magnet|Field (physics)|Force|Electron|Direction (geometry)|Plasticity (physics)|Electric field,19|13|1|3|5|2|1,Magnet|Field (physics)|Force|Electron|Direction (geometry)|Plasticity (physics)|Electric field,19|13|1|3|5|2|1
141,2,Energy level,117.0,0.6301581758123387,31.2.1,31.2.1,31.2.1,Electron|Energy level|Energy|Light|Wavelength,6|4|8|3|2,Electron|Energy level|Energy|Light|Wavelength,6|4|8|3|2
142,1,Reflection (physics),30.0,0.6436494649081701,7.3,7.3,7.3,Reflection (physics)|Light|Ray (optics)|Mirror image|Wave|Sound|Angle of incidence|Specular reflection,37|12|27|1|7|1|8|10,Reflection (physics)|Light|Ray (optics)|Mirror image|Wave|Sound|Angle of incidence|Specular reflection,37|12|27|1|7|1|8|10
143,2,Magnet,42.0,0.6569739953578504,8.3,8.3,8.3,Magnet|Direction (geometry)|Field (physics)|Electric field|Position (vector)|Electric charge|Electron|Strength of materials|Compass|Electrical polarity,38|4|27|1|1|3|1|1|2|1,Magnet|Direction (geometry)|Field (physics)|Electric field|Position (vector)|Electric charge|Electron|Strength of materials|Compass|Electrical polarity,38|4|27|1|1|3|1|1|2|1
144,1,Force,64.0,0.6679805296265006,12.2,12.2,12.2,Force|Direction (geometry)|Gravity|Electron|Magnet|Euclidean vector|Newton's law of universal gravitation|Physics|Mass|Work (physics)|Electrostatics|Electric charge|Coulomb|Power (physics)|Friction|Displacement (vector)|Motion|Length|Free body diagram|Frame of reference|Position (vector),109|15|7|1|8|8|1|3|4|2|3|4|2|1|7|1|3|4|4|1|3,Force|Direction (geometry)|Gravity|Electron|Magnet|Euclidean vector|Newton's law of universal gravitation|Physics|Mass|Work (physics)|Electrostatics|Electric charge|Coulomb|Power (physics)|Friction|Displacement (vector)|Motion|Length|Free body diagram|Frame of reference|Position (vector),109|15|7|1|8|8|1|3|4|2|3|4|2|1|7|1|3|4|4|1|3
145,1,Curved mirror,37.0,0.6687962217671587,7.5.4|7.5.6,7.5.4|7.5.6,7.5.4,Curved mirror|Plane mirror|Length|Geometrical optics|Specular reflection|Light|Ray (optics)|Reflection (physics),18|1|1|1|2|2|5|3,Curved mirror|Plane mirror|Length|Geometrical optics|Specular reflection|Light|Ray (optics)|Reflection (physics),18|1|1|1|2|2|5|3
146,1,Energy,101.0,0.6688255584881311,23.3,23.3,23.3,Mechanical energy|Force|Work (physics)|Friction|Electrical |Electrical resistance and conductance|Kinetic energy|Position (vector)|Energy|Potential energy|Gravitational field|Distance|Mass|Elasticity (physics),5|14|23|5|1|1|3|2|19|10|2|1|2|2,Mechanical energy|Force|Work (physics)|Friction|Electrical |Electrical resistance and conductance|Kinetic energy|Position (vector)|Energy|Potential energy|Gravitational field|Distance|Mass|Elasticity (physics),5|14|23|5|1|1|3|2|19|10|2|1|2|2
147,1,Laser,121.0,0.6749361961297127,31.5,31.5,31.5,Laser|Light|Wavelength|Frequency|Amplitude|Color|Direction (geometry)|Distance|Energy|Energy level|Emission spectrum|Electron|Work (physics)|Geometrical optics|Strength of materials|Curved mirror|Reflection (physics)|Physics|Length|Sound,69|17|7|5|1|2|2|2|19|12|25|20|4|5|1|1|3|2|1|1,Laser|Light|Wavelength|Frequency|Amplitude|Color|Direction (geometry)|Distance|Energy|Energy level|Emission spectrum|Electron|Work (physics)|Geometrical optics|Strength of materials|Curved mirror|Reflection (physics)|Physics|Length|Sound,69|17|7|5|1|2|2|2|19|12|25|20|4|5|1|1|3|2|1|1
148,1,Magnetism,40.0,0.6839828812973584,8,8,8,Magnet|Force|Field (physics)|Physics|Electron|Direction (geometry)|Plasticity (physics)|Electric field|Position (vector)|Electric charge|Strength of materials|Compass|Electrical polarity|Work (physics)|Electric current|Collision|Light,87|4|56|1|5|20|2|2|1|6|1|10|1|1|1|1|1,Magnet|Force|Field (physics)|Physics|Electron|Direction (geometry)|Plasticity (physics)|Electric field|Position (vector)|Electric charge|Strength of materials|Compass|Electrical polarity|Work (physics)|Electric current|Collision|Light,87|4|56|1|5|20|2|2|1|6|1|10|1|1|1|1|1
149,1,Photoelectric effect,118.0,0.686346723800026,31.3,31.3,31.3,Hertz|Light|Electron|Photoelectric effect|Wave|Energy|Color|Wavelength|Frequency|Work (physics)|Diffraction|Energy level|Electrical conductor|Electrical |Electrical resistance and conductance|Electric current|Voltage|Reflection (physics)|Scattering,2|21|26|11|7|22|1|2|1|8|2|2|1|1|1|4|1|1|1,Hertz|Light|Electron|Photoelectric effect|Wave|Energy|Color|Wavelength|Frequency|Work (physics)|Diffraction|Energy level|Electrical conductor|Electrical |Electrical resistance and conductance|Electric current|Voltage|Reflection (physics)|Scattering,2|21|26|11|7|22|1|2|1|8|2|2|1|1|1|4|1|1|1
150,1,Mechanical energy,19.0,0.7406989477754005,4.5.1,4.5.1,4.5,Energy level|Energy|Potential energy|Mechanical energy|Force|Gravitational field|Gravity|Electrical |Electrical resistance and conductance|Velocity|Free fall|Mass|Friction|Work (physics)|Tension (physics),1|11|4|14|10|1|2|2|2|3|1|1|5|2|1,Energy level|Energy|Potential energy|Mechanical energy|Force|Gravitational field|Gravity|Electrical |Electrical resistance and conductance|Velocity|Free fall|Mass|Friction|Work (physics)|Tension (physics),1|11|4|14|10|1|2|2|2|3|1|1|5|2|1
151,1,Sound,76.0,0.7718417997324062,15,15,15,Wave|Sound|Pitch (music)|Musical tone|Frequency|Amplitude|Hertz|Energy|Standing wave|Physics|Speed|Temperature|Power (physics)|Joule|Compression (physics)|Distance|Reflection (physics)|Ray (optics)|Geometrical optics|Optical microscope|Work (physics),28|63|9|2|13|8|3|5|1|2|7|2|1|1|1|3|9|1|1|1|1,Wave|Sound|Pitch (music)|Musical tone|Frequency|Amplitude|Hertz|Energy|Standing wave|Physics|Speed|Temperature|Power (physics)|Joule|Compression (physics)|Distance|Reflection (physics)|Ray (optics)|Geometrical optics|Optical microscope|Work (physics),28|63|9|2|13|8|3|5|1|2|7|2|1|1|1|3|9|1|1|1|1
