,topic_a,topic_b
965,Game theory,Artificial intelligence
966,Game theory,Computer architecture
967,Game theory,Data mining
968,Game theory,Computer security
969,Software engineering,Network service
970,Software engineering,Information management
971,Software engineering,Software development
972,Software engineering,Parallel computing
973,Test automation,Software engineering
974,Software engineering,Information security
975,Software project management,Software engineering
976,Data-intensive computing,Software engineering
977,Software engineering,Distributed computing
978,Software metric,Software engineering
979,Software engineering,Computer graphics
980,Cloud computing,Software engineering
981,Software engineering,Network security
982,Software testing,Software engineering
983,Software engineering,Information retrieval
984,Software engineering,Knowledge management
985,Software engineering,Microarchitecture
986,Software engineering,Compiler construction
987,Software engineering,Analysis of algorithms
988,Game theory,Software engineering
989,Distributed object,Software engineering
990,Software engineering,Computational geometry
991,Natural language processing,Software engineering
992,Object-oriented design,Software engineering
993,Robotics,Software engineering
994,Assembly language,Software engineering
995,Software engineering,Database
996,Mobile application development,Software engineering
997,Software engineering,Programming language
998,Combinatorial optimization,Software engineering
999,Software engineering,Algorithm design
1000,Computer-aided software engineering,Software engineering
1001,Graphical model,Software engineering
1002,Software engineering,Machine learning
1003,Software analytics,Software engineering
1004,Object-oriented programming,Software engineering
1005,Software engineering,Discrete mathematics
1006,Software engineering,Operating system
1007,Software engineering,Data warehouse
1008,Software engineering,Computer vision
1009,Modeling language,Software engineering
1010,Software engineering,System programming
1011,Software engineering,Algorithm
1012,Software architecture,Software engineering
1013,Software engineering,Computer network
1014,Data structure,Software engineering
1015,Software engineering,Cryptography
1016,Social network analysis,Software engineering
1017,Computational linguistics,Software engineering
1018,Software engineering,Theory of computation
1019,Software engineering,Internet protocol suite
1020,Software engineering,Data integration
1021,Software engineering,Artificial intelligence
1022,Software engineering,Wireless network
1023,Object-oriented analysis and design,Software engineering
1024,Software engineering,Computer architecture
1025,Software engineering,Data mining
1026,Software engineering,Translator (computing)
1027,Software engineering,Computer security
1028,Distributed object,Network service
1029,Distributed object,Software development
1030,Distributed object,Parallel computing
1031,Distributed object,Information security
1032,Distributed object,Distributed computing
1033,Distributed object,Computer graphics
1034,Distributed object,Cloud computing
1035,Distributed object,Network security
1036,Distributed object,Software testing
1037,Distributed object,Information retrieval
1038,Distributed object,Compiler construction
1039,Distributed object,Analysis of algorithms
1040,Distributed object,Software engineering
1041,Distributed object,Computational geometry
1042,Distributed object,Natural language processing
1043,Distributed object,Object-oriented design
1044,Distributed object,Assembly language
1045,Distributed object,Database
1046,Distributed object,Programming language
1047,Distributed object,Combinatorial optimization
1048,Distributed object,Algorithm design
1049,Distributed object,Machine learning
1050,Distributed object,Object-oriented programming
1051,Distributed object,Discrete mathematics
1052,Distributed object,Operating system
1053,Distributed object,Computer vision
1054,Distributed object,Modeling language
1055,Distributed object,Algorithm
1056,Distributed object,Software architecture
1057,Distributed object,Computer network
1058,Distributed object,Data structure
1059,Distributed object,Cryptography
1060,Distributed object,Social network analysis
1061,Distributed object,Theory of computation
1062,Distributed object,Internet protocol suite
1063,Distributed object,Artificial intelligence
1064,Distributed object,Wireless network
1065,Distributed object,Object-oriented analysis and design
1066,Distributed object,Computer architecture
1067,Distributed object,Data mining
1068,Distributed object,Computer security
1069,Network service,Computational geometry
1070,Computational geometry,Information management
1071,Parallel computing,Computational geometry
1072,Test automation,Computational geometry
1073,Information security,Computational geometry
1074,Software project management,Computational geometry
1075,Data-intensive computing,Computational geometry
1076,Distributed computing,Computational geometry
1077,Software metric,Computational geometry
1078,Computer graphics,Computational geometry
1079,Cloud computing,Computational geometry
1080,Network security,Computational geometry
1081,Software testing,Computational geometry
1082,Information retrieval,Computational geometry
1083,Knowledge management,Computational geometry
1084,Microarchitecture,Computational geometry
1085,Computational geometry,Compiler construction
1086,Analysis of algorithms,Computational geometry
1087,Game theory,Computational geometry
1088,Software engineering,Computational geometry
1089,Distributed object,Computational geometry
1090,Natural language processing,Computational geometry
1091,Computational geometry,Object-oriented design
1092,Robotics,Computational geometry
1093,Assembly language,Computational geometry
1094,Computational geometry,Database
1095,Mobile application development,Computational geometry
1096,Computational geometry,Programming language
1097,Combinatorial optimization,Computational geometry
1098,Algorithm design,Computational geometry
1099,Computer-aided software engineering,Computational geometry
1100,Graphical model,Computational geometry
1101,Machine learning,Computational geometry
1102,Software analytics,Computational geometry
1103,Object-oriented programming,Computational geometry
1104,Discrete mathematics,Computational geometry
1105,Broadband networks,Computational geometry
1106,Data warehouse,Computational geometry
1107,Computer vision,Computational geometry
1108,Computational geometry,Modeling language
1109,System programming,Computational geometry
1110,Computational geometry,Algorithm
1111,Software architecture,Computational geometry
1112,Computational geometry,Computer network
1113,Data structure,Computational geometry
1114,Cryptography,Computational geometry
1115,Social network analysis,Computational geometry
1116,Computational linguistics,Computational geometry
1117,Computational geometry,Theory of computation
1118,Internet protocol suite,Computational geometry
1119,Data integration,Computational geometry
1120,Wireless network,Computational geometry
1121,Object-oriented analysis and design,Computational geometry
1122,Computer architecture,Computational geometry
1123,Data mining,Computational geometry
1124,Computational geometry,Translator (computing)
1125,Computer security,Computational geometry
1126,Natural language processing,Network service
1127,Natural language processing,Software development
1128,Natural language processing,Parallel computing
1129,Test automation,Natural language processing
1130,Natural language processing,Information security
1131,Software project management,Natural language processing
1132,Natural language processing,Distributed computing
1133,Software metric,Natural language processing
1134,Natural language processing,Computer graphics
1135,Cloud computing,Natural language processing
1136,Network security,Natural language processing
1137,Software testing,Natural language processing
1138,Natural language processing,Information retrieval
1139,Knowledge management,Natural language processing
1140,Microarchitecture,Natural language processing
1141,Natural language processing,Compiler construction
1142,Natural language processing,Analysis of algorithms
1143,Natural language processing,Game theory
1144,Natural language processing,Software engineering
1145,Distributed object,Natural language processing
1146,Natural language processing,Computational geometry
1147,Robotics,Natural language processing
1148,Assembly language,Natural language processing
1149,Natural language processing,Database
1150,Mobile application development,Natural language processing
1151,Natural language processing,Programming language
1152,Combinatorial optimization,Natural language processing
1153,Natural language processing,Algorithm design
1154,Computer-aided software engineering,Natural language processing
1155,Graphical model,Natural language processing
1156,Natural language processing,Machine learning
1157,Software analytics,Natural language processing
1158,Object-oriented programming,Natural language processing
1159,Natural language processing,Discrete mathematics
1160,Natural language processing,Operating system
1161,Broadband networks,Natural language processing
1162,Data warehouse,Natural language processing
1163,Natural language processing,Computer vision
1164,Natural language processing,Modeling language
1165,System programming,Natural language processing
1166,Natural language processing,Algorithm
1167,Software architecture,Natural language processing
1168,Natural language processing,Computer network
1169,Data structure,Natural language processing
1170,Natural language processing,Cryptography
1171,Social network analysis,Natural language processing
1172,Natural language processing,Computational linguistics
1173,Natural language processing,Theory of computation
1174,Internet protocol suite,Natural language processing
1175,Data integration,Natural language processing
1176,Natural language processing,Artificial intelligence
1177,Wireless network,Natural language processing
1178,Object-oriented analysis and design,Natural language processing
1179,Natural language processing,Computer architecture
1180,Natural language processing,Data mining
1181,Natural language processing,Computer security
1182,Network service,Object-oriented design
1183,Object-oriented design,Software development
1184,Object-oriented design,Parallel computing
1185,Test automation,Object-oriented design
1186,Information security,Object-oriented design
1187,Distributed computing,Object-oriented design
1188,Software metric,Object-oriented design
1189,Cloud computing,Object-oriented design
1190,Object-oriented design,Software testing
1191,Compiler construction,Object-oriented design
1192,Analysis of algorithms,Object-oriented design
1193,Object-oriented design,Software engineering
1194,Distributed object,Object-oriented design
1195,Computational geometry,Object-oriented design
1196,Object-oriented design,Assembly language
1197,Database,Object-oriented design
1198,Mobile application development,Object-oriented design
1199,Programming language,Object-oriented design
1200,Computer-aided software engineering,Object-oriented design
1201,Machine learning,Object-oriented design
1202,Software analytics,Object-oriented design
1203,Object-oriented design,Object-oriented programming
1204,Discrete mathematics,Object-oriented design
1205,Operating system,Object-oriented design
1206,Object-oriented design,Modeling language
1207,Object-oriented design,Algorithm
1208,Object-oriented design,Software architecture
1209,Computer network,Object-oriented design
1210,Object-oriented design,Data structure
1211,Computational linguistics,Object-oriented design
1212,Object-oriented design,Artificial intelligence
1213,Object-oriented design,Object-oriented analysis and design
1214,Computer architecture,Object-oriented design
1215,Data mining,Object-oriented design
1216,Computer security,Object-oriented design
1217,Robotics,Network service
1218,Robotics,Software development
1219,Robotics,Parallel computing
1220,Test automation,Robotics
1221,Robotics,Information security
1222,Software project management,Robotics
1223,Robotics,Distributed computing
1224,Software metric,Robotics
1225,Robotics,Computer graphics
1226,Cloud computing,Robotics
1227,Robotics,Network security
1228,Software testing,Robotics
1229,Robotics,Information retrieval
1230,Robotics,Compiler construction
1231,Robotics,Analysis of algorithms
1232,Robotics,Game theory
1233,Robotics,Software engineering
1234,Robotics,Computational geometry
1235,Robotics,Natural language processing
1236,Robotics,Database
1237,Robotics,Programming language
1238,Combinatorial optimization,Robotics
1239,Robotics,Algorithm design
1240,Robotics,Machine learning
1241,Software analytics,Robotics
1242,Object-oriented programming,Robotics
1243,Robotics,Discrete mathematics
1244,Robotics,Operating system
1245,Robotics,Computer vision
1246,Robotics,Modeling language
1247,Robotics,Algorithm
1248,Software architecture,Robotics
1249,Robotics,Computer network
1250,Robotics,Cryptography
1251,Computational linguistics,Robotics
1252,Robotics,Theory of computation
1253,Robotics,Artificial intelligence
1254,Object-oriented analysis and design,Robotics
1255,Robotics,Computer architecture
1256,Robotics,Data mining
1257,Robotics,Computer security
1258,Assembly language,Network service
1259,Assembly language,Software development
1260,Assembly language,Parallel computing
1261,Test automation,Assembly language
1262,Assembly language,Information security
1263,Data-intensive computing,Assembly language
1264,Assembly language,Distributed computing
1265,Assembly language,Computer graphics
1266,Assembly language,Cloud computing
1267,Assembly language,Network security
1268,Assembly language,Software testing
1269,Assembly language,Information retrieval
1270,Microarchitecture,Assembly language
1271,Compiler construction,Assembly language
1272,Assembly language,Analysis of algorithms
1273,Assembly language,Software engineering
1274,Distributed object,Assembly language
1275,Assembly language,Computational geometry
1276,Assembly language,Natural language processing
1277,Object-oriented design,Assembly language
1278,Assembly language,Database
1279,Mobile application development,Assembly language
1280,Assembly language,Programming language
1281,Assembly language,Algorithm design
1282,Assembly language,Machine learning
1283,Assembly language,Object-oriented programming
1284,Assembly language,Discrete mathematics
1285,Assembly language,Operating system
1286,Data warehouse,Assembly language
1287,Assembly language,Computer vision
1288,Assembly language,Modeling language
1289,System programming,Assembly language
1290,Assembly language,Algorithm
1291,Assembly language,Software architecture
1292,Assembly language,Computer network
1293,Assembly language,Cryptography
1294,Computational linguistics,Assembly language
1295,Assembly language,Theory of computation
1296,Assembly language,Artificial intelligence
1297,Assembly language,Object-oriented analysis and design
1298,Assembly language,Computer architecture
1299,Assembly language,Data mining
1300,Translator (computing),Assembly language
1301,Assembly language,Computer security
1302,Network service,Database
1303,Information management,Database
1304,Software development,Database
1305,Parallel computing,Database
1306,Test automation,Database
1307,Information security,Database
1308,Software project management,Database
1309,Data-intensive computing,Database
1310,Distributed computing,Database
1311,Software metric,Database
1312,Database,Computer graphics
1313,Cloud computing,Database
1314,Network security,Database
1315,Software testing,Database
1316,Information retrieval,Database
1317,Knowledge management,Database
1318,Microarchitecture,Database
1319,Database,Compiler construction
1320,Analysis of algorithms,Database
1321,Game theory,Database
1322,Software engineering,Database
1323,Distributed object,Database
1324,Computational geometry,Database
1325,Natural language processing,Database
1326,Database,Object-oriented design
1327,Robotics,Database
1328,Assembly language,Database
1329,Mobile application development,Database
1330,Database,Programming language
1331,Combinatorial optimization,Database
1332,Algorithm design,Database
1333,Computer-aided software engineering,Database
1334,Graphical model,Database
1335,Machine learning,Database
1336,Software analytics,Database
1337,Object-oriented programming,Database
1338,Database,Discrete mathematics
1339,Operating system,Database
1340,Broadband networks,Database
1341,Data warehouse,Database
1342,Database,Computer vision
1343,Modeling language,Database
1344,System programming,Database
1345,Parallel processing,Database
1346,Database,Algorithm
1347,Software architecture,Database
1348,Database,Computer network
1349,Data structure,Database
1350,Cryptography,Database
1351,Social network analysis,Database
1352,Computational linguistics,Database
1353,Database,Theory of computation
1354,Internet protocol suite,Database
1355,Data integration,Database
1356,Artificial intelligence,Database
1357,Wireless network,Database
1358,Object-oriented analysis and design,Database
1359,Computer architecture,Database
1360,Data mining,Database
1361,Database,Translator (computing)
1362,Computer security,Database
1363,Mobile application development,Network service
1364,Mobile application development,Software development
1365,Mobile application development,Parallel computing
1366,Mobile application development,Information security
1367,Mobile application development,Software project management
1368,Mobile application development,Distributed computing
1369,Mobile application development,Computer graphics
1370,Mobile application development,Network security
1371,Mobile application development,Software testing
1372,Mobile application development,Information retrieval
1373,Mobile application development,Compiler construction
1374,Mobile application development,Analysis of algorithms
1375,Mobile application development,Software engineering
1376,Mobile application development,Computational geometry
1377,Mobile application development,Natural language processing
1378,Mobile application development,Object-oriented design
1379,Mobile application development,Assembly language
1380,Mobile application development,Database
1381,Mobile application development,Programming language
1382,Mobile application development,Algorithm design
1383,Mobile application development,Computer-aided software engineering
1384,Mobile application development,Machine learning
1385,Mobile application development,Object-oriented programming
1386,Mobile application development,Discrete mathematics
1387,Mobile application development,Operating system
1388,Mobile application development,Computer vision
1389,Mobile application development,Modeling language
1390,Mobile application development,System programming
1391,Mobile application development,Algorithm
1392,Mobile application development,Software architecture
1393,Mobile application development,Computer network
1394,Mobile application development,Data structure
1395,Mobile application development,Cryptography
1396,Mobile application development,Theory of computation
1397,Mobile application development,Artificial intelligence
1398,Mobile application development,Computer architecture
1399,Mobile application development,Data mining
1400,Mobile application development,Computer security
1401,Network service,Programming language
1402,Programming language,Information management
1403,Software development,Programming language
1404,Parallel computing,Programming language
1405,Test automation,Programming language
1406,Information security,Programming language
1407,Software project management,Programming language
1408,Data-intensive computing,Programming language
1409,Distributed computing,Programming language
1410,Software metric,Programming language
1411,Computer graphics,Programming language
1412,Cloud computing,Programming language
1413,Network security,Programming language
1414,Software testing,Programming language
1415,Information retrieval,Programming language
1416,Knowledge management,Programming language
1417,Microarchitecture,Programming language
1418,Compiler construction,Programming language
1419,Analysis of algorithms,Programming language
1420,Game theory,Programming language
1421,Software engineering,Programming language
1422,Distributed object,Programming language
1423,Computational geometry,Programming language
1424,Natural language processing,Programming language
1425,Programming language,Object-oriented design
1426,Robotics,Programming language
1427,Assembly language,Programming language
1428,Database,Programming language
1429,Mobile application development,Programming language
1430,Combinatorial optimization,Programming language
1431,Algorithm design,Programming language
1432,Computer-aided software engineering,Programming language
1433,Graphical model,Programming language
1434,Machine learning,Programming language
1435,Software analytics,Programming language
1436,Object-oriented programming,Programming language
1437,Discrete mathematics,Programming language
1438,Operating system,Programming language
1439,Broadband networks,Programming language
1440,Data warehouse,Programming language
1441,Computer vision,Programming language
1442,Modeling language,Programming language
1443,System programming,Programming language
1444,Algorithm,Programming language
1445,Software architecture,Programming language
1446,Computer network,Programming language
1447,Data structure,Programming language
1448,Cryptography,Programming language
1449,Social network analysis,Programming language
1450,Computational linguistics,Programming language
1451,Theory of computation,Programming language
1452,Internet protocol suite,Programming language
1453,Data integration,Programming language
1454,Artificial intelligence,Programming language
1455,Wireless network,Programming language
1456,Object-oriented analysis and design,Programming language
1457,Computer architecture,Programming language
1458,Data mining,Programming language
1459,Translator (computing),Programming language
1460,Computer security,Programming language
1461,Combinatorial optimization,Network service
1462,Combinatorial optimization,Software development
1463,Combinatorial optimization,Parallel computing
1464,Combinatorial optimization,Information security
1465,Combinatorial optimization,Software project management
1466,Combinatorial optimization,Distributed computing
1467,Combinatorial optimization,Computer graphics
1468,Cloud computing,Combinatorial optimization
1469,Combinatorial optimization,Network security
1470,Combinatorial optimization,Software testing
1471,Combinatorial optimization,Information retrieval
1472,Knowledge management,Combinatorial optimization
1473,Combinatorial optimization,Compiler construction
1474,Combinatorial optimization,Analysis of algorithms
1475,Combinatorial optimization,Game theory
1476,Combinatorial optimization,Software engineering
1477,Distributed object,Combinatorial optimization
1478,Combinatorial optimization,Computational geometry
1479,Combinatorial optimization,Natural language processing
1480,Combinatorial optimization,Robotics
1481,Combinatorial optimization,Database
1482,Combinatorial optimization,Programming language
1483,Combinatorial optimization,Algorithm design
1484,Combinatorial optimization,Graphical model
1485,Combinatorial optimization,Machine learning
1486,Combinatorial optimization,Object-oriented programming
1487,Combinatorial optimization,Discrete mathematics
1488,Combinatorial optimization,Operating system
1489,Broadband networks,Combinatorial optimization
1490,Combinatorial optimization,Computer vision
1491,Combinatorial optimization,Modeling language
1492,Combinatorial optimization,Algorithm
1493,Combinatorial optimization,Software architecture
1494,Combinatorial optimization,Computer network
1495,Combinatorial optimization,Data structure
1496,Combinatorial optimization,Cryptography
1497,Social network analysis,Combinatorial optimization
1498,Combinatorial optimization,Computational linguistics
1499,Combinatorial optimization,Theory of computation
1500,Internet protocol suite,Combinatorial optimization
1501,Combinatorial optimization,Artificial intelligence
1502,Wireless network,Combinatorial optimization
1503,Combinatorial optimization,Computer architecture
1504,Combinatorial optimization,Data mining
1505,Combinatorial optimization,Computer security
1506,Network service,Algorithm design
1507,Software development,Algorithm design
1508,Parallel computing,Algorithm design
1509,Test automation,Algorithm design
1510,Information security,Algorithm design
1511,Software project management,Algorithm design
1512,Data-intensive computing,Algorithm design
1513,Distributed computing,Algorithm design
1514,Software metric,Algorithm design
1515,Algorithm design,Computer graphics
1516,Cloud computing,Algorithm design
1517,Network security,Algorithm design
1518,Software testing,Algorithm design
1519,Information retrieval,Algorithm design
1520,Knowledge management,Algorithm design
1521,Microarchitecture,Algorithm design
1522,Algorithm design,Compiler construction
1523,Analysis of algorithms,Algorithm design
1524,Game theory,Algorithm design
1525,Software engineering,Algorithm design
1526,Distributed object,Algorithm design
1527,Algorithm design,Computational geometry
1528,Natural language processing,Algorithm design
1529,Robotics,Algorithm design
1530,Assembly language,Algorithm design
1531,Algorithm design,Database
1532,Mobile application development,Algorithm design
1533,Algorithm design,Programming language
1534,Combinatorial optimization,Algorithm design
1535,Computer-aided software engineering,Algorithm design
1536,Graphical model,Algorithm design
1537,Software analytics,Algorithm design
1538,Object-oriented programming,Algorithm design
1539,Discrete mathematics,Algorithm design
1540,Operating system,Algorithm design
1541,Broadband networks,Algorithm design
1542,Data warehouse,Algorithm design
1543,Computer vision,Algorithm design
1544,Algorithm design,Modeling language
1545,System programming,Algorithm design
1546,Algorithm design,Algorithm
1547,Software architecture,Algorithm design
1548,Algorithm design,Computer network
1549,Algorithm design,Data structure
1550,Cryptography,Algorithm design
1551,Social network analysis,Algorithm design
1552,Computational linguistics,Algorithm design
1553,Theory of computation,Algorithm design
1554,Internet protocol suite,Algorithm design
1555,Data integration,Algorithm design
1556,Algorithm design,Artificial intelligence
1557,Wireless network,Algorithm design
1558,Object-oriented analysis and design,Algorithm design
1559,Computer architecture,Algorithm design
1560,Data mining,Algorithm design
1561,Computer security,Algorithm design
1562,Computer-aided software engineering,Network service
1563,Computer-aided software engineering,Information management
1564,Computer-aided software engineering,Software development
1565,Computer-aided software engineering,Parallel computing
1566,Test automation,Computer-aided software engineering
1567,Computer-aided software engineering,Information security
1568,Software project management,Computer-aided software engineering
1569,Computer-aided software engineering,Distributed computing
1570,Software metric,Computer-aided software engineering
1571,Computer-aided software engineering,Computer graphics
1572,Computer-aided software engineering,Cloud computing
1573,Computer-aided software engineering,Network security
1574,Computer-aided software engineering,Software testing
1575,Computer-aided software engineering,Information retrieval
1576,Computer-aided software engineering,Knowledge management
1577,Computer-aided software engineering,Compiler construction
1578,Computer-aided software engineering,Analysis of algorithms
1579,Computer-aided software engineering,Software engineering
1580,Computer-aided software engineering,Computational geometry
1581,Computer-aided software engineering,Natural language processing
1582,Computer-aided software engineering,Object-oriented design
1583,Computer-aided software engineering,Database
1584,Mobile application development,Computer-aided software engineering
1585,Computer-aided software engineering,Programming language
1586,Computer-aided software engineering,Algorithm design
1587,Computer-aided software engineering,Machine learning
1588,Software analytics,Computer-aided software engineering
1589,Computer-aided software engineering,Object-oriented programming
1590,Computer-aided software engineering,Discrete mathematics
1591,Computer-aided software engineering,Operating system
1592,Computer-aided software engineering,Data warehouse
1593,Computer-aided software engineering,Computer vision
1594,Computer-aided software engineering,Modeling language
1595,Computer-aided software engineering,Algorithm
1596,Computer-aided software engineering,Software architecture
1597,Computer-aided software engineering,Computer network
1598,Computer-aided software engineering,Data structure
1599,Computer-aided software engineering,Cryptography
1600,Computational linguistics,Computer-aided software engineering
1601,Computer-aided software engineering,Theory of computation
1602,Computer-aided software engineering,Artificial intelligence
1603,Object-oriented analysis and design,Computer-aided software engineering
1604,Computer-aided software engineering,Computer architecture
1605,Computer-aided software engineering,Data mining
1606,Computer-aided software engineering,Computer security
1607,Graphical model,Network service
1608,Graphical model,Software development
1609,Graphical model,Parallel computing
1610,Graphical model,Information security
1611,Data-intensive computing,Graphical model
1612,Graphical model,Distributed computing
1613,Graphical model,Computer graphics
1614,Cloud computing,Graphical model
1615,Graphical model,Network security
1616,Software testing,Graphical model
1617,Graphical model,Information retrieval
1618,Microarchitecture,Graphical model
1619,Graphical model,Compiler construction
1620,Graphical model,Analysis of algorithms
1621,Graphical model,Game theory
1622,Graphical model,Software engineering
1623,Graphical model,Computational geometry
1624,Graphical model,Natural language processing
1625,Graphical model,Database
1626,Graphical model,Programming language
1627,Combinatorial optimization,Graphical model
1628,Graphical model,Algorithm design
1629,Graphical model,Machine learning
1630,Software analytics,Graphical model
1631,Object-oriented programming,Graphical model
1632,Graphical model,Discrete mathematics
1633,Graphical model,Operating system
1634,Graphical model,Data warehouse
1635,Graphical model,Computer vision
1636,Graphical model,Modeling language
1637,Parallel processing,Graphical model
1638,Graphical model,Algorithm
1639,Graphical model,Computer network
1640,Graphical model,Cryptography
1641,Social network analysis,Graphical model
1642,Graphical model,Computational linguistics
1643,Graphical model,Theory of computation
1644,Data integration,Graphical model
1645,Graphical model,Artificial intelligence
1646,Graphical model,Computer architecture
1647,Graphical model,Data mining
1648,Graphical model,Computer security
1649,Network service,Machine learning
1650,Machine learning,Information management
1651,Machine learning,Software development
1652,Parallel computing,Machine learning
1653,Test automation,Machine learning
1654,Information security,Machine learning
1655,Software project management,Machine learning
1656,Data-intensive computing,Machine learning
1657,Distributed computing,Machine learning
1658,Software metric,Machine learning
1659,Machine learning,Computer graphics
1660,Cloud computing,Machine learning
1661,Network security,Machine learning
1662,Software testing,Machine learning
1663,Information retrieval,Machine learning
1664,Knowledge management,Machine learning
1665,Microarchitecture,Machine learning
1666,Machine learning,Compiler construction
1667,Analysis of algorithms,Machine learning
1668,Game theory,Machine learning
1669,Software engineering,Machine learning
1670,Distributed object,Machine learning
1671,Machine learning,Computational geometry
1672,Natural language processing,Machine learning
1673,Machine learning,Object-oriented design
1674,Robotics,Machine learning
1675,Assembly language,Machine learning
1676,Machine learning,Database
1677,Mobile application development,Machine learning
1678,Machine learning,Programming language
1679,Combinatorial optimization,Machine learning
1680,Computer-aided software engineering,Machine learning
1681,Graphical model,Machine learning
1682,Software analytics,Machine learning
1683,Object-oriented programming,Machine learning
1684,Discrete mathematics,Machine learning
1685,Broadband networks,Machine learning
1686,Data warehouse,Machine learning
1687,Computer vision,Machine learning
1688,Machine learning,Modeling language
1689,System programming,Machine learning
1690,Machine learning,Algorithm
1691,Software architecture,Machine learning
1692,Machine learning,Computer network
1693,Data structure,Machine learning
1694,Cryptography,Machine learning
1695,Social network analysis,Machine learning
1696,Computational linguistics,Machine learning
1697,Machine learning,Theory of computation
1698,Internet protocol suite,Machine learning
1699,Data integration,Machine learning
1700,Wireless network,Machine learning
1701,Object-oriented analysis and design,Machine learning
1702,Computer architecture,Machine learning
1703,Data mining,Machine learning
1704,Translator (computing),Machine learning
1705,Computer security,Machine learning
1706,Software analytics,Network service
1707,Software analytics,Software development
1708,Software analytics,Parallel computing
1709,Software analytics,Information security
1710,Software analytics,Software project management
1711,Software analytics,Distributed computing
1712,Software analytics,Computer graphics
1713,Software analytics,Network security
1714,Software analytics,Software testing
1715,Software analytics,Information retrieval
1716,Software analytics,Compiler construction
1717,Software analytics,Analysis of algorithms
1718,Software analytics,Game theory
1719,Software analytics,Software engineering
1720,Software analytics,Computational geometry
1721,Software analytics,Natural language processing
1722,Software analytics,Object-oriented design
1723,Software analytics,Robotics
1724,Software analytics,Database
1725,Software analytics,Programming language
1726,Software analytics,Algorithm design
1727,Software analytics,Computer-aided software engineering
1728,Software analytics,Graphical model
1729,Software analytics,Machine learning
1730,Software analytics,Object-oriented programming
1731,Software analytics,Discrete mathematics
1732,Software analytics,Operating system
1733,Software analytics,Data warehouse
1734,Software analytics,Computer vision
1735,Software analytics,Modeling language
1736,Software analytics,Algorithm
1737,Software analytics,Software architecture
1738,Software analytics,Computer network
1739,Software analytics,Data structure
1740,Software analytics,Cryptography
1741,Software analytics,Computational linguistics
1742,Software analytics,Theory of computation
1743,Software analytics,Data integration
1744,Software analytics,Artificial intelligence
1745,Software analytics,Computer architecture
1746,Software analytics,Data mining
1747,Software analytics,Computer security
1748,Object-oriented programming,Network service
1749,Object-oriented programming,Information management
1750,Object-oriented programming,Software development
1751,Object-oriented programming,Parallel computing
1752,Test automation,Object-oriented programming
1753,Object-oriented programming,Information security
1754,Software project management,Object-oriented programming
1755,Data-intensive computing,Object-oriented programming
1756,Software metric,Object-oriented programming
1757,Object-oriented programming,Computer graphics
1758,Cloud computing,Object-oriented programming
1759,Object-oriented programming,Network security
1760,Object-oriented programming,Software testing
1761,Object-oriented programming,Information retrieval
1762,Knowledge management,Object-oriented programming
1763,Microarchitecture,Object-oriented programming
1764,Compiler construction,Object-oriented programming
1765,Object-oriented programming,Analysis of algorithms
1766,Object-oriented programming,Game theory
1767,Object-oriented programming,Software engineering
1768,Distributed object,Object-oriented programming
1769,Object-oriented programming,Computational geometry
1770,Object-oriented programming,Natural language processing
1771,Object-oriented design,Object-oriented programming
1772,Object-oriented programming,Robotics
1773,Assembly language,Object-oriented programming
1774,Object-oriented programming,Database
1775,Mobile application development,Object-oriented programming
1776,Object-oriented programming,Programming language
1777,Combinatorial optimization,Object-oriented programming
1778,Object-oriented programming,Algorithm design
1779,Computer-aided software engineering,Object-oriented programming
1780,Object-oriented programming,Graphical model
1781,Object-oriented programming,Machine learning
1782,Software analytics,Object-oriented programming
1783,Object-oriented programming,Discrete mathematics
1784,Object-oriented programming,Operating system
1785,Data warehouse,Object-oriented programming
1786,Object-oriented programming,Computer vision
1787,Modeling language,Object-oriented programming
1788,System programming,Object-oriented programming
1789,Object-oriented programming,Algorithm
1790,Software architecture,Object-oriented programming
1791,Object-oriented programming,Computer network
1792,Data structure,Object-oriented programming
1793,Object-oriented programming,Cryptography
1794,Computational linguistics,Object-oriented programming
1795,Object-oriented programming,Theory of computation
1796,Data integration,Object-oriented programming
1797,Object-oriented programming,Artificial intelligence
1798,Object-oriented analysis and design,Object-oriented programming
1799,Object-oriented programming,Computer architecture
1800,Object-oriented programming,Data mining
1801,Translator (computing),Object-oriented programming
1802,Object-oriented programming,Computer security
1803,Network service,Discrete mathematics
1804,Software development,Discrete mathematics
1805,Test automation,Discrete mathematics
1806,Information security,Discrete mathematics
1807,Software project management,Discrete mathematics
1808,Distributed computing,Discrete mathematics
1809,Software metric,Discrete mathematics
1810,Discrete mathematics,Computer graphics
1811,Cloud computing,Discrete mathematics
1812,Network security,Discrete mathematics
1813,Software testing,Discrete mathematics
1814,Information retrieval,Discrete mathematics
1815,Knowledge management,Discrete mathematics
1816,Microarchitecture,Discrete mathematics
1817,Discrete mathematics,Compiler construction
1818,Discrete mathematics,Analysis of algorithms
1819,Game theory,Discrete mathematics
1820,Software engineering,Discrete mathematics
1821,Distributed object,Discrete mathematics
1822,Discrete mathematics,Computational geometry
1823,Natural language processing,Discrete mathematics
1824,Discrete mathematics,Object-oriented design
1825,Robotics,Discrete mathematics
1826,Assembly language,Discrete mathematics
1827,Database,Discrete mathematics
1828,Mobile application development,Discrete mathematics
1829,Discrete mathematics,Programming language
1830,Combinatorial optimization,Discrete mathematics
1831,Discrete mathematics,Algorithm design
