,topic_a,topic_b,relation,tfidf_score,wiki_tfidf_score
460,Differential equation,Mathematics,1,1.0,1.0
461,Conic section,Circle,1,0.01937140796929321,0.01937140796929321
462,Calculus,Fundamental theorem of algebra,0,0.0,0.0
463,Complex number,Graph of a function,0,0.004726500417236782,0.0
464,Equation,Algebraic expression,0,0.01227954108379801,0.01227954108379801
465,Algebra,Linear inequality,0,0.0,0.0
466,Algebraic equation,Mathematics,1,1.0,1.0
467,Determinant,Transformation (function),0,0.05526560250505371,0.0
468,Geometry,Circle,0,0.06562990678121199,0.06562990678121199
469,Unit circle,Mathematics,1,1.0,1.0
470,Domain of a function,Mathematics,1,1.0,1.0
471,Algebraic expression,Algebra,1,0.05624012157896152,0.05624012157896152
472,Linear inequality,Number,1,0.0053885381090621005,0.0053885381090621005
473,Number,Algebraic expression,0,0.020713232472835755,0.0
474,Algebraic expression,Multiplication,1,0.06700283642300492,0.06700283642300492
475,Quadratic equation,Graph of a function,0,0.1024957913755097,0.0
476,Rotation (mathematics),Geometry,1,0.044831379872713004,0.044831379872713004
477,Mathematics,Pythagorean trigonometric identity,0,0.0,0.0
478,Trigonometric functions,Mathematics,1,1.0,1.0
479,Linear inequality,Inequality (mathematics),1,1.0998630636795022,0.0
480,Number,Inequality (mathematics),0,0.0,0.0
481,Linear function,Matrix (mathematics),0,0.035169069805013324,0.0
482,Secant line,Geometry,1,0.011877339426256552,0.011877339426256552
483,Zero of a function,Geometry,0,0.0016041234282587874,0.0016041234282587874
484,Common logarithm,Arithmetic,1,0.044072631780966064,0.0
485,Algebraic expression,Mathematics,1,1.0,1.0
486,Monotonic function,Function (mathematics),1,0.21484726330336454,0.0
487,Geometry,Law of sines,0,0.02758795706539209,0.0
488,Exponentiation,Mathematics,1,1.0,1.0
489,Mathematics,Parametric equation,0,0.0,0.0
490,Pythagorean trigonometric identity,Sine,0,0.04249563253201216,0.04249563253201216
491,Plane curve,Conic section,0,0.04095919218635853,0.04095919218635853
492,System of linear equations,Linear equation,1,0.13393152851103912,0.13393152851103912
493,Mathematics,Arithmetic,0,0.0,0.0
494,Transformation (function),Function (mathematics),1,0.05400277907516857,0.05400277907516857
495,Multiplication,Cross product,0,0.0,0.0
496,Polynomial,Graph of a function,0,0.058210584085968776,0.0
497,Number,Polynomial,0,0.027181347203316674,0.027181347203316674
498,Rotation of axes,Mathematics,1,1.0,1.0
499,Mathematics,Subtraction,0,0.0,0.0
500,Sine,Geometry,1,0.011877339426256552,0.011877339426256552
501,Simultaneous equations,Number,1,0.00694940405744934,0.00694940405744934
502,Number,Real line,0,0.08211791625003052,0.0
503,Inverse function,Mathematics,1,1.0,1.0
504,Geometry,Trigonometric functions,0,0.06562990678121199,0.0
505,Constant function,Polynomial,0,0.035169069805013324,0.035169069805013324
506,Exponentiation,Function composition,0,0.010905876040414316,0.010905876040414316
507,Sine,Multiplicative inverse,0,0.011227057886698514,0.0
508,Complex number,Fundamental theorem of algebra,0,0.027181347203316674,0.027181347203316674
509,Euclidean vector,Vector (mathematics and physics),1,0.615541835242847,0.615541835242847
510,Exponential function,Arithmetic,1,0.044072631780966064,0.044072631780966064
511,Curve,Unit circle,0,0.026493249134474543,0.0
512,Equation,Fundamental theorem of algebra,0,0.027181347203316674,0.0
513,Rational number,Multiplicative inverse,0,0.020713232472835755,0.020713232472835755
514,Zero (complex analysis),Complex number,1,0.1488331318456542,0.1488331318456542
515,Equation,Subtraction,0,0.028542312710140245,0.028542312710140245
516,Even and odd functions,Sine,0,0.014552718540005512,0.014552718540005512
517,Rotation of axes,Conic section,0,0.5011640186388675,0.5011640186388675
518,Spherical law of cosines,Triangle,0,0.4362984321082379,0.4362984321082379
519,Law of sines,Triangle,1,0.6232834744403398,0.6232834744403398
520,Geometry,Conic section,0,0.010038339130143036,0.010038339130143036
521,Multiplicative inverse,Number,1,0.00648173003578562,0.00648173003578562
522,Linear function,Real number,0,0.028542312710140245,0.028542312710140245
523,Real line,Graph of a function,0,0.007000006947046879,0.0
524,Secant line,Circle,0,0.026493249134474543,0.026493249134474543
525,Exponentiation,Addition,0,0.015808050116385367,0.015808050116385367
526,Floor and ceiling functions,Function (mathematics),0,0.06731853281973067,0.0
527,Dot product,Mathematics,1,1.0,1.0
528,Logarithm,Common logarithm,0,0.5639060106353995,0.5639060106353995
529,Real number,Fundamental theorem of algebra,0,0.027181347203316674,0.027181347203316674
530,Addition,Function (mathematics),0,0.020713232472835755,0.0
531,Multiplication,Mathematics,1,1.0,1.0
532,Mathematical induction,Mathematics,1,1.0,1.0
533,Graph of a function,Function (mathematics),1,0.17767581016706693,0.0
534,Mathematics,Line–line intersection,0,0.0,0.0
535,Mathematics,Graph of a function,0,0.0,0.0
536,Linear inequality,Equation,1,0.011511769938594684,0.011511769938594684
537,Curve,Line (geometry),1,0.06583649867498494,0.0
538,Arithmetic,Polynomial,0,0.09583252858651026,0.0
539,Line (geometry),Unit circle,0,0.015202877140457963,0.0
540,System of linear equations,Line (geometry),1,0.03836625796910545,0.0
541,Exponentiation,Polynomial,0,0.027181347203316674,0.027181347203316674
542,Floor and ceiling functions,Limit of a sequence,0,0.07281045298924091,0.0
543,Multiplication,Complex number,0,0.027181347203316674,0.027181347203316674
544,Geometry,Plane (geometry),0,0.0830996518039371,0.0830996518039371
545,Zero of a function,Real number,0,0.0038630249761919186,0.0038630249761919186
546,Geometry,Vertical line test,0,0.05339354225310626,0.0
547,Injective function,Mathematics,1,1.0,1.0
548,Conic section,Geometry,1,0.042017684636972114,0.042017684636972114
549,Multiplication,Inequality (mathematics),0,0.0,0.0
550,Extended real number line,Mathematics,1,1.0,1.0
551,Unit circle,Pythagorean trigonometric identity,0,0.03810243383091818,0.03810243383091818
552,Algebra,Inequality (mathematics),0,0.0,0.0
553,Mathematics,Triangle,0,0.0,0.0
554,Line (geometry),Equation solving,0,0.09668196708782786,0.0
555,Geometry,Angle,0,0.009195985688464027,0.009195985688464027
556,Conic section,Line (geometry),1,0.015315562657021931,0.0
557,Quadratic equation,Real number,0,0.014937029907942084,0.014937029907942084
558,Multiplication,Algebraic expression,0,0.020713232472835755,0.020713232472835755
559,Series (mathematics),Mathematics,1,1.0,1.0
560,Line segment,Geometry,1,0.011877339426256552,0.011877339426256552
561,Linear equation,Equation solving,0,0.09668196708782786,0.0
562,Triangle,Law of sines,0,0.04860946401770085,0.04860946401770085
563,Arithmetic,Exponential growth,0,0.036393805266710016,0.0
564,Derivative,Vector (mathematics and physics),0,0.07603618140060245,0.0
565,Sine,Graph of a function,0,0.1024957913755097,0.0
566,Number,Simultaneous equations,0,0.0,0.0
567,Addition,Even and odd functions,0,0.017773066531068134,0.0
568,Complex number,Sine,0,0.03686327296772268,0.03686327296772268
569,Algebraic expression,Number,1,0.011678620094063438,0.011678620094063438
570,Unit circle,Real number,0,0.01734622828019081,0.0
571,Partial fraction decomposition,Quadratic equation,0,0.05562955339314055,0.0
572,Mathematics,Inverse function,0,0.0,0.0
573,Mathematics,Domain of a function,0,0.0,0.0
574,Triangle,Right triangle,0,0.09579682651089992,0.09579682651089992
575,Quadratic function,Mathematics,1,1.0,0.0
576,Limit of a function,Limit (mathematics),1,0.5087397514064993,0.0
577,Line (geometry),Linear equation,0,0.18118190627145545,0.18118190627145545
578,Real number,Common logarithm,0,0.027181347203316674,0.0
579,Mathematics,Coordinate system,0,0.0,0.0
580,Binomial,Multiplication,1,0.06700283642300492,0.0
581,Function (mathematics),Rational function,0,0.014552718540005512,0.014552718540005512
582,Algebraic equation,Equation,1,0.16817843156587678,0.16817843156587678
583,Fundamental theorem of algebra,Arithmetic,1,0.047546626831744064,0.047546626831744064
584,Graph (mathematics),Geometry,0,0.011877339426256552,0.0
585,Circle,Mathematics,1,1.0,1.0
586,Polynomial,Quadratic equation,0,0.014393332278076638,0.014393332278076638
587,Trigonometric functions,Identity (mathematics),0,0.07114545066756629,0.0
588,Logarithm,Equation solving,0,0.044072631780966064,0.0
589,Mathematics,Multiplication,0,0.0,0.0
590,Real number,Complex number,0,0.027181347203316674,0.027181347203316674
591,Complex number,Real number,1,0.018384036809774875,0.018384036809774875
592,Number,Exponential function,0,0.0,0.0
593,Simultaneous equations,Mathematics,1,1.0,0.0
594,Even and odd functions,Real number,0,0.0038630249761919186,0.0038630249761919186
595,Calculus,Linear inequality,0,0.0,0.0
596,Mathematics,Periodic function,0,0.0,0.0
597,Circle,Equation,0,0.023914773678887016,0.023914773678887016
598,Equation solving,Mathematics,1,1.0,1.0
599,Complex number,Inverse trigonometric functions,0,0.0,0.0
600,Inverse function,Inverse trigonometric functions,0,0.0,0.0
601,Inequality (mathematics),Multiplicative inverse,0,0.009623192474313012,0.009623192474313012
602,Line (geometry),Real number,0,0.028542312710140245,0.028542312710140245
603,Common logarithm,Exponentiation,1,0.07569911495475684,0.0
604,Multiplication,Logarithm,0,0.027181347203316674,0.027181347203316674
605,Mathematics,Exponential growth,0,0.0,0.0
606,Number,Zero (complex analysis),0,0.027181347203316674,0.0
607,Polynomial,Equation solving,0,0.002680783683051453,0.0
608,Logarithm,Multiplicative inverse,0,0.020978786735308008,0.0
609,Angle,Triangle,0,0.08951411601004881,0.08951411601004881
610,Function (mathematics),Quadratic function,0,0.014552718540005512,0.014552718540005512
611,Exponential growth,Multiplication,1,0.0018603617481514226,0.0018603617481514226
612,Calculus,Mathematics,1,1.0,1.0
613,Number,Matrix ring,0,0.0,0.0
614,Function (mathematics),Vertical line test,0,0.012427807248567836,0.0
615,Plane (geometry),Mathematics,1,1.0,1.0
616,Angle,Geometry,1,0.011877339426256552,0.011877339426256552
617,Unit circle,Circle,1,0.34868534344727786,0.34868534344727786
618,Mathematics,System of linear equations,0,0.0,0.0
619,Mathematics,Law of sines,0,0.0,0.0
620,Logarithm,Real number,0,0.045716636911433337,0.045716636911433337
621,Geometry,Curve,0,0.046936096810098735,0.046936096810098735
622,Geometry,Secant line,0,0.006701220504120186,0.0
623,Number,Real number,0,0.06806747806150824,0.06806747806150824
624,Law of sines,Trigonometric functions,0,0.038672786835131145,0.0
625,Real number,Extended real number line,0,0.0,0.0
626,Triangle,Angle,1,0.3972911589862478,0.3972911589862478
627,Rational number,Number,1,0.07028290718452644,0.07028290718452644
628,Mathematics,Function (mathematics),0,0.0,0.0
629,Floor and ceiling functions,Periodic function,0,0.044831379872713004,0.0
630,Number,Multiplicative inverse,0,0.020713232472835755,0.0
631,Trigonometry,Spherical law of cosines,0,0.06944209145385838,0.0
632,Real line,Line (geometry),1,0.044072631780966064,0.044072631780966064
633,Mathematics,Linear equation,0,0.0,0.0
634,Calculus,Limit (mathematics),0,0.0,0.0
635,Mathematics,Right triangle,0,0.0,0.0
636,Polar coordinate system,Mathematics,1,1.0,1.0
637,Complex plane,Geometry,1,0.014573758660817096,0.0
638,Mathematics,Sum,0,0.0,0.0
639,Pythagorean trigonometric identity,Trigonometric functions,1,0.3480550815161803,0.3480550815161803
640,Mathematics,Limit of a sequence,0,0.0,0.0
641,Continuous function,Function (mathematics),1,0.21484726330336454,0.0
642,Right triangle,Line segment,1,0.03178406583341601,0.03178406583341601
643,Exponential function,Complex number,0,0.044072631780966064,0.044072631780966064
644,Dot product,Product (mathematics),1,0.0689942904999229,0.0
645,Mathematics,Dot product,0,0.0,0.0
646,Mathematics,Partial fraction decomposition,0,0.0,0.0
647,Real line,Real number,1,0.06806747806150824,0.06806747806150824
648,Fundamental theorem of algebra,Matrix (mathematics),0,0.09583252858651026,0.0
649,Partial fraction decomposition,Real number,0,0.010754661533718304,0.010754661533718304
650,Mathematics,Zero of a function,0,0.0,0.0
651,Law of sines,Line (geometry),1,0.044072631780966064,0.0
652,Function composition,Mathematics,1,1.0,1.0
653,Polynomial,Subtraction,0,0.009480464112291608,0.009480464112291608
654,Trigonometric functions,Geometry,1,0.011877339426256552,0.011877339426256552
655,Mathematics,Function composition,0,0.0,0.0
656,Line (geometry),Triangle,0,0.014633612008599285,0.014633612008599285
657,Equation,Domain of a function,0,0.06256081370209271,0.0
658,Rotation of axes,Geometry,1,0.044831379872713004,0.044831379872713004
659,Curve,Conic section,0,0.04095919218635853,0.04095919218635853
660,Cross product,Multiplication,1,0.07400966899011653,0.07400966899011653
661,Real number,Vector (mathematics and physics),0,0.0,0.0
662,Constant function,Zero of a function,0,0.0,0.0
663,Geometric series,Series (mathematics),1,0.5358976401415726,0.5358976401415726
664,Polar coordinate system,Coordinate system,1,0.3374000834624161,0.3374000834624161
665,Function composition,Real number,0,0.007681901095513072,0.007681901095513072
666,Summation,Mathematics,1,1.0,1.0
667,Position (vector),Real number,0,0.0038630249761919186,0.0
668,Binomial,Mathematics,1,1.0,1.0
669,Logarithm,Nth root,0,0.09979167696483954,0.09979167696483954
670,Curve,Secant line,0,0.010965502712528524,0.0
671,Determinant,Vector (mathematics and physics),0,0.06185713993182765,0.0
672,Multiplication,Exponential growth,0,0.027181347203316674,0.0
673,Vertical line test,Mathematics,1,1.0,1.0
674,Plane curve,Curve,1,0.3220989643593026,0.3220989643593026
675,Coordinate system,Mathematics,1,1.0,1.0
676,Constant function,Function (mathematics),1,0.17767581016706693,0.0
677,Arithmetic,Partial fraction decomposition,0,0.03281838334665325,0.0
678,Zero (complex analysis),Real number,1,0.010543785817370884,0.010543785817370884
679,Geometry,Real line,0,0.01181660361339237,0.0
680,Mathematics,Rotation of axes,0,0.0,0.0
681,Right triangle,Mathematics,1,1.0,1.0
682,Algebraic expression,Nth root,0,0.036393805266710016,0.036393805266710016
683,Constant function,Mathematics,1,1.0,1.0
684,Complex plane,Plane (geometry),1,0.026679361894948225,0.0
685,Mathematics,Geometry,0,0.0,0.0
686,Mathematics,Quadratic equation,0,0.0,0.0
687,Right triangle,Angle,1,0.3972911589862478,0.3972911589862478
688,Function (mathematics),Mathematics,1,1.0,1.0
689,Algebraic expression,Exponentiation,1,0.036393805266710016,0.036393805266710016
690,Curve,Mathematics,1,1.0,1.0
691,Floor and ceiling functions,Real number,0,0.03432338787356905,0.03432338787356905
692,Geometry,Spherical law of cosines,0,0.02758795706539209,0.0
693,Circle,Unit circle,0,0.3910972138255314,0.3910972138255314
694,Linear equation,Linear inequality,0,0.0,0.0
695,Complex number,Equation solving,0,0.09583252858651026,0.0
696,Exponential growth,Arithmetic,1,0.044072631780966064,0.044072631780966064
697,Product (mathematics),Mathematics,1,1.0,1.0
698,Partial fraction decomposition,Number,1,0.003470218542235993,0.003470218542235993
699,Imaginary number,Number,1,0.04448998131071786,0.04448998131071786
700,Inequality (mathematics),Domain of a function,0,0.04223888163744927,0.0
701,Linear function,Calculus,1,1.0,1.0
702,Arithmetic,Addition,0,0.015808050116385367,0.015808050116385367
703,Zero of a function,Multiplicative inverse,0,0.002226054580983326,0.0
704,Product (mathematics),Multiplication,1,0.06700283642300492,0.06700283642300492
705,Arithmetic,Binomial theorem,0,0.03686327296772268,0.0
706,Formula,Mathematics,1,1.0,1.0
707,Law of sines,Mathematics,1,1.0,1.0
708,Angle,Right triangle,0,0.055003548725567855,0.055003548725567855
709,Complex number,Nth root,0,0.027181347203316674,0.027181347203316674
710,Function (mathematics),Cubic function,0,0.009316496867892763,0.0
711,Geometry,Rotation (mathematics),0,0.010038339130143036,0.0
712,Complex number,Quadratic equation,0,0.09583252858651026,0.0
713,Domain of a function,Zero of a function,0,0.0,0.0
714,Geometry,Plane curve,0,0.046936096810098735,0.046936096810098735
715,Quadratic function,Function (mathematics),1,0.2464594917366736,0.0
716,Law of sines,Trigonometry,1,0.04031127057473953,0.04031127057473953
717,Transformation (function),Hyperbola,0,0.010869917519622341,0.0
718,Number,Floor and ceiling functions,0,0.01169243502874151,0.0
719,Exponential function,Sine,0,0.04095919218635853,0.04095919218635853
720,Exponentiation,Nth root,0,0.10184408757817326,0.10184408757817326
721,Partial fraction decomposition,Rational function,0,0.05562955339314055,0.05562955339314055
722,Multiplicative inverse,Arithmetic,1,0.014552718540005512,0.014552718540005512
723,Function (mathematics),Linear inequality,0,0.0,0.0
724,Extended real number line,Real number,1,0.06806747806150824,0.06806747806150824
725,Complex plane,Mathematics,1,1.0,1.0
726,Line (geometry),Mathematics,1,1.0,1.0
727,Binomial theorem,Binomial,1,0.4898552999116612,0.4898552999116612
728,Addition,Fundamental theorem of algebra,0,0.027181347203316674,0.0
729,Curve,Geometry,1,0.011877339426256552,0.011877339426256552
730,Vertical line test,Graph of a function,1,0.11264825994414328,0.11264825994414328
731,Coordinate system,Polar coordinate system,0,0.7443642112911243,0.7443642112911243
732,Line–line intersection,Mathematics,1,1.0,0.0
733,Inverse trigonometric functions,Trigonometric functions,1,0.09492411314077644,0.09492411314077644
734,Arithmetic,Multiplication,0,0.021020497701334875,0.021020497701334875
735,Inverse trigonometric functions,Multiplicative inverse,0,0.020978786735308008,0.020978786735308008
736,Algebra,Fundamental theorem of algebra,0,0.027181347203316674,0.0
737,Linear equation,System of linear equations,0,0.1052319152586736,0.1052319152586736
738,Line segment,Mathematics,1,1.0,1.0
739,Complex number,Domain of a function,0,0.06256081370209271,0.0
740,Mathematics,Inequality (mathematics),0,0.0,0.0
741,Number,Rotation of axes,0,0.0,0.0
742,Equation,Number,1,0.0064263306337703574,0.0064263306337703574
743,Rationalisation (mathematics),Complex number,0,0.07795111398334649,0.07795111398334649
744,Function (mathematics),Multiplicative inverse,0,0.002226054580983326,0.0
745,Number,Equation,0,0.044072631780966064,0.044072631780966064
746,Line (geometry),Law of sines,0,0.026493249134474543,0.0
747,Mathematics,Secant line,0,0.0,0.0
748,Exponentiation,Logarithm,0,0.13579211677089767,0.13579211677089767
749,Geometry,Complex plane,0,0.0,0.0
750,Function composition,Domain of a function,0,0.17544527095356108,0.0
751,Graph of a function,Mathematics,1,1.0,1.0
752,Vertical line test,Domain of a function,0,0.006891789543630345,0.0
753,Multiplication,Partial fraction decomposition,0,0.0,0.0
754,Fundamental theorem of algebra,Complex number,1,0.1488331318456542,0.1488331318456542
755,Equation,Simultaneous equations,0,0.1052319152586736,0.1052319152586736
756,Pythagorean trigonometric identity,Trigonometry,1,0.04031127057473953,0.04031127057473953
757,Multiplication,Subtraction,0,0.0311615254998952,0.0311615254998952
758,Mathematics,Plane curve,0,0.0,0.0
759,Addition,Subtraction,0,0.0311615254998952,0.0311615254998952
760,Exponentiation,Unit circle,0,0.015202877140457963,0.015202877140457963
761,Linear function,Linear inequality,0,0.0,0.0
762,Floor and ceiling functions,Number,1,0.025842052974097817,0.025842052974097817
763,Geometry,Coordinate system,0,0.06711127343186858,0.0
764,Unit circle,Geometry,1,0.011877339426256552,0.011877339426256552
765,Addition,Real number,0,0.06806747806150824,0.06806747806150824
766,Mathematics,Quadratic function,0,0.0,0.0
767,Mathematics,Extended real number line,0,0.0,0.0
768,Polynomial,Quadratic function,0,0.09239875486127436,0.09239875486127436
769,Dot product,Number,1,0.001495783854412066,0.001495783854412066
770,Mathematics,Mathematical induction,0,0.0,0.0
771,Logarithm,Function (mathematics),0,0.11898917423342226,0.0
772,Vertical line test,Line (geometry),1,0.035169069805013324,0.0
773,Line (geometry),Curve,0,0.06185713993182765,0.06185713993182765
774,Exponentiation,Complex number,0,0.027181347203316674,0.027181347203316674
775,Sine,Identity (mathematics),0,0.07114545066756629,0.0
776,Quadratic function,Quadratic equation,0,0.035169069805013324,0.035169069805013324
777,Multiplication,Exponential function,0,0.0,0.0
778,Mathematics,Equation,0,0.0,0.0
779,Multiplication,Arithmetic,1,0.027181347203316674,0.027181347203316674
780,Geometry,Right triangle,0,0.01382602864139957,0.0
781,Curve,Circle,0,0.026493249134474543,0.026493249134474543
782,Sum,Number,1,0.011678620094063438,0.011678620094063438
783,Function (mathematics),Graph of a function,0,0.1024957913755097,0.1024957913755097
784,Domain of a function,Function (mathematics),1,0.3200458818719548,0.0
785,Logarithm,Multiplication,1,0.0023158175433674014,0.0023158175433674014
786,Floor and ceiling functions,Mathematics,1,1.0,1.0
787,Zero of a function,Function (mathematics),1,0.21484726330336454,0.0
788,Triangle,Line (geometry),1,0.00422968768256285,0.0
789,Inverse trigonometric functions,Domain of a function,0,0.1319464434444137,0.0
790,Exponential function,Number,1,0.008662421474567911,0.008662421474567911
791,Mathematics,Binomial,0,0.0,0.0
792,Cubic function,Mathematics,1,1.0,1.0
793,Polynomial,Algebraic expression,0,0.001702426748459801,0.001702426748459801
794,Binomial theorem,Number,1,0.0064263306337703574,0.0064263306337703574
795,Line (geometry),System of linear equations,0,0.1152975767181989,0.0
796,Arithmetic,Fundamental theorem of algebra,0,0.027181347203316674,0.0
797,Fundamental theorem of algebra,Polynomial,1,0.3528364217496703,0.3528364217496703
798,Summation,Addition,1,0.018969660139662444,0.018969660139662444
799,Sum,Mathematics,1,1.0,1.0
800,Unit circle,Inverse trigonometric functions,0,0.0,0.0
801,System of linear equations,Number,1,0.007010542509567664,0.007010542509567664
802,Simultaneous equations,Equation,1,0.053638303755229794,0.053638303755229794
803,Fundamental theorem of algebra,Multiplication,1,0.03616762104494383,0.0
804,Mathematics,Trigonometry,0,0.0,0.0
805,Sine,Real number,0,0.04286278147496424,0.04286278147496424
806,Matrix ring,Arithmetic,1,0.047546626831744064,0.0
807,Plane curve,Mathematics,1,1.0,1.0
808,Multiplication,Even and odd functions,0,0.017773066531068134,0.0
809,Right triangle,Triangle,1,0.2436219371142085,0.2436219371142085
810,Rotation of axes,Coordinate system,1,0.0438620108501141,0.0438620108501141
811,Even and odd functions,Domain of a function,0,0.06256081370209271,0.0
812,Exponential growth,Common logarithm,0,0.337530642300765,0.0
813,Coordinate system,Circle,0,0.08630078876866244,0.08630078876866244
814,Mathematics,Spherical law of cosines,0,0.0,0.0
815,Exponential function,Function (mathematics),1,0.0849665510411124,0.0
816,Partial fraction decomposition,Polynomial,1,0.037883489493122494,0.037883489493122494
817,Trigonometry,Trigonometric functions,0,0.3480550815161803,0.3480550815161803
818,Arithmetic,Binomial,0,0.0178489785392913,0.0
819,Line–line intersection,Geometry,1,0.011877339426256552,0.011877339426256552
820,Number,Complex number,0,0.027181347203316674,0.027181347203316674
821,Function (mathematics),Linear function,0,0.0230553729251625,0.0230553729251625
822,Quadratic equation,Equation,1,0.16817843156587678,0.16817843156587678
823,Mathematics,Expression (mathematics),0,0.0,0.0
824,Secant line,Mathematics,1,1.0,1.0
825,Mathematics,Fundamental theorem of algebra,0,0.0,0.0
826,Polynomial,Rational number,0,0.002288766161162901,0.002288766161162901
827,Mathematics,Limit of a function,0,0.0,0.0
828,Line segment,Law of sines,0,0.026493249134474543,0.0
829,Quadratic equation,Sine,0,0.02213853743836276,0.02213853743836276
830,Equation solving,Nth root,0,0.027181347203316674,0.027181347203316674
831,Inverse trigonometric functions,Function (mathematics),1,0.2935787444268254,0.0
832,Binomial,Polynomial,1,0.2549850254344783,0.2549850254344783
833,Multiplication,Binomial theorem,0,0.020713232472835755,0.0
834,Real number,Rational number,0,0.022568972652479747,0.022568972652479747
835,Limit (mathematics),Calculus,1,1.0,1.0
836,Limit of a function,Mathematics,1,1.0,1.0
837,Number,Sum,0,0.004557307806834618,0.004557307806834618
838,Multiplication,Fundamental theorem of algebra,0,0.027181347203316674,0.0
839,Real number,System of linear equations,0,0.044072631780966064,0.0
840,Line (geometry),Plane curve,0,0.011877339426256552,0.0
841,Linear function,Graph of a function,0,0.11264825994414328,0.0
842,Number,Subtraction,0,0.0311615254998952,0.0311615254998952
843,Determinant,Matrix (mathematics),1,0.7495221317832218,0.0
844,Inequality (mathematics),Number,1,0.0053885381090621005,0.0053885381090621005
845,Number,Nth root,0,0.027181347203316674,0.0
846,Function composition,Transformation (function),0,0.020978786735308008,0.0
847,Subtraction,Inequality (mathematics),0,0.0,0.0
848,Mathematical induction,Real number,0,0.06700283642300492,0.06700283642300492
849,Multiplication,Real number,0,0.06806747806150824,0.06806747806150824
850,Real number,Absolute value,0,0.0258245314315038,0.0258245314315038
851,Complex number,Zero (complex analysis),0,0.09583252858651026,0.0
852,Exponentiation,Multiplication,1,0.04204099540266975,0.04204099540266975
853,Law of sines,Angle,1,0.3428059109421869,0.3428059109421869
854,Unit circle,Equation,0,0.023914773678887016,0.023914773678887016
855,Addition,Polynomial,0,0.027181347203316674,0.0
856,Arithmetic,Dot product,0,0.01877436577792653,0.0
857,Equation solving,Equation,1,0.16817843156587678,0.16817843156587678
858,Function (mathematics),Exponential function,0,0.014552718540005512,0.014552718540005512
859,Transformation (function),Mathematics,1,1.0,1.0
860,Number,Exponential growth,0,0.027181347203316674,0.0
861,Imaginary number,Complex number,1,0.3892558832886341,0.3892558832886341
862,Exponentiation,Sine,0,0.020978786735308008,0.020978786735308008
863,Periodic function,Function (mathematics),1,0.3200458818719548,0.0
864,Equation,Linear equation,0,0.1052319152586736,0.1052319152586736
865,Mathematics,Rational function,0,0.0,0.0
866,Fundamental theorem of algebra,Algebra,1,0.04095919218635853,0.04095919218635853
867,Real number,Limit of a sequence,0,0.0,0.0
868,Number,Linear equation,0,0.044072631780966064,0.0
869,Sine,Trigonometry,1,0.04031127057473953,0.04031127057473953
870,Mathematics,Limit (mathematics),0,0.0,0.0
871,Polar coordinate system,Number,1,0.044777013448206365,0.044777013448206365
872,Angle,Law of sines,0,0.04860946401770085,0.0
873,Equation solving,Real number,0,0.014937029907942084,0.014937029907942084
874,Rational function,Mathematics,1,1.0,1.0
875,Function (mathematics),Continuous function,0,0.004288951806922272,0.004288951806922272
876,Quadratic equation,Number,1,0.0064263306337703574,0.0064263306337703574
877,Subtraction,Real number,0,0.06806747806150824,0.06806747806150824
878,Mathematics,Algebra,0,0.0,0.0
879,Series (mathematics),Geometric series,0,0.16101655217313013,0.16101655217313013
880,Addition,Complex number,0,0.027181347203316674,0.027181347203316674
881,Number,Summation,0,0.004557307806834618,0.0
882,Exponential function,Exponential growth,0,0.2483701500393575,0.2483701500393575
883,Real number,Real line,0,0.08211791625003052,0.08211791625003052
884,Number,Algebraic equation,0,0.007066265228279215,0.007066265228279215
885,Linear inequality,Function (mathematics),1,0.04223888163744927,0.0
886,Cross product,Product (mathematics),1,0.11578902919547245,0.0
887,Linear inequality,Linear function,1,0.027181347203316674,0.027181347203316674
888,Mathematics,Equation solving,0,0.0,0.0
889,Mathematics,Polar coordinate system,0,0.0,0.0
890,Mathematics,Binomial theorem,0,0.0,0.0
891,Addition,Summation,0,0.004557307806834618,0.004557307806834618
892,Binomial theorem,Multiplication,1,0.025302450936791968,0.0
893,Conic section,Curve,1,0.011544765747645251,0.011544765747645251
894,Curve,Plane curve,0,0.1670546728796225,0.1670546728796225
895,Binomial,Addition,1,0.011856037587289026,0.011856037587289026
896,Triangle,Line segment,1,0.03178406583341601,0.03178406583341601
897,Partial fraction decomposition,Addition,1,0.0351178834864004,0.0351178834864004
898,Trigonometric functions,Trigonometry,1,0.04031127057473953,0.04031127057473953
899,Summation,Number,1,0.03470218542235993,0.03470218542235993
900,Arithmetic,Summation,0,0.006154313106665554,0.006154313106665554
901,Pythagorean trigonometric identity,Geometry,1,0.011877339426256552,0.011877339426256552
902,Arithmetic,Logarithm,0,0.036393805266710016,0.036393805266710016
903,Mathematics,Plane (geometry),0,0.0,0.0
904,Geometric series,Mathematics,1,1.0,1.0
905,Binomial,Summation,0,0.02769440897999499,0.02769440897999499
906,Real number,Imaginary number,0,0.027181347203316674,0.027181347203316674
907,Logarithm,Exponentiation,1,0.09979167696483954,0.09979167696483954
908,Logarithm,Arithmetic,1,0.044072631780966064,0.044072631780966064
909,Mathematics,Addition,0,0.0,0.0
910,Number,Logarithm,0,0.027181347203316674,0.0
911,Polynomial,Function composition,0,0.010905876040414316,0.0
912,Common logarithm,Number,1,0.013880874168943971,0.013880874168943971
913,Limit (mathematics),Mathematics,1,1.0,1.0
914,Sine,Inverse trigonometric functions,0,0.0,0.0
