,topic_a,topic_b,relation,refd_equal,refd_tfidf
404,Polynomial,Nth root,0,-0.26672240802675584,-0.70633845680032
405,Common logarithm,Logarithm,1,0.3166666666666667,0.4142524769727352
406,Fundamental theorem of algebra,Number,1,0.04411764705882354,-0.032229320267282244
407,Subtraction,Number,1,-0.0117647058823529,-0.021762002045445344
408,Rational number,Real line,0,-0.33333333333333337,-0.44442465685093613
409,Constant function,Domain of a function,0,0.4880952380952381,0.6447157227624748
410,Zero of a function,Domain of a function,1,0.08333333333333334,0.8715470804325456
411,Number,Dot product,0,-0.14705882352941174,-0.3515924069417236
412,Spherical law of cosines,Trigonometric functions,1,0.15121951219512195,0.10407041081053148
413,Function (mathematics),Function composition,0,-0.32470588235294123,0.16536537422174113
414,Mathematics,Line (geometry),0,-0.3294642857142857,-0.5497409988802755
415,Equation,Equation solving,0,-0.2635294117647059,-0.6339634770130282
416,Binomial theorem,Real number,0,0.55,0.019785333815633854
417,Polar coordinate system,Plane (geometry),1,0.15992647058823528,0.2908347018895405
418,Arithmetic,Cross product,0,-0.03598200899550225,0.03981851595641151
419,Parametric equation,Number,1,0.1111111111111111,0.07608809261893791
420,Complex number,Inequality (mathematics),0,-0.6976264189886481,0.0
421,Exponential function,Graph of a function,0,-0.11594202898550725,0.4632568786935418
422,Geometry,Triangle,0,-0.016304347826086973,-0.05974554272518118
423,Line (geometry),Geometry,1,-0.01428571428571429,0.4046961447235561
424,Number,Partial fraction decomposition,0,-0.4615384615384616,0.006412025089240578
425,Trigonometric functions,Pythagorean trigonometric identity,0,-0.26016260162601623,-0.14187207215640266
426,Circle,Quadratic function,0,-0.037037037037037035,-0.5854160218324345
427,Product (mathematics),Number,1,0.2005347593582888,0.2061644610544588
428,Mathematics,Polynomial,0,-0.4423076923076923,-0.3732714610233566
429,Real number,Multiplicative inverse,0,-0.7195652173913043,-0.681159353738601
430,Hyperbola,Geometry,0,0.2090909090909091,0.10871838915118356
431,Equation,Mathematics,1,0.45,0.5264930086176361
432,Polynomial,Complex number,0,0.3408748114630468,0.06783731432148449
433,Equation,Rational number,0,0.2466666666666667,0.206061117447627
434,Arithmetic,Multiplicative inverse,0,0.06746626686656672,0.1422958940780572
435,Arithmetic,Sum,0,-0.19230769230769232,-0.08906521863249729
436,Trigonometric functions,Spherical law of cosines,0,-0.15121951219512195,-0.10407041081053148
437,Addition,Nth root,0,-0.32837528604118993,-0.7003260670595668
438,Number,Imaginary number,0,-0.4901960784313725,-0.6821285804323771
439,Polynomial,Arithmetic,1,-0.10278514588859416,-0.1856708413909055
440,Multiplication,Exponentiation,0,-0.09152542372881356,-0.355032259547132
441,Matrix (mathematics),Invertible matrix,0,-0.5,-0.01608144007304424
442,Mathematics,Matrix ring,0,-0.56875,-0.06003529192114534
443,Law of sines,Geometry,1,0.3875,0.1883526390032651
444,Subtraction,Mathematics,1,0.09166666666666667,0.2331813464137777
445,Inverse trigonometric functions,Inverse function,1,0.043417366946778696,0.527298117180015
446,Calculus,Geometric series,0,-0.4545454545454545,-0.3573592493011314
447,Quadratic equation,Equation solving,0,-0.14338235294117646,-0.5367662899549251
448,Logarithm,Exponential growth,0,-0.4041666666666667,-0.6850628881464931
449,Exponential function,Addition,0,0.1544622425629291,0.019901872744164637
450,Inverse trigonometric functions,Mathematics,1,0.6845238095238095,0.9249713842742512
451,Mathematics,Injective function,0,-0.7729166666666667,-0.9307539725620744
452,Line (geometry),Line segment,0,-0.20295566502463055,-0.3280461245235695
453,Line segment,Line (geometry),1,0.20295566502463055,0.3280461245235695
454,Binomial theorem,Arithmetic,1,0.05603448275862069,-0.023724699782803532
455,Line (geometry),Complex number,0,0.1787114845938375,-0.06910422593632466
456,Mathematics,Linear function,0,-0.65625,-0.7020416493714641
457,Inverse trigonometric functions,Sine,1,0.21804511278195488,0.6381819590701314
458,Number,Fundamental theorem of algebra,0,-0.04411764705882354,0.032229320267282244
459,Plane curve,Line (geometry),1,0.17142857142857146,0.8186776372007428
460,Differential equation,Mathematics,1,0.43990384615384615,0.5596657937521415
461,Conic section,Circle,1,0.13601532567049807,0.4133204856570872
462,Calculus,Fundamental theorem of algebra,0,-0.3560606060606061,-0.00890657548572429
463,Complex number,Graph of a function,0,-0.5490196078431372,0.08747318286645027
464,Equation,Algebraic expression,0,-0.033333333333333326,-0.10243842106430884
465,Algebra,Linear inequality,0,-0.3020833333333333,0.001554501957772871
466,Algebraic equation,Mathematics,1,0.5729166666666666,0.8806961801624867
467,Determinant,Transformation (function),0,0.037037037037037035,0.0
468,Geometry,Circle,0,-0.07500000000000001,-0.0036056477826214572
469,Unit circle,Mathematics,1,0.3125,0.7104685077700027
470,Domain of a function,Mathematics,1,0.4479166666666666,0.4497308417424611
471,Algebraic expression,Algebra,1,0.14166666666666666,0.7810687584618198
472,Linear inequality,Number,1,0.16666666666666666,-0.0011538919187777939
473,Number,Algebraic expression,0,-0.17843137254901958,-0.09234576354411814
474,Algebraic expression,Multiplication,1,0.5428571428571428,0.7280191818596866
475,Quadratic equation,Graph of a function,0,0.2013888888888889,0.6903789154694081
476,Rotation (mathematics),Geometry,1,0.4,-0.052105608109270465
477,Mathematics,Pythagorean trigonometric identity,0,-0.5729166666666666,-0.6197350547632509
478,Trigonometric functions,Mathematics,1,0.4954268292682927,0.6399373810891948
479,Linear inequality,Inequality (mathematics),1,0.0,0.0
480,Number,Inequality (mathematics),0,-0.2337461300309597,0.0
481,Linear function,Matrix (mathematics),0,0.1272727272727273,0.27918739994860337
482,Secant line,Geometry,1,0.28863636363636364,0.6743402587972102
483,Zero of a function,Geometry,0,0.2625,0.9824627733080796
484,Common logarithm,Arithmetic,1,0.1310344827586207,-0.02508557157330217
485,Algebraic expression,Mathematics,1,0.6708333333333333,0.8773729024354903
486,Monotonic function,Function (mathematics),1,0.7397504456327986,0.7026585704467432
487,Geometry,Law of sines,0,-0.3875,-0.1883526390032651
488,Exponentiation,Mathematics,1,0.23781779661016944,0.42305197088475577
489,Mathematics,Parametric equation,0,-0.6041666666666666,-0.8649651139419696
490,Pythagorean trigonometric identity,Sine,0,0.4473684210526316,0.5448479971649538
491,Plane curve,Conic section,0,0.16091954022988506,0.5861252129005461
492,System of linear equations,Linear equation,1,-0.012820512820512804,-0.22204473136768252
493,Mathematics,Arithmetic,0,-0.31465517241379315,-0.5037292715585713
494,Transformation (function),Function (mathematics),1,0.6946778711484594,0.0
495,Multiplication,Cross product,0,-0.062111801242236024,0.19902288634301565
496,Polynomial,Graph of a function,0,-0.025641025641025602,0.24449830301558556
497,Number,Polynomial,0,0.2194570135746606,0.22736179064253945
498,Rotation of axes,Mathematics,1,0.5841346153846154,0.7956925368184793
499,Mathematics,Subtraction,0,-0.09166666666666667,-0.2331813464137777
500,Sine,Geometry,1,0.11184210526315788,0.09826130850760184
501,Simultaneous equations,Number,1,0.0,0.0884228940476829
502,Number,Real line,0,-0.11176470588235296,0.06562751641706369
503,Inverse function,Mathematics,1,0.4595588235294118,0.7075854620291229
504,Geometry,Trigonometric functions,0,-0.16768292682926828,-0.24676203408352315
505,Constant function,Polynomial,0,0.4926739926739926,0.5562466279151047
506,Exponentiation,Function composition,0,-0.002711864406779646,-0.33996663098465685
507,Sine,Multiplicative inverse,0,-0.024027459954233416,0.15100019046174987
508,Complex number,Fundamental theorem of algebra,0,-0.5245098039215687,-0.8479851479687671
509,Euclidean vector,Vector (mathematics and physics),1,-0.45106382978723397,-0.7729790233185297
510,Exponential function,Arithmetic,1,-0.05097451274362818,-0.09938814951036604
511,Curve,Unit circle,0,-0.2023809523809524,0.016548597618134625
512,Equation,Fundamental theorem of algebra,0,-0.09,-0.3070180245526806
513,Rational number,Multiplicative inverse,0,-0.08115942028985508,-0.2457657108605408
514,Zero (complex analysis),Complex number,1,0.8181818181818182,0.0
515,Equation,Subtraction,0,0.19333333333333336,0.10097819258334892
516,Even and odd functions,Sine,0,0.1736842105263158,0.4785481933304265
517,Rotation of axes,Conic section,0,0.2811671087533157,0.5044412416761787
518,Spherical law of cosines,Triangle,0,0.4695652173913043,0.2193605706137212
519,Law of sines,Triangle,1,0.13858695652173916,0.6207027756365207
520,Geometry,Conic section,0,-0.14482758620689656,0.04799925793511784
521,Multiplicative inverse,Number,1,-0.09079283887468033,-0.1223786078386675
522,Linear function,Real number,0,0.6,0.5891004581329838
523,Real line,Graph of a function,0,-0.08888888888888888,-0.320212600164414
524,Secant line,Circle,0,0.4898989898989898,0.6617893182030805
525,Exponentiation,Addition,0,0.00267618198037467,0.3707200885742124
526,Floor and ceiling functions,Function (mathematics),0,0.2857142857142857,1.0
527,Dot product,Mathematics,1,0.4908088235294118,0.7278476703183008
528,Logarithm,Common logarithm,0,-0.3166666666666667,-0.4142524769727352
529,Real number,Fundamental theorem of algebra,0,-0.6,-0.4690780918944496
530,Addition,Function (mathematics),0,0.13983488132094946,0.3898926639282754
531,Multiplication,Mathematics,1,0.15982142857142856,0.42461914724101707
532,Mathematical induction,Mathematics,1,0.30625,-0.03936379482184391
533,Graph of a function,Function (mathematics),1,0.006535947712418277,0.934209777455275
534,Mathematics,Line–line intersection,0,-0.5714285714285714,0.0
535,Mathematics,Graph of a function,0,-0.4479166666666666,-0.32784521832866753
536,Linear inequality,Equation,1,0.14666666666666667,-0.005599608848231928
537,Curve,Line (geometry),1,-0.0761904761904762,-0.07197692551144619
538,Arithmetic,Polynomial,0,0.10278514588859416,0.1856708413909055
539,Line (geometry),Unit circle,0,-0.23214285714285715,-0.0039926220835799645
540,System of linear equations,Line (geometry),1,0.1164835164835165,0.05203066639860531
541,Exponentiation,Polynomial,0,-0.09419817470664926,0.011276187254606218
542,Floor and ceiling functions,Limit of a sequence,0,0.2857142857142857,-0.3136413186545429
543,Multiplication,Complex number,0,0.15966386554621848,0.3905597054283062
544,Geometry,Plane (geometry),0,0.029411764705882363,-0.316981341530692
545,Zero of a function,Real number,0,0.7375,0.8914071360656417
546,Geometry,Vertical line test,0,0.0,0.0068452004383222865
547,Injective function,Mathematics,1,0.7729166666666667,0.9307539725620744
548,Conic section,Geometry,1,0.14482758620689656,-0.04799925793511784
549,Multiplication,Inequality (mathematics),0,-0.42105263157894735,0.0
550,Extended real number line,Mathematics,1,0.6294642857142857,0.5782380873915043
551,Unit circle,Pythagorean trigonometric identity,0,-0.041666666666666664,-0.15454485920286698
552,Algebra,Inequality (mathematics),0,-0.2845394736842105,0.0
553,Mathematics,Triangle,0,-0.3586956521739131,-0.35554081861309883
554,Line (geometry),Equation solving,0,-0.17647058823529413,-0.4312431895391411
555,Geometry,Angle,0,-0.15555555555555556,-0.008310098703957602
556,Conic section,Line (geometry),1,0.116256157635468,0.13581149222581249
557,Quadratic equation,Real number,0,0.44375,0.8188487525285479
558,Multiplication,Algebraic expression,0,-0.5428571428571428,-0.7280191818596866
559,Series (mathematics),Mathematics,1,0.40625,0.8029728143508476
560,Line segment,Geometry,1,0.3112068965517241,0.31372386987616424
561,Linear equation,Equation solving,0,-0.1985294117647059,-0.4143859158544644
562,Triangle,Law of sines,0,-0.13858695652173916,-0.6207027756365207
563,Arithmetic,Exponential growth,0,-0.14655172413793105,-0.01334468431943342
564,Derivative,Vector (mathematics and physics),0,-0.3117647058823529,-0.9606335341504728
565,Sine,Graph of a function,0,0.014619883040935672,0.20269837368074103
566,Number,Simultaneous equations,0,0.0,-0.0884228940476829
567,Addition,Even and odd functions,0,-0.32,-0.5287114389890604
568,Complex number,Sine,0,-0.4613003095975232,-0.2584311801582988
569,Algebraic expression,Number,1,0.17843137254901958,0.09234576354411814
570,Unit circle,Real number,0,0.4625,0.5402369744850355
571,Partial fraction decomposition,Quadratic equation,0,0.3076923076923077,0.0
572,Mathematics,Inverse function,0,-0.4595588235294118,-0.7075854620291229
573,Mathematics,Domain of a function,0,-0.4479166666666666,-0.4497308417424611
574,Triangle,Right triangle,0,-0.2411067193675889,-0.25740164174930114
575,Quadratic function,Mathematics,1,0.6840277777777778,0.3090677026172
576,Limit of a function,Limit (mathematics),1,-0.042780748663101616,-0.95558228779162
577,Line (geometry),Linear equation,0,0.004761904761904773,-0.2130123276133998
578,Real number,Common logarithm,0,-0.75,-0.9756463173416262
579,Mathematics,Coordinate system,0,-0.475,-0.3301260120153334
580,Binomial,Multiplication,1,0.3125,0.07953792048580056
581,Function (mathematics),Rational function,0,-0.20677361853832446,-0.4307863045174531
582,Algebraic equation,Equation,1,0.11809523809523807,0.5855380405443579
583,Fundamental theorem of algebra,Arithmetic,1,0.09770114942528736,-0.02034818845254388
584,Graph (mathematics),Geometry,0,0.25,0.0
585,Circle,Mathematics,1,0.34375,0.332885185846038
586,Polynomial,Quadratic equation,0,-0.4447115384615384,-0.5294124862277311
587,Trigonometric functions,Identity (mathematics),0,-0.5909943714821764,0.15299065778453327
588,Logarithm,Equation solving,0,-0.1176470588235294,-0.3270502041471339
589,Mathematics,Multiplication,0,-0.15982142857142856,-0.42461914724101707
590,Real number,Complex number,0,0.013725490196078384,-0.3036465097884751
591,Complex number,Real number,1,-0.013725490196078384,0.3036465097884751
592,Number,Exponential function,0,-0.11381074168797953,0.04383139263389886
593,Simultaneous equations,Mathematics,1,0.5,0.2966908026268586
594,Even and odd functions,Real number,0,0.735,0.5353443504851638
595,Calculus,Linear inequality,0,-0.3333333333333333,-0.031694613794918385
596,Mathematics,Periodic function,0,-0.5113636363636364,-0.945954508488632
597,Circle,Equation,0,-0.14111111111111113,-0.030915842174863206
598,Equation solving,Mathematics,1,0.7352941176470589,0.8713239113835419
599,Complex number,Inverse trigonometric functions,0,-0.453781512605042,-0.7539062001366157
600,Inverse function,Inverse trigonometric functions,0,-0.043417366946778696,-0.527298117180015
601,Inequality (mathematics),Multiplicative inverse,0,0.15789473684210525,0.0
602,Line (geometry),Real number,0,0.3035714285714285,0.5382107814442108
603,Common logarithm,Exponentiation,1,0.5322033898305084,0.19390337694809567
604,Multiplication,Logarithm,0,-0.14642857142857146,-0.11349258195265505
605,Mathematics,Exponential growth,0,-0.61875,-0.039760023818910736
606,Number,Zero (complex analysis),0,-0.2727272727272727,0.0
607,Polynomial,Equation solving,0,-0.4128959276018099,-0.8529675496278205
608,Logarithm,Multiplicative inverse,0,-0.03170289855072464,0.045878409048978615
609,Angle,Triangle,0,-0.2318840579710145,-0.10711589079907817
610,Function (mathematics),Quadratic function,0,-0.3856209150326797,-0.2661507722864245
611,Exponential growth,Multiplication,1,0.4714285714285714,0.7899006612516604
612,Calculus,Mathematics,1,0.2272727272727273,0.3565623233877349
613,Number,Matrix ring,0,-0.5411764705882353,-0.01220313940539164
614,Function (mathematics),Vertical line test,0,-0.6666666666666666,-1.0
615,Plane (geometry),Mathematics,1,0.4908088235294118,0.3199174530547764
616,Angle,Geometry,1,0.15555555555555556,0.008310098703957602
617,Unit circle,Circle,1,0.1111111111111111,0.2267229061237534
618,Mathematics,System of linear equations,0,-0.5144230769230769,-0.6779360996879528
619,Mathematics,Law of sines,0,-0.6875,-0.1875051879575708
620,Logarithm,Real number,0,0.6458333333333334,0.6056324069600002
621,Geometry,Curve,0,-0.008333333333333305,0.12055835270793305
622,Geometry,Secant line,0,-0.28863636363636364,-0.6743402587972102
623,Number,Real number,0,0.5529411764705883,0.4784808860916222
624,Law of sines,Trigonometric functions,0,0.35365853658536583,0.2296346519784365
625,Real number,Extended real number line,0,-0.7107142857142857,-0.4701272680848228
626,Triangle,Angle,1,0.2318840579710145,0.10711589079907817
627,Rational number,Number,1,-0.09999999999999998,-0.024211722998966345
628,Mathematics,Function (mathematics),0,-0.38602941176470573,-0.4917606719132514
629,Floor and ceiling functions,Periodic function,0,0.0,0.0
630,Number,Multiplicative inverse,0,0.09079283887468033,0.1223786078386675
631,Trigonometry,Spherical law of cosines,0,-0.3230769230769231,-0.9414951099912566
632,Real line,Line (geometry),1,0.37142857142857133,0.4192431172114667
633,Mathematics,Linear equation,0,-0.4791666666666666,-0.6616591957101363
634,Calculus,Limit (mathematics),0,-0.3333333333333333,-0.7841650993489763
635,Mathematics,Right triangle,0,-0.5426136363636364,-0.3590298904419277
636,Polar coordinate system,Mathematics,1,0.53125,0.4067447611716622
637,Complex plane,Geometry,1,-0.024999999999999998,-0.06952748991742558
638,Mathematics,Sum,0,-0.7307692307692307,-0.6586816462307661
639,Pythagorean trigonometric identity,Trigonometric functions,1,0.26016260162601623,0.14187207215640266
640,Mathematics,Limit of a sequence,0,-0.5145833333333333,-0.7851963636269214
641,Continuous function,Function (mathematics),1,0.3235294117647059,0.6188597599991532
642,Right triangle,Line segment,1,-0.15047021943573669,0.3891421424919024
643,Exponential function,Complex number,0,0.4126172208013641,0.6036484759895979
644,Dot product,Product (mathematics),1,-0.25935828877005346,-0.3157931737794513
645,Mathematics,Dot product,0,-0.4908088235294118,-0.7278476703183008
646,Mathematics,Partial fraction decomposition,0,-0.6923076923076923,-0.13399351602369194
647,Real line,Real number,1,0.5833333333333333,0.6033757480884326
648,Fundamental theorem of algebra,Matrix (mathematics),0,0.2424242424242424,0.06251859750758504
649,Partial fraction decomposition,Real number,0,0.7692307692307693,0.9633512157794673
650,Mathematics,Zero of a function,0,-0.6875,-0.9416558580154618
651,Law of sines,Line (geometry),1,0.22142857142857145,0.050562058330171564
652,Function composition,Mathematics,1,0.76375,0.7764955890531235
653,Polynomial,Subtraction,0,0.002564102564102555,-0.0028381000439584025
654,Trigonometric functions,Geometry,1,0.16768292682926828,0.24676203408352315
655,Mathematics,Function composition,0,-0.76375,-0.7764955890531235
656,Line (geometry),Triangle,0,0.13788819875776398,0.3691220545503501
657,Equation,Domain of a function,0,0.013333333333333336,0.11062120364784828
658,Rotation of axes,Geometry,1,0.3365384615384616,0.1366146845504036
659,Curve,Conic section,0,-0.08538587848932677,-0.02360424081726642
660,Cross product,Multiplication,1,0.062111801242236024,-0.19902288634301565
661,Real number,Vector (mathematics and physics),0,-0.6333333333333333,-0.950359060510766
662,Constant function,Zero of a function,0,-0.10714285714285716,0.7219053047342936
663,Geometric series,Series (mathematics),1,0.5476190476190477,0.8055113722598449
664,Polar coordinate system,Coordinate system,1,-0.16875,-0.2045221424956502
665,Function composition,Real number,0,0.515,0.619260019102686
666,Summation,Mathematics,1,0.5745192307692307,0.8370895607923902
667,Position (vector),Real number,0,0.606578947368421,0.0
668,Binomial,Mathematics,1,0.625,0.4441033736654101
669,Logarithm,Nth root,0,-0.033514492753623226,-0.5831292570553136
670,Curve,Secant line,0,-0.40259740259740256,-0.7077377604709993
671,Determinant,Vector (mathematics and physics),0,-0.14074074074074078,-0.8970681593722778
672,Multiplication,Exponential growth,0,-0.4714285714285714,-0.7899006612516604
673,Vertical line test,Mathematics,1,0.96875,-0.009586615178007605
674,Plane curve,Curve,1,0.21904761904761905,0.6508222142263815
675,Coordinate system,Mathematics,1,0.475,0.3301260120153334
676,Constant function,Function (mathematics),1,0.4705882352941176,0.6409429795486989
677,Arithmetic,Partial fraction decomposition,0,-0.07692307692307693,0.0013639242455362787
678,Zero (complex analysis),Real number,1,0.9090909090909092,0.0
679,Geometry,Real line,0,-0.3416666666666667,-0.3839090134871072
680,Mathematics,Rotation of axes,0,-0.5841346153846154,-0.7956925368184793
681,Right triangle,Mathematics,1,0.5426136363636364,0.3590298904419277
682,Algebraic expression,Nth root,0,0.2463768115942029,0.11347536520293965
683,Constant function,Mathematics,1,0.7157738095238095,0.8651660835439846
684,Complex plane,Plane (geometry),1,-0.07647058823529412,-0.11115378460750433
685,Mathematics,Geometry,0,-0.13749999999999996,-0.22584378348299936
686,Mathematics,Quadratic equation,0,-0.625,-0.256650116216092
687,Right triangle,Angle,1,0.4848484848484849,0.4561213786183408
688,Function (mathematics),Mathematics,1,0.38602941176470573,0.4917606719132514
689,Algebraic expression,Exponentiation,1,0.4322033898305085,0.7116627201373777
690,Curve,Mathematics,1,0.5104166666666666,0.3338871420269689
691,Floor and ceiling functions,Real number,0,0.6892857142857143,0.959021526418338
692,Geometry,Spherical law of cosines,0,-0.575,0.0005534442090270597
693,Circle,Unit circle,0,-0.1111111111111111,-0.2267229061237534
694,Linear equation,Linear inequality,0,-0.3333333333333333,-0.7216428043392397
695,Complex number,Equation solving,0,-0.6176470588235294,-0.9419059060420462
696,Exponential growth,Arithmetic,1,0.14655172413793105,0.01334468431943342
697,Product (mathematics),Mathematics,1,0.5426136363636364,0.6661130067150051
698,Partial fraction decomposition,Number,1,0.4615384615384616,-0.006412025089240578
699,Imaginary number,Number,1,0.4901960784313725,0.6821285804323771
700,Inequality (mathematics),Domain of a function,0,0.21052631578947367,0.0
701,Linear function,Calculus,1,0.3090909090909091,0.31122198241856497
702,Arithmetic,Addition,0,0.367513611615245,0.210412961184698
703,Zero of a function,Multiplicative inverse,0,0.08152173913043477,-0.38442755010635493
704,Product (mathematics),Multiplication,1,0.40259740259740256,0.7754685371503499
705,Arithmetic,Binomial theorem,0,-0.05603448275862069,0.023724699782803532
706,Formula,Mathematics,1,0.6041666666666666,0.6324769943294158
707,Law of sines,Mathematics,1,0.6875,0.1875051879575708
708,Angle,Right triangle,0,-0.4848484848484849,-0.4561213786183408
709,Complex number,Nth root,0,-0.5822676896845694,-0.496039676684699
710,Function (mathematics),Cubic function,0,-0.3790849673202614,-0.9051425263018658
711,Geometry,Rotation (mathematics),0,-0.4,0.052105608109270465
712,Complex number,Quadratic equation,0,-0.4644607843137255,-0.6995088908595075
713,Domain of a function,Zero of a function,0,-0.08333333333333334,-0.8715470804325456
714,Geometry,Plane curve,0,-0.2333333333333333,0.12112024857964004
715,Quadratic function,Function (mathematics),1,0.3856209150326797,0.2661507722864245
716,Law of sines,Trigonometry,1,0.4567307692307692,0.4927462724927442
717,Transformation (function),Hyperbola,0,0.05194805194805194,0.0
718,Number,Floor and ceiling functions,0,-0.42857142857142855,0.024409419809564733
719,Exponential function,Sine,0,0.12013729977116708,-0.010429909484789364
720,Exponentiation,Nth root,0,-0.3279292557111274,-0.3521007727568186
721,Partial fraction decomposition,Rational function,0,0.3076923076923077,0.2731285760230803
722,Multiplicative inverse,Arithmetic,1,-0.06746626686656672,-0.1422958940780572
723,Function (mathematics),Linear inequality,0,-0.5,-0.03611738148984198
724,Extended real number line,Real number,1,0.7107142857142857,0.4701272680848228
725,Complex plane,Mathematics,1,0.31875,0.5565807905084034
726,Line (geometry),Mathematics,1,0.3294642857142857,0.5497409988802755
727,Binomial theorem,Binomial,1,-0.375,-0.2977895775929937
728,Addition,Fundamental theorem of algebra,0,-0.1973684210526316,-0.038120668516205006
729,Curve,Geometry,1,0.008333333333333305,-0.12055835270793305
730,Vertical line test,Graph of a function,1,0.4444444444444444,0.968103425221298
731,Coordinate system,Polar coordinate system,0,0.16875,0.2045221424956502
732,Line–line intersection,Mathematics,1,0.5714285714285714,0.0
733,Inverse trigonometric functions,Trigonometric functions,1,0.30429732868757264,0.5297036618368836
734,Arithmetic,Multiplication,0,0.4266009852216749,0.21387431487586184
735,Inverse trigonometric functions,Multiplicative inverse,0,0.2463768115942029,0.4543080155912206
736,Algebra,Fundamental theorem of algebra,0,0.052083333333333336,-0.5155715679783233
737,Linear equation,System of linear equations,0,0.012820512820512804,0.22204473136768252
738,Line segment,Mathematics,1,0.2952586206896552,0.03733806393712838
739,Complex number,Domain of a function,0,-0.3431372549019608,-0.3801955214561085
740,Mathematics,Inequality (mathematics),0,-0.4736842105263158,0.0
741,Number,Rotation of axes,0,-0.15384615384615385,-0.053787597741035365
742,Equation,Number,1,0.062352941176470576,0.06864897947375621
743,Rationalisation (mathematics),Complex number,0,0.6,0.0
744,Function (mathematics),Multiplicative inverse,0,-0.02557544757033248,-0.2443575497125917
745,Number,Equation,0,-0.062352941176470576,-0.06864897947375621
746,Line (geometry),Law of sines,0,-0.22142857142857145,-0.050562058330171564
747,Mathematics,Secant line,0,-0.6051136363636364,-0.1496803984611924
748,Exponentiation,Logarithm,0,-0.1663135593220339,-0.1727717564276265
749,Geometry,Complex plane,0,0.024999999999999998,0.06952748991742558
750,Function composition,Domain of a function,0,0.4366666666666667,0.6581250341579571
751,Graph of a function,Mathematics,1,0.4479166666666666,0.32784521832866753
752,Vertical line test,Domain of a function,0,0.25,0.8715470804325456
753,Multiplication,Partial fraction decomposition,0,-0.4615384615384616,0.0009329525144765099
754,Fundamental theorem of algebra,Complex number,1,0.5245098039215687,0.8479851479687671
755,Equation,Simultaneous equations,0,0.04,0.031093806966894236
756,Pythagorean trigonometric identity,Trigonometry,1,0.3846153846153846,0.28123885277457544
757,Multiplication,Subtraction,0,-0.2476190476190476,-0.3804999334668146
758,Mathematics,Plane curve,0,-0.7375,-0.11314772683609192
759,Addition,Subtraction,0,-0.16666666666666666,-0.3984731381362109
760,Exponentiation,Unit circle,0,0.0614406779661017,0.13198678624210824
761,Linear function,Linear inequality,0,-0.2833333333333333,-0.9358156563806688
762,Floor and ceiling functions,Number,1,0.42857142857142855,-0.024409419809564733
763,Geometry,Coordinate system,0,-0.3833333333333333,-0.1899305224374632
764,Unit circle,Geometry,1,0.3375,0.034412745282266684
765,Addition,Real number,0,0.3078947368421053,0.2660895947379226
766,Mathematics,Quadratic function,0,-0.6840277777777778,-0.3090677026172
767,Mathematics,Extended real number line,0,-0.6294642857142857,-0.5782380873915043
768,Polynomial,Quadratic function,0,-0.3824786324786325,-0.648082108660566
769,Dot product,Number,1,0.14705882352941174,0.3515924069417236
770,Mathematics,Mathematical induction,0,-0.30625,0.03936379482184391
771,Logarithm,Function (mathematics),0,0.27818627450980393,0.44678688931324495
772,Vertical line test,Line (geometry),1,-0.028571428571428567,0.0
773,Line (geometry),Curve,0,0.0761904761904762,0.07197692551144619
774,Exponentiation,Complex number,0,0.3668993020937189,0.2551901752899447
775,Sine,Identity (mathematics),0,-0.48582995951417,0.07841029608771721
776,Quadratic function,Quadratic equation,0,0.2685185185185185,0.1338811986305205
777,Multiplication,Exponential function,0,-0.1763975155279503,-0.0675138800860097
778,Mathematics,Equation,0,-0.45,-0.5264930086176361
779,Multiplication,Arithmetic,1,-0.4266009852216749,-0.21387431487586184
780,Geometry,Right triangle,0,-0.4363636363636363,-0.3086104830825012
781,Curve,Circle,0,-0.1785714285714286,0.12597701487508056
782,Sum,Number,1,0.3076923076923077,0.26423924786803304
783,Function (mathematics),Graph of a function,0,-0.006535947712418277,-0.934209777455275
784,Domain of a function,Function (mathematics),1,0.2745098039215686,-0.12845291956745453
785,Logarithm,Multiplication,1,0.14642857142857146,0.11349258195265505
786,Floor and ceiling functions,Mathematics,1,0.5714285714285714,0.989062243398842
787,Zero of a function,Function (mathematics),1,0.4215686274509804,1.0
788,Triangle,Line (geometry),1,-0.13788819875776398,-0.3691220545503501
789,Inverse trigonometric functions,Domain of a function,0,0.15476190476190474,0.7676695294094662
790,Exponential function,Number,1,0.11381074168797953,-0.04383139263389886
791,Mathematics,Binomial,0,-0.625,-0.4441033736654101
792,Cubic function,Mathematics,1,0.6597222222222222,0.8935284322221001
793,Polynomial,Algebraic expression,0,-0.3230769230769231,-0.495497401764562
794,Binomial theorem,Number,1,0.3125,0.04564910037020777
795,Line (geometry),System of linear equations,0,-0.1164835164835165,-0.05203066639860531
796,Arithmetic,Fundamental theorem of algebra,0,-0.09770114942528736,0.02034818845254388
797,Fundamental theorem of algebra,Polynomial,1,0.3846153846153846,0.7529992903042559
798,Summation,Addition,1,0.3927125506072874,0.43257599717529
799,Sum,Mathematics,1,0.7307692307692307,0.6586816462307661
800,Unit circle,Inverse trigonometric functions,0,-0.19345238095238093,-0.5697911933878334
801,System of linear equations,Number,1,0.21945701357466066,0.009538763734247502
802,Simultaneous equations,Equation,1,-0.04,-0.031093806966894236
803,Fundamental theorem of algebra,Multiplication,1,0.08095238095238094,0.01844339942291179
804,Mathematics,Trigonometry,0,-0.6754807692307693,-0.4504735943539352
