,Parent Class,Sub Class,Reference
847,hamiltonian dynamics,hamiltonian dynamics,
848,hamiltonian function,hamiltonian function,
849,hammersley-clifford theorem,hammersley-clifford theorem,
850,handwriting recognition,handwriting recognition,
851,handwritten digit,handwritten digit,
852,head-to-head path,head-to-head path,
853,head-to-tail path,head-to-tail path,
854,heaviside step function,heaviside step function,
855,hellinger distance,hellinger distance,
856,hessian matrix,hessian matrix,
857,hessian matrix,diagonal approximation,
858,hessian matrix,exact evaluation,
859,hessian matrix,fast multiplication,
860,hessian matrix,ﬁnite differences,
861,hessian matrix,inverse,
862,hessian matrix,outer product approximation,
863,heteroscedastic,heteroscedastic,
864,hidden markov model,hidden markov model,
865,hidden markov model,autoregressive,
866,hidden markov model,factorial,
867,hidden markov model,forward-backward algorithm,
868,hidden markov model,input-output,
869,hidden markov model,left-to-right,
870,hidden markov model,maximum likelihood,
871,hidden markov model,scaling factor,
872,hidden markov model,sum-product algorithm,
873,hidden markov model,switching,
874,hidden markov model,variational inference,
875,hidden unit,hidden unit,
876,hidden variable,hidden variable,
877,hierarchical bayesian model,hierarchical bayesian model,
878,hierarchical mixture of experts,hierarchical mixture of experts,
879,hinge error function,hinge error function,
880,hinton diagram,hinton diagram,
881,histogram density estimation,histogram density estimation,
882,hme,hme,hierarchical mixture of experts
883,hold-out set,hold-out set,
884,homogeneous ﬂow,homogeneous ﬂow,
885,homogeneous kernel,homogeneous kernel,
886,homogeneous markov chain,homogeneous markov chain,
887,hooke’s law,hooke’s law,
888,hybrid monte carlo,hybrid monte carlo,
889,hyperparameter,hyperparameter,
890,hyperprior,hyperprior,
891,i.i.d.,i.i.d.,independent identically distributed
892,ica,ica,independent component analysis
893,icm,icm,iterated conditional modes
894,id3,id3,
895,identiﬁability,identiﬁability,
896,image de-noising,image de-noising,
897,importance sampling,importance sampling,
898,importance weights,importance weights,
899,improper prior,improper prior,
900,imputation step,imputation step,
901,imputation-posterior algorithm,imputation-posterior algorithm,
902,inactive constraint,inactive constraint,
903,incomplete data set,incomplete data set,
904,independence map,independence map,
905,independent component analysis,independent component analysis,
906,independent factor analysis,independent factor analysis,
907,independent identically distributed,independent identically distributed,
908,independent variables,independent variables,
909,independent,independent,
910,induced factorization,induced factorization,
911,inequality constraint,inequality constraint,
912,inference,inference,
913,information criterion,information criterion,
914,information geometry,information geometry,
915,information theory,information theory,
916,input-output hidden markov model,input-output hidden markov model,
917,intensive variables,intensive variables,
918,intrinsic dimensionality,intrinsic dimensionality,
919,invariance,invariance,
920,inverse gamma distribution,inverse gamma distribution,
921,inverse kinematics,inverse kinematics,
922,inverse problem,inverse problem,
923,inverse wishart distribution,inverse wishart distribution,
924,ip algorithm,ip algorithm,imputation-posterior algorithm
925,irls,irls,iterative reweighted least squares
926,ising model,ising model,
927,isomap,isomap,
928,isometric feature map,isometric feature map,
929,iterated conditional modes,iterated conditional modes,
930,iterative reweighted least squares,iterative reweighted least squares,
931,jacobian matrix,jacobian matrix,
932,jensen’s inequality,jensen’s inequality,
933,join tree,join tree,
934,junction tree algorithm,junction tree algorithm,
935,k nearest neighbours,k nearest neighbours,
936,k-means clustering algorithm,k-means clustering algorithm,
937,k-medoids algorithm,k-medoids algorithm,
938,kalman ﬁlter,kalman ﬁlter,
939,kalman ﬁlter,extended,
940,kalman gain matrix,kalman gain matrix,
941,kalman smoother,kalman smoother,
942,karhunen-lo`eve transform,karhunen-lo`eve transform,
943,karush-kuhn-tucker conditions,karush-kuhn-tucker conditions,
944,kernel density estimator,kernel density estimator,
945,kernel function,kernel function,
946,kernel function,fisher,
947,kernel function,gaussian,
948,kernel function,homogeneous,
949,kernel function,nonvectorial inputs,
950,kernel function,stationary,
951,kernel pca,kernel pca,
952,kernel regression,kernel regression,
953,kernel substitution,kernel substitution,
954,kernel trick,kernel trick,
955,kinetic energy,kinetic energy,
956,kkt,kkt,karush-kuhn-tucker conditions
957,kl divergence,kl divergence,kullback-leibler divergence
958,kriging,kriging,gaussian process
959,kullback-leibler divergence,kullback-leibler divergence,
960,lagrange multiplier,lagrange multiplier,
961,lagrange,lagrange,
962,lagrangian,lagrangian,
963,laminar ﬂow,laminar ﬂow,
964,laplace approximation,laplace approximation,
965,laplace,laplace,
966,large margin,large margin,margin
967,lasso,lasso,
968,latent class analysis,latent class analysis,
969,latent trait model,latent trait model,
970,latent variable,latent variable,
971,lattice diagram,lattice diagram,
972,lds,lds,linear dynamical system
973,leapfrog discretization,leapfrog discretization,
974,learning,learning,
975,learning rate parameter,learning rate parameter,
976,least-mean-squares algorithm,least-mean-squares algorithm,
977,leave-one-out,leave-one-out,
978,likelihood function,likelihood function,
979,likelihood weighted sampling,likelihood weighted sampling,
980,linear discriminant,linear discriminant,
981,linear discriminant,fisher,
982,linear dynamical system,linear dynamical system,
983,linear dynamical system,inference,
984,linear independence,linear independence,
985,linear regression,linear regression,
986,linear regression,em,
987,linear regression,mixture model,
988,linear regression,variational,
989,linear smoother,linear smoother,
990,linear-gaussian model,linear-gaussian model,
991,linearly separable,linearly separable,
992,link,link,
993,link function,link function,
994,liouville’s theorem,liouville’s theorem,
995,lle,lle,locally linear embedding
996,lms algorithm,lms algorithm,least-mean-squares algorithm
997,local minimum,local minimum,
998,local receptive ﬁeld,local receptive ﬁeld,
999,locally linear embedding,locally linear embedding,
1000,location parameter,location parameter,
1001,log odds,log odds,
1002,logic sampling,logic sampling,
1003,logistic regression,logistic regression,
1004,logistic regression,bayesian,
1005,logistic regression,mixture model,
1006,logistic regression,multiclass,
1007,logistic sigmoid,logistic sigmoid,
1008,logit function,logit function,
1009,loopy belief propagation,loopy belief propagation,
1010,loss function,loss function,
1011,loss matrix,loss matrix,
1012,lossless data compression,lossless data compression,
1013,lossy data compression,lossy data compression,
1014,lower bound,lower bound,
1015,machine learning,machine learning,
1016,macrostate,macrostate,
1017,mahalanobis distance,mahalanobis distance,
1018,manifold,manifold,
1019,map,map,maximum posterior
1020,margin,margin,
1021,margin,error,
1022,margin,soft,
1023,marginal likelihood,marginal likelihood,
1024,marginal probability,marginal probability,
1025,markov blanket,markov blanket,
1026,markov boundary,markov boundary,markov blanket
1027,markov chain,markov chain,
1028,markov chain,ﬁrst order,
1029,markov chain,homogeneous,
1030,markov chain,second order,
1031,markov chain monte carlo,markov chain monte carlo,
1032,markov model,markov model,
1033,markov model,homogeneous,
1034,markov network,markov network,markov random ﬁeld
1035,markov random ﬁeld,markov random ﬁeld,
1036,max-sum algorithm,max-sum algorithm,
1037,maximal clique,maximal clique,
1038,maximal spanning tree,maximal spanning tree,
1039,maximization step,maximization step,
1040,maximum likelihood,maximum likelihood,
1041,maximum likelihood,gaussian mixture,
1042,maximum likelihood,singularities,
1043,maximum likelihood,type 2,evidence approximation
1044,maximum margin,maximum margin,margin
1045,maximum posterior,maximum posterior,
1046,mcmc,mcmc,markov chain monte carlo
1047,mdn,mdn,mixture density network
1048,mds,mds,multidimensional scaling
1049,mean,mean,
1050,mean ﬁeld theory,mean ﬁeld theory,
1051,mean value theorem,mean value theorem,
1052,measure theory,measure theory,
1053,memory-based methods,memory-based methods,
1054,message passing,message passing,
1055,message passing,pending message,
1056,message passing,schedule,
1057,message passing,variational,
1058,metropolis algorithm,metropolis algorithm,
1059,metropolis-hastings algorithm,metropolis-hastings algorithm,
1060,microstate,microstate,
1061,minimum risk,minimum risk,
1062,minkowski loss,minkowski loss,
1063,missing at random,missing at random,
1064,missing data,missing data,
1065,mixing coefﬁcient,mixing coefﬁcient,
1066,mixture component,mixture component,
1067,mixture density network,mixture density network,
1068,mixture distribution,mixture distribution,mixture model
1069,mixture model,mixture model,
1070,mixture model,conditional,
1071,mixture model,linear regression,
1072,mixture model,logistic regression,
1073,mixture model,symmetries,
1074,mixture of experts,mixture of experts,
1075,mixture of gaussians,mixture of gaussians,
1076,mlp,mlp,multilayer perceptron
1077,mnist data,mnist data,
1078,model comparison,model comparison,
1079,model evidence,model evidence,
1080,model selection,model selection,
1081,moment matching,moment matching,
1082,momentum variable,momentum variable,
1083,monte carlo em algorithm,monte carlo em algorithm,
1084,monte carlo sampling,monte carlo sampling,
1085,moore-penrose pseudo-inverse,moore-penrose pseudo-inverse,pseudo-inverse
1086,moralization,moralization,
1087,mrf,mrf,markov random ﬁeld
1088,multidimensional scaling,multidimensional scaling,
1089,multilayer perceptron,multilayer perceptron,
1090,multimodality,multimodality,
1091,multinomial distribution,multinomial distribution,
1092,multiplicity,multiplicity,
1093,mutual information,mutual information,
1094,nadaraya-watson,nadaraya-watson,kernel regression
1095,naive bayes model,naive bayes model,
1096,nats,nats,
1097,natural language modelling,natural language modelling,
1098,natural parameters,natural parameters,
1099,nearest-neighbour methods,nearest-neighbour methods,
1100,neural network,neural network,
1101,neural network,convolutional,
1102,neural network,regularization,
1103,neural network,relation to gaussian process,
1104,newton-raphson,newton-raphson,
1105,node,node,
1106,noiseless coding theorem,noiseless coding theorem,
1107,nonidentiﬁability,nonidentiﬁability,
1108,noninformative prior,noninformative prior,
1109,nonparametric methods,nonparametric methods,
1110,normal distribution,normal distribution,gaussian
1111,normal equations,normal equations,
1112,normal-gamma distribution,normal-gamma distribution,
1113,normal-wishart distribution,normal-wishart distribution,
1114,normalized exponential,normalized exponential,softmax function
1115,novelty detection,novelty detection,
1116,ν-svm,ν-svm,
1117,object recognition,object recognition,
1118,observed variable,observed variable,
1119,occam factor,occam factor,
1120,oil ﬂow data,oil ﬂow data,
1121,old faithful data,old faithful data,
1122,on-line learning,on-line learning,sequential learning
1123,one-versus-one classiﬁer,one-versus-one classiﬁer,
1124,one-versus-the-rest classiﬁer,one-versus-the-rest classiﬁer,
1125,ordered over-relaxation,ordered over-relaxation,
1126,ornstein-uhlenbeck process,ornstein-uhlenbeck process,
1127,orthogonal least squares,orthogonal least squares,
1128,outlier,outlier,
1129,outliers,outliers,
1130,over-ﬁtting,over-ﬁtting,
1131,over-relaxation,over-relaxation,
1132,pac learning,pac learning,probably approximately correct
1133,pac-bayesian framework,pac-bayesian framework,
1134,parameter shrinkage,parameter shrinkage,
1135,parent node,parent node,
1136,particle ﬁlter,particle ﬁlter,
1137,partition function,partition function,
1138,parzen estimator,parzen estimator,kernel density estimator
1139,parzen window,parzen window,
1140,pattern recognition,pattern recognition,
1141,pca,pca,principal component analysis
1142,pending message,pending message,
1143,perceptron,perceptron,
1144,perceptron,convergence theorem,
1145,perceptron,hardware,
1146,perceptron criterion,perceptron criterion,
1147,perfect map,perfect map,
1148,periodic variable,periodic variable,
1149,phase space,phase space,
1150,photon noise,photon noise,
1151,plate,plate,
1152,polynomial curve ﬁtting,polynomial curve ﬁtting,
1153,polytree,polytree,
1154,position variable,position variable,
1155,positive deﬁnite covariance,positive deﬁnite covariance,
1156,positive deﬁnite matrix,positive deﬁnite matrix,
1157,positive semideﬁnite covariance,positive semideﬁnite covariance,
1158,positive semideﬁnite matrix,positive semideﬁnite matrix,
1159,posterior probability,posterior probability,
1160,posterior step,posterior step,
1161,potential energy,potential energy,
1162,potential function,potential function,
1163,power ep,power ep,
1164,power method,power method,
1165,precision matrix,precision matrix,
1166,precision parameter,precision parameter,
1167,predictive distribution,predictive distribution,
1168,preprocessing,preprocessing,
1169,principal component analysis,principal component analysis,
1170,principal component analysis,bayesian,
1171,principal component analysis,em algorithm,
1172,principal component analysis,gibbs sampling,
1173,principal component analysis,mixture distribution,
1174,principal component analysis,physical analogy,
1175,principal curve,principal curve,
1176,principal subspace,principal subspace,
1177,principal surface,principal surface,
1178,prior,prior,
1179,prior,conjugate,
1180,prior,consistent,
1181,prior,improper,
1182,prior,noninformative,
1183,probabilistic graphical model,probabilistic graphical model,graphical model
1184,probabilistic pca,probabilistic pca,
1185,probability,probability,
1186,probability,bayesian,
1187,probability,classical,
1188,probability,density,
1189,probability,frequentist,
1190,probability,mass function,
1191,probability,prior,
1192,probability,product rule,
1193,probability,sum rule,
1194,probability,theory,
1195,probably approximately correct,probably approximately correct,
1196,probit function,probit function,
1197,probit regression,probit regression,
1198,product rule of probability,product rule of probability,
1199,proposal distribution,proposal distribution,
1200,protected conjugate gradients,protected conjugate gradients,
1201,protein sequence,protein sequence,
1202,pseudo-inverse,pseudo-inverse,
1203,pseudo-random numbers,pseudo-random numbers,
1204,quadratic discriminant,quadratic discriminant,
1205,quality parameter,quality parameter,
1206,radial basis function,radial basis function,
1207,rauch-tung-striebel equations,rauch-tung-striebel equations,
1208,regression,regression,
1209,regression function,regression function,
1210,regularization,regularization,
1211,regularization,tikhonov,
1212,regularized least squares,regularized least squares,
1213,reinforcement learning,reinforcement learning,
1214,reject option,reject option,
1215,rejection sampling,rejection sampling,
1216,relative entropy,relative entropy,
1217,relevance vector,relevance vector,
1218,relevance vector machine,relevance vector machine,
1219,responsibility,responsibility,
1220,ridge regression,ridge regression,
1221,rms error,rms error,root-mean-square error
1222,robbins-monro algorithm,robbins-monro algorithm,
1223,robot arm,robot arm,
1224,robustness,robustness,
1225,root node,root node,
1226,root-mean-square error,root-mean-square error,
1227,rosenblatt,rosenblatt,
1228,rotation invariance,rotation invariance,
1229,rts equations,rts equations,rauch-tung-striebel equations
1230,running intersection property,running intersection property,
1231,rvm,rvm,relevance vector machine
1232,sample mean,sample mean,
1233,sample variance,sample variance,
1234,sampling-importance-resampling,sampling-importance-resampling,
1235,scale invariance,scale invariance,
1236,scale parameter,scale parameter,
1237,scaling factor,scaling factor,
1238,schwarz criterion,schwarz criterion,bayesian information criterion
1239,self-organizing map,self-organizing map,
1240,sequential data,sequential data,
1241,sequential estimation,sequential estimation,
1242,sequential gradient descent,sequential gradient descent,
1243,sequential learning,sequential learning,
1244,sequential minimal optimization,sequential minimal optimization,
1245,serial message passing schedule,serial message passing schedule,
1246,shannon,shannon,
1247,shared parameters,shared parameters,
1248,shrinkage,shrinkage,
1249,shur complement,shur complement,
1250,sigmoid,sigmoid,logistic sigmoid
1251,simplex,simplex,
1252,single-class support vector machine,single-class support vector machine,
1253,singular value decomposition,singular value decomposition,
1254,sinusoidal data,sinusoidal data,
1255,sir,sir,sampling-importance-resampling
1256,skip-layer connection,skip-layer connection,
1257,slack variable,slack variable,
1258,slice sampling,slice sampling,
1259,smo,smo,sequential minimal optimization
1260,smoother matrix,smoother matrix,
1261,smoothing parameter,smoothing parameter,
1262,soft margin,soft margin,
1263,soft weight sharing,soft weight sharing,
1264,softmax function,softmax function,
1265,som,som,self-organizing map
1266,sparsity,sparsity,
1267,sparsity parameter,sparsity parameter,
1268,spectrogram,spectrogram,
1269,speech recognition,speech recognition,
1270,sphereing,sphereing,
1271,spline functions,spline functions,
1272,standard deviation,standard deviation,
1273,standardizing,standardizing,
1274,state space model,state space model,
1275,state space model,switching,
1276,stationary kernel,stationary kernel,
1277,statistical bias,statistical bias,bias
1278,statistical independence,statistical independence,independent variables
1279,statistical learning theory,statistical learning theory,computational learning theory
1280,steepest descent,steepest descent,
1281,stirling’s approximation,stirling’s approximation,
1282,stochastic,stochastic,
1283,stochastic em,stochastic em,
1284,stochastic gradient descent,stochastic gradient descent,
1285,stochastic process,stochastic process,
1286,stratiﬁed ﬂow,stratiﬁed ﬂow,
1287,student’s t-distribution,student’s t-distribution,
1288,subsampling,subsampling,
1289,sufﬁcient statistics,sufﬁcient statistics,
1290,sum rule of probability,sum rule of probability,
1291,sum-of-squares error,sum-of-squares error,
1292,sum-product algorithm,sum-product algorithm,
1293,sum-product algorithm,for hidden markov model,
1294,supervised learning,supervised learning,
1295,support vector,support vector,
1296,support vector machine,support vector machine,
1297,support vector machine,for regression,
1298,support vector machine,multiclass,
1299,survival of the ﬁttest,survival of the ﬁttest,
1300,svd,svd,singular value decomposition
1301,svm,svm,support vector machine
1302,switching hidden markov model,switching hidden markov model,
1303,switching state space model,switching state space model,
1304,synthetic data sets,synthetic data sets,
1305,tail-to-tail path,tail-to-tail path,
1306,tangent distance,tangent distance,
1307,tangent propagation,tangent propagation,
1308,tapped delay line,tapped delay line,
1309,target vector,target vector,
1310,test set,test set,
1311,threshold parameter,threshold parameter,
1312,tied parameters,tied parameters,
1313,tikhonov regularization,tikhonov regularization,
1314,time warping,time warping,
1315,tomography,tomography,
1316,training,training,
1317,training set,training set,
1318,transition probability,transition probability,
1319,translation invariance,translation invariance,
1320,tree-reweighted message passing,tree-reweighted message passing,
1321,treewidth,treewidth,
1322,trellis diagram,trellis diagram,lattice diagram
1323,triangulated graph,triangulated graph,
1324,type 2 maximum likelihood,type 2 maximum likelihood,evidence approximation
1325,undetermined multiplier,undetermined multiplier,lagrange multiplier
1326,undirected graph,undirected graph,markov random ﬁeld
1327,uniform distribution,uniform distribution,
1328,uniform sampling,uniform sampling,
1329,uniquenesses,uniquenesses,
1330,unobserved variable,unobserved variable,latent variable
1331,unsupervised learning,unsupervised learning,
1332,utility function,utility function,
1333,validation set,validation set,
1334,vapnik-chervonenkis dimension,vapnik-chervonenkis dimension,
1335,variance,variance,
1336,variational inference,variational inference,
1337,variational inference,for gaussian mixture,
1338,variational inference,for hidden markov model,
1339,variational inference,local,
1340,vc dimension,vc dimension,vapnik-chervonenkis dimension
1341,vc dimension,vector quantization,
1342,vc dimension,vertex,node
1343,vc dimension,visualization,
1344,vc dimension,viterbi algorithm,
1345,vc dimension,von mises distribution,
1346,vc dimension,wavelets,
1347,vc dimension,weak learner,
1348,vc dimension,weight decay,
1349,vc dimension,weight parameter,
1350,vc dimension,weight sharing,
1351,soft,soft,
1352,soft,weight vector,
1353,soft,weight-space symmetry,
1354,soft,weighted least squares,
1355,soft,well-determined parameters,
1356,soft,whitening,
1357,soft,wishart distribution,
1358,soft,within-class covariance,
1359,soft,woodbury identity,
1360,soft,wrapped distribution,
1361,soft,yellowstone national park,
1362,acute angle,acute angle,
1363,addition,addition,
1364,addition,audio,
1365,addition,function,
1366,addition,matrix,
1367,addition,vector,
1368,adjacency matrix,adjacency matrix,
1369,advertising,advertising,
1370,aﬃne,aﬃne,
1371,aﬃne,approximation,
1372,aﬃne,ar model,
1373,aﬃne,combination,
1374,aﬃne,function,
1375,aﬃne,versus linear,
1376,aﬄeck,aﬄeck,
1377,age group,age group,
1378,algorithm,algorithm,
1379,algorithm,augmented lagrangian,
1380,algorithm,back substitution,
1381,algorithm,computing matrix inverse,
1382,algorithm,constrained least squares,
1383,algorithm,forward substitution,
1384,algorithm,gauss–newton,
1385,algorithm,gram–schmidt,
1386,algorithm,k-means,
1387,algorithm,least norm,
1388,algorithm,least squares,
1389,algorithm,levenberg–marquardt,
1390,algorithm,modiﬁed gram–schmidt,
1391,algorithm,newton,
1392,algorithm,penalty,
1393,algorithm,qr factorization,
1394,algorithm,solving linear equations,
1395,aligned vectors,aligned vectors,
1396,α (alpha),α (alpha),
1397,angle,angle,
1398,angle,acute,
1399,angle,document,
1400,angle,obtuse,
1401,angle,orthogonal,
1402,annualized return and risk,annualized return and risk,
1403,anti-aligned vectors,anti-aligned vectors,
1404,approximation,approximation,
1405,approximation,aﬃne,
1406,approximation,least squares,
1407,approximation,taylor,
1408,argmax,argmax,
1409,argument of function,argument of function,
1410,asset,asset,
1411,asset,allocation,
1412,asset,alpha and beta,
1413,asset,return,
1414,asset,return matrix,
1415,asset,risk-free,
1416,attribute vector,attribute vector,
1417,audio,audio,
1418,audio,addition,
1419,audio,mixing,
1420,augmented lagrangian algorithm,augmented lagrangian algorithm,
1421,auto-regressive model,auto-regressive model,ar model
1422,average,average,
1423,avg (average),avg (average),
1424,back substitution,back substitution,
1425,back-test,back-test,
1426,backslash notation,backslash notation,
1427,balancing chemical reactions,balancing chemical reactions,
1428,basis,basis,
1429,basis,dual,
1430,basis,functions,
1431,basis,orthonormal,
1432,β (beta),β (beta),
1433,bi-criterion least squares,bi-criterion least squares,
1434,bi-linear interpolation,bi-linear interpolation,
1435,big-times-small-squared rule,big-times-small-squared rule,
1436,bill of materials,bill of materials,
1437,birth rate,birth rate,
1438,bit,bit,
1439,block,block,
1440,block,matrix,
1441,block,vector,
1442,boeing 747,boeing 747,
1443,boole,boole,
1444,boolean,boolean,
1445,boolean,classiﬁcation,
1446,boolean,features,
1447,boolean,least squares,
1448,boolean,vector,
1449,bowie,bowie,
1450,byte,byte,
1451,calculus,calculus,
1452,cash ﬂow,cash ﬂow,
1453,cash ﬂow,discounted,
1454,cash ﬂow,net present value,
1455,cash ﬂow,replication,
1456,cash ﬂow,vector,
1457,categorical feature,categorical feature,
1458,cauchy,cauchy,
1459,cauchy–schwarz inequality,cauchy–schwarz inequality,
1460,centroid,centroid,
1461,chain graph,chain graph,
1462,chain rule,chain rule,
1463,channel equalization,channel equalization,
1464,chebyshev inequality,chebyshev inequality,
1465,chebyshev,chebyshev,
1466,chemical,chemical,
1467,chemical,equilibrium,
1468,chemical,reaction balance,
1469,circular diﬀerence matrix,circular diﬀerence matrix,
1470,circulation,circulation,
1471,classiﬁcation,classiﬁcation,
1472,classiﬁcation,boolean,
1473,classiﬁcation,handwritten digits,
1474,classiﬁcation,iris ﬂower,
1475,classiﬁcation,multi-class,
1476,classiﬁer,classiﬁer,
1477,classiﬁer,least squares,
1478,classiﬁer,one-versus-others,
1479,closed-loop,closed-loop,
1480,cluster centroid,cluster centroid,
1481,clustering,clustering,
1482,digits,digits,
1483,objective,objective,
1484,optimal,optimal,
1485,co-occurrence,co-occurrence,
1486,coeﬃcients,coeﬃcients,
1487,coeﬃcients,linear equations,
1488,coeﬃcients,matrix,
1489,coeﬃcients,vector,
1490,colon notation,colon notation,
1491,color vector,color vector,
1492,column-major,column-major,
1493,communication channel,communication channel,
1494,compartmental system,compartmental system,
1495,completing the square,completing the square,
1496,complexity,complexity,
1497,complexity,k-means algorithm,
1498,complexity,gram–schmidt algorithm,
1499,complexity,matrix-matrix multiply,
1500,complexity,matrix-vector multiplication,
1501,complexity,vector operations,
1502,compliance matrix,compliance matrix,
1503,computer representation,computer representation,
1504,computer representation,matrix,
1505,computer representation,vector,
1506,confusion matrix,confusion matrix,
1507,conservation of mass,conservation of mass,
1508,constrained least squares,constrained least squares,
1509,constrained least squares,solution,
1510,constrained least squares,sparse,
1511,constrained optimization,constrained optimization,
1512,constrained optimization,kkt conditions,
1513,contingency table,contingency table,
1514,control,control,
1515,control,closed-loop,
1516,control,linear quadratic,
1517,control,nonlinear,
1518,control,state feedback,
1519,controllability matrix,controllability matrix,
1520,convolution,convolution,
1521,correlation coeﬃcient,correlation coeﬃcient,
1522,covariance matrix,covariance matrix,
1523,cross product,cross product,
1524,cross-validation,cross-validation,
1525,cross-validation,eﬃcient,
1526,currency exchange rate,currency exchange rate,
1527,customer purchase,customer purchase,
1528,customer purchase,matrix,
1529,customer purchase,vector,
1530,cycle,cycle,
1531,data ﬁtting,data ﬁtting,
1532,data matrix,data matrix,
1533,de-meaned vector,de-meaned vector,
1534,de-meaning,de-meaning,
1535,de-trended,de-trended,
1536,de-tuning,de-tuning,
1537,death rate,death rate,
1538,decision threshold,decision threshold,
1539,deformation,deformation,
1540,demand,demand,
1541,demand,elasticity matrix,
1542,demand,shaping,
1543,dependent variable,dependent variable,
1544,dependent vectors,dependent vectors,
1545,derivative,derivative,
1546,derivative,chain rule,
1547,derivative,partial,
1548,diag,diag,
1549,diagonal matrix,diagonal matrix,
1550,diet,diet,
1551,diﬀerence matrix,diﬀerence matrix,
1552,diﬀerence of vectors,diﬀerence of vectors,
1553,diﬀerence vector,diﬀerence vector,
1554,diﬀusion,diﬀusion,
1555,digits,digits,
1556,dilation,dilation,
1557,dimension,dimension,
1558,dimension,matrix,
1559,dimension,vector,
1560,directed graph,directed graph,
1561,dirichlet energy,dirichlet energy,
1562,dirichlet,dirichlet,
1563,discount factor,discount factor,
1564,discounted cash ﬂow,discounted cash ﬂow,
1565,discretization,discretization,
1566,disease dynamics,disease dynamics,
1567,displacement,displacement,
1568,distance,distance,
1569,distance,spherical,
1570,distributive property,distributive property,
1571,document,document,
1572,document,angle,
1573,document,dissimilarity,
1574,document,scoring,
1575,document,topic discovery,
1576,document,word count,
1577,document-term matrix,document-term matrix,
1578,dot product,dot product,
1579,down-sampling,down-sampling,
1580,dual basis,dual basis,
1581,dynamics,dynamics,
1582,dynamics,epidemic,
1583,dynamics,matrix,
1584,dynamics,supply chain,
1585,edge,edge,
1586,ehr,ehr,
1587,elastic deformation,elastic deformation,
1588,elasticity,elasticity,
1589,elasticity,matrix,
1590,electronic health record,electronic health record,ehr
1591,energy use patterns,energy use patterns,
1592,epidemic dynamics,epidemic dynamics,
1593,equality,equality,
1594,equality,matrices,
1595,equality,vectors,
1596,equalization,equalization,
1597,equations,equations,
1598,equations,homogeneous,
1599,equations,kkt,
1600,equations,nonlinear,
1601,equations,normal,
1602,equilibrium,equilibrium,
1603,equilibrium,chemical,
1604,equilibrium,linear dynamical system,
1605,equilibrium,mechanical,
1606,equilibrium,nash,
1607,equilibrium,prices,
1608,error rate,error rate,
1609,euclidean,euclidean,
1610,euclidean,distance,
1611,euclidean,norm,
1612,euler,euler,
1613,exogenous ﬂow,exogenous ﬂow,
1614,expansion in a basis,expansion in a basis,
1615,expected value,expected value,
1616,exponential weighting,exponential weighting,
1617,factor-solve method,factor-solve method,
1618,false alarm rate,false alarm rate,
1619,fast fourier transform,fast fourier transform,fft
1620,feature,feature,
1621,feature,categorical,
1622,feature,distance,
1623,feature,engineering,
1624,feature,likert,
1625,feature,matrix,
1626,feature,neural network,
1627,feature,random,
1628,feature,standardized,
1629,feature,tfidf,
1630,feature,vector,
1631,feature,winsorized,
1632,fft,fft,
1633,fibonacci sequence,fibonacci sequence,
1634,fibonacci,fibonacci,
1635,fisher,fisher,
1636,ﬂoating point,ﬂoating point,
1637,ﬂoating point,number,
1638,ﬂoating point,operation,ﬂop
1639,ﬂoating point,round-oﬀ error,
1640,ﬂop,ﬂop,
1641,ﬂow conservation,ﬂow conservation,
1642,ﬂow conservation,with sources,
1643,forgetting factor,forgetting factor,
1644,forward substitution,forward substitution,
1645,fourier,fourier,
1646,fourier,approximation,
1647,fourier,transform,
1648,fourier,fourier,
1649,friend relation,friend relation,
1650,frobenius norm,frobenius norm,
1651,frobenius,frobenius,
1652,function,function,
1653,function,aﬃne,
1654,function,argument,
1655,function,basis,
1656,function,composition,
1657,function,inner product,
1658,function,linear,
1659,function,notation,
1660,function,objective,
1661,function,rational,
1662,function,reversal,
1663,function,running sum,
1664,function,sigmoid,
1665,function,sum,
1666,galton,galton,
1667,game of thrones,game of thrones,
1668,gauss,gauss,
1669,gauss–newton algorithm,gauss–newton algorithm,
1670,generalization,generalization,
1671,generalized additive model,generalized additive model,
1672,gigabyte,gigabyte,
1673,gigaﬂop,gigaﬂop,
1674,global positioning system,global positioning system,gps
1675,gone bust,gone bust,
1676,gps,gps,
1677,gradient,gradient,
1678,gram matrix,gram matrix,
1679,gram,gram,
1680,gram–schmidt algorithm,gram–schmidt algorithm,
1681,gram–schmidt algorithm,complexity,
1682,gram–schmidt algorithm,modiﬁed,
1683,graph,graph,
1684,graph,chain,
1685,graph,circle,
1686,graph,cycle,
1687,graph,social network,
1688,graph,tree,
1689,grayscale,grayscale,
1690,group representative,group representative,
1691,handwritten digits,handwritten digits,
1692,heat ﬂow,heat ﬂow,
1693,hedging,hedging,
1694,hestenes,hestenes,
1695,histogram vector,histogram vector,
1696,homogeneous equations,homogeneous equations,
1697,house price regression,house price regression,
1698,identity matrix,identity matrix,
1699,illumination,illumination,
1700,image,image,
1701,image,matrix,
1702,image,vector,
1703,impulse response,impulse response,
1704,imputing missing entries,imputing missing entries,
1705,incidence matrix,incidence matrix,
1706,independence-dimension inequality,independence-dimension inequality,
1707,independent vectors,independent vectors,
1708,index,index,
1709,index,column,
1710,index,range,
1711,index,row,
1712,index,vector,
1713,inequality,inequality,
1714,inequality,cauchy–schwarz,
1715,inequality,chebyshev,
