,concept,key_terms
188,Curve,skew curve|differentiable curve|doublepoint|doublepointed|doublepointers|sharp curve|1-manifold|doublepointer|double pointers|curved|space curves|curve|double pointing|mechanical curve|double-pointers|simple curve|curved line|rectifiable path|mathematical curves|double-points|double-pointing|doublepoints|continuous path|closed curve|double pointer|space curve|double-point|regular curve|mathematical curve|open curve|double-pointed|doublepointing|double pointed|double-pointer
189,Rational root theorem,rational zeroes test|rational roots theorem|rational root theorem|rational roots|rational root test|rational root
190,Spherical law of cosines,law of cosines|spherical law of cosines
191,Linear function,linear factors|linear function|linear functions|linear growth|linear factor|arithmetic growth
192,Asymptote,assymptote|asintope|oblique asymptote|asymptoting|slant asymptote|asymptotical|asymptotic limit|asymptotes|asymptotically|asymptotic|asymtote|horizontal asymptote|horizontal asymptotes|vertical asymptote|vertical asymptotes|asymptot|asymptotic function|asymptote
193,Elementary matrix,elementary row operations|elementary operations|elementary matrix|elementary row operation|elementary matrix transformations|row operations|elementary matrices
194,Cross product,evaluating cross products|⨯|cross products|ccw test|cross product matrix|cross-product|sarrus's scheme|xyzzy|crossproduct|cross product|evaluating cross-products|three-dimensional cross product|vector cross product|vector product|vectorial product
195,Differential equation,differental equations|diffyeq|diff eq|diffeq|differential equation|second order equation|differential equations from outside physics|differential equations of mathematical physics|diff eq'n|order|second-order differential equation|differential equations|differential equations from mathematical physics
196,Parametric equation,parametric variable|parametric form|parametrized|parametric plots|parametric equation|parametric plot|parametric equations|parametrically defined curve|parametric representation|parametric curve|parametric coords|parametric solution
197,Polygon,polygon vertex|polygons|2-dimensional polytope|tricosagon|pentacontagon|all the 2d shapes|n-gons|icositetragon|irregular polygon|icosimonogon|chiliogon|hexacontagon|polygonal|polygonal area|polygon diameter|polygon diagonal|heptacontagon|hectagon|enneacontagon|regular nonagon|hectogon|definition of polygon|octacontagon|2-polytope|names of polygons|1000-gons|polygon edge|polygon|irregular polygons|polygon area|polygonal region|ngon|tetracosagon|myriagon|adjacent side|icosikaitetragon|1000-gon|n-gon
198,Distance,distances|distance in time|proximities|directed distance|time distance|distance formula|equi-distant|algebraic distance|proximity|distance
199,Exponentiation,raised to the power of|exponentiation|exponential functions|exponent|raised to the power|power
200,Function composition,function composition|∘|composition function|functional power|compose|generalized composite|○|functional composition|composite function|compound functions|generalized composition|composition|composition of maps|composition of functions
201,Geometry,geometery|elementary geometry|geometrical property|geometic|geometric features|geometric properties|geomertry|geometry|geometrically|geometric|geometrical
202,Range (mathematics),range|range of a function|range math|function range
203,Limit of a function,limit at infinity|limit|algebraic limit theorem|limit of a function|limit rules of functions|improper limits
204,Arithmetic,arithmetic operation|+-x/|arithmetic operations|arithmatic|arithmetic operators|arithmetician|history of arithmetic|arithmetics|additive operator|aritmetika|arithmetical operations|arithmetic operator|+−×÷|rithmetic|arithmetic|arithmetik|+-*/|multiplicative operator
205,Scientific notation,⏨|normalized notation|scientific notation|e notation|base-2 scientific notation|₁₀|notation normalized|notation scientific|standard index notation|standard index form|scientific notaion|exponential notation|scinote|normalised notation|decimal exponent|e-format|notation
206,Factorization,factorization theorem|factorize|factorisation|difference between two cubes|factored|factorisation theorem|common factor|factorization problem|factorise|difference of two cubes|factorization|perfect square trinomials
207,Minor (linear algebra),matrix of cofactors|cofactor matrix|minor determinant|minor|cofactor|matrix of minors|principal minor|matrix minor|matrix cofactors
208,Matrix multiplication,matrix vector multiplication|matrix multiplication algorithm|frobenius inner product|algorithms for matrix multiplication|hadamard matrix product|direct product|fast matrix multiplication algorithms|matrix-vector product|matrix multiply|matrix concatenation|matrix multiplication|multiplying matrices|computational complexity of matrix multiplication|fast matrix multiplication|matrix product|matrix-vector multiplication
209,Main diagonal,antidiagonal|main diagonal|counterdiagonal|principal diagonal|minor diagonal|counter diagonal|leading diagonal
210,Change of variables,principle of substitution|substitution principle|change of variables|plug and chug|change of variable|coordinate transform|substitution of variables|plugging in|variable substitution|substitution
211,Homogeneous polynomial,homogeneous polynomial|inhomogeneous polynomials|quantics|inhomogeneous polynomial|form|homogeneous form|homogenization of a polynomial|homogeneous polynomials|algebraic form|homogenous polynomial|algebraic forms
212,Area,area formula|area measure|area of plane region|area|areas|area of figure|areas of basic shapes
213,Line (geometry),co-linear|line|non-collinear points|hyperpoint|straight lines|ray|mathematical line|half-line|collinear points|straight-line|horizontal line|lineamental|straight line segment|dimension line|straightness|half line|lineamentation|straight line|megalineament|mathematical formula for a line|lineaments
214,Partial fraction decomposition,partial fraction expansion|integration by partial fractions|partial fractions decomposition|method of partial fractions|partial fraction decomposition over r|partial fractions|partial fraction decomposition over the reals|partial fraction decomposition|partial fraction|partial fractions in integration
215,Distributive property,distributivity|distributive law|right distributive law|superdistributivity|distributive property|super-distributivity|sub-distributivity|distribution|subdistributivity
216,Parity (mathematics),odd digit|even and odd numbers|even and odd|even numbers|parity|even digit|odd and even numbers|odd number|odd numbers|odd digits|even digits|even number|even integer|odd integer
217,Euclidean vector,geometric vector|spacial vector|euclidian vector|free vector|vector|triangle law|3d vector|vector addition|euclidean vector|relative vector|euclidean vectors|physical vector|vector sum|bound vector|spatial vector|vector methods|vector subtraction|magnitude of resultant vector|vector component|component|vector components|three-vector|euclid vector
218,Quadrant (plane geometry),first quadrant of the cartesian plane|quadrant
219,Minute and second of arc,minute and second of arc|minute arc|minute of arc|second of arc|second arc
220,Line–line intersection,line–line intersection|line intersection
221,Edge,edge
222,List of mathematical symbols,maths symbols|list of mathematical symbols|mathematical symbols|symbols|list of symbols
223,Equality,equality
