concept,Complex plane,Maxima and minima,Addition,Function composition,Partial fraction decomposition,Quadrant (plane geometry),Division (mathematics),Angle,Amplitude,Rectangle,Cross product,Graph of a function,Algebra,Sum,Rotation of axes,Sine wave,Simultaneous equations,Polar coordinate system,Minute and second of arc,Multiplicative inverse,Existential quantification,Natural logarithm,Sine,Empty set,Monotonic function,Geometry,Rationalisation (mathematics),Right angle,Dot product,Determinant,Operation (mathematics),Homogeneous polynomial,Solution of triangles,Set (mathematics),Graph (mathematics),Interval (mathematics),Absolute value,Distributive property,Analytic geometry,Change of variables,E (mathematical constant),Inverse function,Basis (linear algebra),List of mathematical symbols,Piecewise,Real number,Force,System of linear equations,Euclidean vector,Equation solving,Binary logarithm,Sign (mathematics),Exponential function,Constant function,Imaginary number,Polynomial,Linear equation,Multiplication,Minor (linear algebra),Binary number,Empty sum,Degree of a polynomial,Geometric progression,Integer,Degree (angle),Semi-major axis,Logarithm,Function (mathematics),Equality (mathematics),Real line,Factorization,Vector field,Norm (mathematics),Trigonometric substitution,Periodic function,Even and odd functions,Natural number,Polygon,Number,Invertible matrix,Mathematical induction,Right triangle,Pythagorean theorem,Scalar (mathematics),Radius,Trigonometric tables,Cone,Trigonometric functions,Square (algebra),Triangle,Identity (mathematics),Line segment,Product (mathematics),Zero of a function,Base (exponentiation),Simple harmonic motion,Complex conjugate,Asymptote,Commutative property,Conic section,Work (physics),Mathematics,Inverse trigonometric functions,Identity matrix,Quadratic formula,Slope,Perpendicular,Square matrix,Parity (mathematics),Focus (geometry),Quadratic equation,Extended real number line,Matrix multiplication,Cartesian coordinate system,Descartes' rule of signs,Calculus,Inverse element,Arithmetic mean,Floor and ceiling functions,Cylinder (geometry),Circular motion,Line (geometry),Synthetic division,Nth root,Distance,Rational number,Hyperbola,Parallel (geometry),Binomial theorem,Mereology,Binomial,Plane curve,Ellipse,Binomial coefficient,Parametric equation,Transformation (function),Summation,Equality,Complex number,Elementary matrix,Subtraction,Vector space,Secant line,Associative property,Vector (mathematics and physics),Continuous function,Triangular matrix,Image (mathematics),Symmetry,Coordinate system,Line–line intersection,Mathematical proof,Equation,Scalar multiplication,Fundamental theorem of algebra,Length,Series (mathematics),Linear function,Exponential growth,Displacement (vector),Linear inequality,Differential equation,Infinity,Area,Main diagonal,Limit of a sequence,Open set,Union (set theory),Spherical law of cosines,Polynomial long division,Arithmetic,Universal quantification,Edge,Position (vector),Point (geometry),Exponentiation,Matrix (mathematics),Monomial,Mathematical analysis,Rational function,Pythagorean trigonometric identity,Rotation (mathematics),Product topology,Range (mathematics),Limit of a function,Algebraic equation,Circular sector,Injective function,Closed set,Curve,Set-builder notation,Dependent and independent variables,Origin (mathematics),Rational root theorem,Zero (complex analysis),Chord (geometry),Prime number,Trigonometry,Unit circle,Geometric series,Algebraic operation,Vertical line test,Common logarithm,Logistic function,Law of sines,Cubic function,Circle,Quadratic function,Expression (mathematics),Division by zero,Eccentricity (mathematics),Plane (geometry),Semi-minor axis,Limit (mathematics),Orientation (geometry),Inequality (mathematics),Domain of a function,Scientific notation,Derivative,Formula,Square root,Matrix ring,Negative number,Algebraic expression
Quadratic formula,0.0,0.0,0.006159551188194339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05044889903994604,0.021020172831254656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010251373460178514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014085161800105,0.0,0.0,0.0,0.009210597720356487,0.0,0.10387554766550157,0.00853217987154412,0.005835109130065735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009029585986368575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01660694947810232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009029585986368575,0.0,0.0,0.0,0.0,0.011193854959213262,0.0,0.0,0.2804953571137522,0.0,0.0,0.0,0.0,0.0,0.23890103640323537,0.0,0.0,0.0,0.0,0.00499809987085583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0454298089273614,0.0,0.0,0.0,0.0,0.0,0.006703371975646318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003296878834191454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09217527102011337,0.0,0.0,0.0,0.3972622158370017,0.0,0.011076640834215966,0.0,0.0,0.00837957009273758,0.0,0.0,0.0,0.0,0.0,0.00633251524489019,0.0,0.0,0.0,0.0,0.0,0.0,0.00851484776901735,0.0,0.012965776304183673,0.0,0.0,0.0,0.0,0.009810405813069552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02419502691720618,0.0,0.0,0.0,0.007822757471567644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01706435974308824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009400442717124704,0.0,0.020537411125410573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4098357108659907,0.05362697580517054,0.0,0.0,0.0
Slope,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10101278957030486,0.0,0.0,0.0,0.0,0.011808166715178627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04319021277485047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017065556832185587,0.0,0.0,0.0,0.0,0.01938863270085961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012935101716566214,0.0,0.0,0.011982350967141196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015548218637057546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02272613706753919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012935101716566214,0.0,0.011004232279576316,0.014773747818321475,0.0,0.0,1.2258122709207522,0.02312359765957061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04211513661671962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06380033275591192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036417535630330095,0.0,0.0,0.008417732464192071,0.0,0.0,0.0,0.0,0.0,0.0,0.09129334378847342,0.0,0.0,0.0,0.0,0.03530409039071407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14281875799184424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023964701934282392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013777455158245218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03422849640697727,0.09333431784896733,0.0,0.0,0.0,0.0
Perpendicular,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25674084015785814,0.0,0.01806469711052294,0.0,0.0,0.0028583260699440323,0.014291493168339805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04704648177260497,0.0,0.12278250989518208,0.007481291774757454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027626233315437187,0.0,0.0,0.0,0.010005056722059027,0.014732523733060525,0.0,0.016225001760861633,0.0,0.0,0.0,0.0,0.08887288004219979,0.0,0.06716854558256224,0.0,0.0,0.0,0.0,0.0,0.02200467239872842,0.0,0.0,0.0,0.00228319105120461,0.0,0.0,0.0,0.020463751649197014,0.713665796814724,0.0,0.0,0.0,0.0,0.0,0.0,0.006738388829963222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06949679103768976,0.0,0.049510512897138946,0.0,0.0,0.0,0.0,0.0,0.0486750052825849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01709166280820284,0.010231875824598507,0.0,0.0,0.0,0.0,0.0,0.06575343372587825,0.0,0.01709166280820284,0.0,0.0,0.0,0.0,0.0,0.012916320777276022,0.0,0.0,0.0,0.0,0.0,0.0,0.004341896580629879,0.0,0.05289213508214609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031911883653855305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12305475698150739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Square matrix,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03524477189287857,0.0,0.05493799598841582,0.06104163183765476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015976995993549816,0.4029328100357669,0.0,0.0,0.0,0.0,0.0,0.0,0.01323303771309306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04524748432209136,0.01858279853378677,0.06354334942486838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04822583068782256,0.04094769115764489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019666132190650203,0.0,0.0,0.0,0.0,0.004875967329691201,0.0,0.10925562321181456,0.0,0.0,0.0,0.3354733893578718,0.0,0.0,0.0,0.0,0.03586117264153747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017622385946439285,0.0,0.0,0.0,0.0,0.0,0.017325001880242084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024752581919891735,0.0,0.0,0.0,0.0,0.16943412763602733,0.0,0.018250419608758964,0.0,0.0,0.0,0.031462677802807225,0.020908534514310163,0.0,0.02006036961128489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027584007083674218,0.32307707568472027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07237364477271618,0.0,0.0,0.0,0.0
Parity (mathematics),0.0,0.0,0.09311792090387912,0.0,0.0,0.0,0.0,0.022653603543340426,0.0,0.0,0.0,0.0,0.010592620141557298,0.06620324041216233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01895906402793253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04410656018902629,0.0,0.02795741278985985,0.0,0.0,0.0,0.11539167682490896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7008702526064801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027499021631420227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022159932198946096,0.0,0.0,0.052962592329729864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034810641384288486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011966591308358667,0.0,0.0,0.0,0.0,0.0,0.0,0.04827167374935571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051189785260957146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Focus (geometry),0.0,0.0,0.026165366204395784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011905754869849525,0.0446461522118384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06532073502312095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012904945868966787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008825129173564927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0265654667315605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05068636913723717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1565040406037433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20906472675800886,0.0,0.17185467286610212,0.0,0.0,0.0,0.0,0.0,0.3885954967188183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10738913993850731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.215193055830147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18276806092662587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27051706906678485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Quadratic equation,0.0036709379787127103,0.0,0.0,0.0,0.0,0.0,0.0,0.015466315672160131,0.0,0.009141172031830885,0.0,0.0,0.01591020053390534,0.021695519749527898,0.0,0.0,0.008083035523564557,0.0,0.0,0.0,0.0,0.0,0.022365036028501522,0.0,0.0,0.0026451837141223673,0.0,0.005177575718471533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003135539056516026,0.0,0.003971202504758822,0.0,0.0,0.0,0.0,0.0,0.0,0.005937394440261074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004753260269340596,0.0,0.036452390983982036,0.026418918397431795,0.0030112912578853287,0.0,0.0,0.0,0.0,0.0,0.001969536652633988,0.0,0.0,0.013256593864750822,0.0,0.0,0.0,0.018639386333307018,0.0,0.0,0.0054289073308289755,0.0,0.0,0.0,0.0046598465833267546,0.07141877536600229,0.0,0.0,0.0,0.0,0.0,0.008210241854893838,0.0069593090417665185,0.0,0.004175585425059911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009319693166653509,0.0,0.0,0.004753260269340596,0.0,0.013286521418455741,0.0,0.0,0.15032107530215683,0.0,0.0,0.0,0.0,0.0,0.38307431676276105,0.0,0.0,0.0,0.0,0.007738022089216557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02344470059102787,0.010992729188919595,0.004175585425059911,0.0,0.0,0.0,0.0034593706781949865,0.0,0.004105120927446919,0.0,0.0,0.0,0.0,0.0,0.0017014013260787221,0.0,0.0036159199582546492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00864879322824722,0.0,0.0,0.0060517083916800584,0.47339326260328224,0.0,0.005716258422476914,0.0,0.0,0.00864879322824722,0.0,0.0,0.0,0.0,0.0,0.006535969549946902,0.0,0.0,0.0,0.0,0.0,0.0,0.004394208587625419,0.0,0.0,0.0,0.0,0.0,0.0,0.005062799787066014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006243094294901594,0.0,0.0,0.0,0.004037045522475672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004403153066238632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00970246497309658,0.04843118949472982,0.05829243097543744,0.0,0.010125599574132027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2800966627013688,0.0518905601729248,0.0,0.0,0.0
Extended real number line,0.020540754083134043,0.0,0.017786569161415113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024279713582895376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024637867718953245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017544926406123384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11960180620786576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.207566306823672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38363919243795924,0.0,0.0,0.0,0.0,0.0,0.022970227212006356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03115268227235709,0.0,0.0,0.0,0.006464765673073727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03115268227235709,0.0,0.0,0.0,0.0288654307148303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046132408450128864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01730837124659718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026596894540804685,0.022220885925504422,0.0,0.0,0.0,0.0,0.0,0.1861782617856328,0.0,0.0,0.029652329546238858,0.0,0.0,0.0,0.0,0.06146954709655783,0.0,0.0,0.0,0.0,0.03508985281224677,0.0,0.0,0.019933257214928696,0.0,0.0,0.0,0.0,0.0,0.02714509863259605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028328924651223313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06397071223356186,0.0,0.0,0.0,0.0
Matrix multiplication,0.0,0.0,0.04379854777692338,0.01799329514565921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09110490683015288,0.13523254800397427,0.0,0.0,0.0,0.0,0.0,0.024241306978678646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04471032870922241,0.07382930370220574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026989942718488816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01688285581029812,0.026001227987986233,0.27858609953384983,0.0,0.0,0.0,0.0,0.0,0.0077535909328990205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15182558949743347,0.019098132634790897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027517038717352456,0.0,0.03129316991638646,0.0,0.0,0.009096666322585954,0.0,0.02038286725532667,0.0,0.0,0.0,0.020862113277590973,0.0,0.0,0.0,0.0,0.28433799335543153,0.0,0.0,0.015231363638062627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008828427752992467,0.011912058415243752,0.0,0.0,0.0,0.057723412382356225,0.0,0.033755296771464466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02934858482791504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01286526812598244,0.027397121761262657,0.0,0.0,0.0,0.0,0.0,0.008649469868132248,0.0,0.0,0.0,0.0,0.01234386126596823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006809354141269183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022503531180976307,0.0,0.0,0.0,0.0
Cartesian coordinate system,0.0,0.0,0.006794011396420364,0.0,0.0,0.017276187513884763,0.0,0.04627946474948517,0.0,0.0,0.0,0.015456893898805283,0.027822676079970243,0.030913787797610566,0.0,0.0,0.0,0.012217582379371258,0.0,0.0,0.0,0.0,0.00796694416465934,0.0,0.0,0.07349750800527129,0.0,0.03319870439225953,0.0,0.007287871180904429,0.0,0.0,0.0,0.0,0.0,0.0,0.006701710086459147,0.0,0.025463418635663863,0.0,0.0,0.0,0.0,0.0,0.0,0.012690225026824098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01287230082769866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1831753654880814,0.0,0.0,0.0,0.0,0.0,0.04387017643494776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011112183056077373,0.0,0.02213246959483969,0.0,0.0,0.12713016567343327,0.0,0.0,0.0,0.0,0.0,0.0,0.10931806771356643,0.0,0.033077553651758324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14197627696970097,0.0,0.008924641809784703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014545886015230965,0.0,0.0,0.006267821172848122,0.0,0.0,0.0,0.0,0.0,0.0,0.009242701776109691,0.4426493918967938,0.0,0.0,0.0398347208232967,0.0,0.0,0.08127463052812418,0.0,0.0,0.0,0.0,0.0,0.009080726119530948,0.0,0.006984791493290896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04290392073186958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013343609265497828,0.0,0.0,0.0,0.008628535065205513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009242701776109691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036969240294873466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09774065903497006,0.0,0.0,0.0,0.0
Descartes' rule of signs,0.02101295532642448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008279289306044784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015141396432562518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4418650882764232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053347209160844226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4578682315878326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006613380975903008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5453261079891522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020698024588630064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021336758509949726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028980164298377874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04370354183242459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014399574350521471,0.0,0.0,0.0,0.0,0.0
